  Measurement Number     Measurement type
                  39                DC IV

      Measurement ID             SeriesID
       739694.677065                   13

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -1.0700e-12   -0.0000e+00
5.0000e-02   2.1135e-09   2.3657e+07
1.0000e-01   4.6298e-09   2.1599e+07
1.5000e-01   7.6178e-09   1.9691e+07
2.0000e-01   1.1749e-08   1.7022e+07
2.5000e-01   1.5964e-08   1.5660e+07
3.0000e-01   1.9943e-08   1.5043e+07
3.5000e-01   2.4717e-08   1.4161e+07
4.0000e-01   3.3794e-08   1.1836e+07
4.5000e-01   4.1824e-08   1.0759e+07
5.0000e-01   4.9431e-08   1.0115e+07
5.5000e-01   6.5818e-08   8.3563e+06
6.0000e-01   1.9512e-07   3.0750e+06
6.5000e-01   8.2468e-07   7.8818e+05
7.0000e-01   1.0000e-06   7.0000e+05
7.5000e-01   9.9998e-07   7.5002e+05
8.0000e-01   9.9998e-07   8.0002e+05
8.5000e-01   1.0000e-06   8.5000e+05
9.0000e-01   9.9998e-07   9.0002e+05
9.5000e-01   9.9998e-07   9.5002e+05
1.0000e+00   1.0000e-06   1.0000e+06
1.0000e+00   9.9996e-07   1.0000e+06
9.5000e-01   9.9996e-07   9.5004e+05
9.0000e-01   1.0000e-06   9.0000e+05
8.5000e-01   9.9998e-07   8.5002e+05
8.0000e-01   9.9994e-07   8.0005e+05
7.5000e-01   9.9998e-07   7.5002e+05
7.0000e-01   9.9998e-07   7.0001e+05
6.5000e-01   9.9998e-07   6.5001e+05
6.0000e-01   9.9998e-07   6.0001e+05
5.5000e-01   9.9648e-07   5.5194e+05
5.0000e-01   8.9904e-07   5.5615e+05
4.5000e-01   8.5394e-07   5.2697e+05
4.0000e-01   7.5706e-07   5.2836e+05
3.5000e-01   6.6048e-07   5.2992e+05
3.0000e-01   5.4400e-07   5.5147e+05
2.5000e-01   3.8626e-07   6.4723e+05
2.0000e-01   2.6908e-07   7.4327e+05
1.5000e-01   2.2038e-07   6.8064e+05
1.0000e-01   1.4460e-07   6.9156e+05
5.0000e-02   5.9409e-08   8.4162e+05
0.0000e+00   3.7740e-11   0.0000e+00
0.0000e+00   1.2980e-11   0.0000e+00
-5.0000e-02   -5.3988e-09   9.2613e+06
-1.0000e-01   -1.0046e-08   9.9540e+06
-1.5000e-01   -1.6435e-08   9.1268e+06
-2.0000e-01   -2.4725e-08   8.0891e+06
-2.5000e-01   -3.3452e-08   7.4735e+06
-3.0000e-01   -4.3367e-08   6.9177e+06
-3.5000e-01   -5.2471e-08   6.6703e+06
-4.0000e-01   -6.3863e-08   6.2634e+06
-4.5000e-01   -7.5970e-08   5.9234e+06
-5.0000e-01   -8.3324e-08   6.0007e+06
-5.5000e-01   -9.2570e-08   5.9415e+06
-6.0000e-01   -1.1020e-07   5.4446e+06
-6.5000e-01   -1.2110e-07   5.3675e+06
-7.0000e-01   -1.3730e-07   5.0983e+06
-7.5000e-01   -1.4726e-07   5.0930e+06
-8.0000e-01   -1.6792e-07   4.7642e+06
-8.5000e-01   -1.9238e-07   4.4183e+06
-9.0000e-01   -2.0850e-07   4.3165e+06
-9.5000e-01   -1.2730e-07   7.4627e+06
-1.0000e+00   -7.1881e-08   1.3912e+07
-1.0000e+00   -7.4230e-08   1.3472e+07
-9.5000e-01   -5.9487e-08   1.5970e+07
-9.0000e-01   -5.7372e-08   1.5687e+07
-8.5000e-01   -5.7587e-08   1.4760e+07
-8.0000e-01   -5.7299e-08   1.3962e+07
-7.5000e-01   -5.4451e-08   1.3774e+07
-7.0000e-01   -5.0292e-08   1.3919e+07
-6.5000e-01   -4.2132e-08   1.5428e+07
-6.0000e-01   -4.1428e-08   1.4483e+07
-5.5000e-01   -3.8095e-08   1.4438e+07
-5.0000e-01   -3.3079e-08   1.5115e+07
-4.5000e-01   -2.8954e-08   1.5542e+07
-4.0000e-01   -2.7712e-08   1.4434e+07
-3.5000e-01   -2.2485e-08   1.5566e+07
-3.0000e-01   -1.9029e-08   1.5765e+07
-2.5000e-01   -1.4657e-08   1.7057e+07
-2.0000e-01   -1.2093e-08   1.6538e+07
-1.5000e-01   -8.6990e-09   1.7243e+07
-1.0000e-01   -5.6588e-09   1.7672e+07
-5.0000e-02   -2.7996e-09   1.7860e+07
0.0000e+00   1.8200e-12   0.0000e+00
