  Measurement Number     Measurement type
                   4                DC IV

      Measurement ID             SeriesID
       739694.675325                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -4.5100e-12   -0.0000e+00
5.0000e-02   1.4632e-09   3.4172e+07
1.0000e-01   4.2237e-09   2.3676e+07
1.5000e-01   8.5946e-09   1.7453e+07
2.0000e-01   1.7115e-08   1.1686e+07
2.5000e-01   3.2890e-08   7.6010e+06
3.0000e-01   5.0265e-08   5.9684e+06
3.5000e-01   7.4751e-08   4.6822e+06
4.0000e-01   1.1402e-07   3.5082e+06
4.5000e-01   1.4396e-07   3.1259e+06
5.0000e-01   1.8068e-07   2.7673e+06
5.5000e-01   2.1200e-07   2.5943e+06
6.0000e-01   2.4488e-07   2.4502e+06
6.5000e-01   2.8962e-07   2.2443e+06
7.0000e-01   3.5448e-07   1.9747e+06
7.5000e-01   3.9942e-07   1.8777e+06
8.0000e-01   5.3946e-07   1.4830e+06
8.5000e-01   8.4482e-07   1.0061e+06
9.0000e-01   6.8596e-07   1.3120e+06
9.5000e-01   9.9998e-07   9.5002e+05
1.0000e+00   1.0000e-06   1.0000e+06
1.0000e+00   9.9998e-07   1.0000e+06
9.5000e-01   1.0000e-06   9.5000e+05
9.0000e-01   9.9998e-07   9.0002e+05
8.5000e-01   1.0000e-06   8.5000e+05
8.0000e-01   1.0000e-06   8.0000e+05
7.5000e-01   9.9996e-07   7.5003e+05
7.0000e-01   9.9998e-07   7.0001e+05
6.5000e-01   9.9998e-07   6.5001e+05
6.0000e-01   9.9998e-07   6.0001e+05
5.5000e-01   9.1528e-07   6.0091e+05
5.0000e-01   7.9798e-07   6.2658e+05
4.5000e-01   6.7480e-07   6.6686e+05
4.0000e-01   5.7854e-07   6.9140e+05
3.5000e-01   4.9466e-07   7.0756e+05
3.0000e-01   4.0784e-07   7.3558e+05
2.5000e-01   3.3914e-07   7.3716e+05
2.0000e-01   2.3048e-07   8.6775e+05
1.5000e-01   1.6904e-07   8.8736e+05
1.0000e-01   8.7289e-08   1.1456e+06
5.0000e-02   3.9586e-08   1.2631e+06
0.0000e+00   -8.0100e-12   -0.0000e+00
0.0000e+00   4.9500e-12   0.0000e+00
-5.0000e-02   -1.0687e-08   4.6787e+06
-1.0000e-01   -2.2110e-08   4.5228e+06
-1.5000e-01   -3.3513e-08   4.4758e+06
-2.0000e-01   -4.6657e-08   4.2866e+06
-2.5000e-01   -6.0237e-08   4.1503e+06
-3.0000e-01   -7.5414e-08   3.9781e+06
-3.5000e-01   -9.1661e-08   3.8184e+06
-4.0000e-01   -9.3255e-08   4.2893e+06
-4.5000e-01   -5.5591e-08   8.0948e+06
-5.0000e-01   -5.7581e-08   8.6834e+06
-5.5000e-01   -6.8145e-08   8.0710e+06
-6.0000e-01   -7.8029e-08   7.6894e+06
-6.5000e-01   -8.9986e-08   7.2234e+06
-7.0000e-01   -1.0672e-07   6.5592e+06
-7.5000e-01   -1.1984e-07   6.2583e+06
-8.0000e-01   -1.3858e-07   5.7728e+06
-8.5000e-01   -1.6964e-07   5.0106e+06
-9.0000e-01   -1.9254e-07   4.6744e+06
-9.5000e-01   -2.1942e-07   4.3296e+06
-1.0000e+00   -2.4664e-07   4.0545e+06
-1.0000e+00   -2.4868e-07   4.0212e+06
-9.5000e-01   -2.5090e-07   3.7864e+06
-9.0000e-01   -2.1040e-07   4.2776e+06
-8.5000e-01   -2.0786e-07   4.0893e+06
-8.0000e-01   -1.8398e-07   4.3483e+06
-7.5000e-01   -1.6484e-07   4.5499e+06
-7.0000e-01   -1.6224e-07   4.3146e+06
-6.5000e-01   -1.4162e-07   4.5897e+06
-6.0000e-01   -1.2922e-07   4.6432e+06
-5.5000e-01   -1.1308e-07   4.8638e+06
-5.0000e-01   -9.8476e-08   5.0774e+06
-4.5000e-01   -8.3994e-08   5.3576e+06
-4.0000e-01   -7.2469e-08   5.5196e+06
-3.5000e-01   -6.1644e-08   5.6778e+06
-3.0000e-01   -5.1706e-08   5.8021e+06
-2.5000e-01   -4.2130e-08   5.9340e+06
-2.0000e-01   -3.2802e-08   6.0972e+06
-1.5000e-01   -2.4233e-08   6.1900e+06
-1.0000e-01   -1.6047e-08   6.2315e+06
-5.0000e-02   -7.6491e-09   6.5367e+06
0.0000e+00   8.6200e-12   0.0000e+00
