  Measurement Number     Measurement type
                   8                DC IV

      Measurement ID             SeriesID
       739694.675546                   82

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   1.3040e-11   0.0000e+00
5.0000e-02   1.0801e-08   4.6292e+06
1.0000e-01   2.2530e-08   4.4386e+06
1.5000e-01   3.4020e-08   4.4092e+06
2.0000e-01   4.6216e-08   4.3275e+06
2.5000e-01   6.1574e-08   4.0601e+06
3.0000e-01   7.9217e-08   3.7871e+06
3.5000e-01   9.7354e-08   3.5951e+06
4.0000e-01   1.1498e-07   3.4789e+06
4.5000e-01   1.3442e-07   3.3477e+06
5.0000e-01   1.5952e-07   3.1344e+06
5.5000e-01   1.8188e-07   3.0240e+06
6.0000e-01   2.0766e-07   2.8893e+06
6.5000e-01   2.4522e-07   2.6507e+06
7.0000e-01   2.7770e-07   2.5207e+06
7.5000e-01   3.2398e-07   2.3150e+06
8.0000e-01   3.6000e-07   2.2222e+06
8.5000e-01   3.9350e-07   2.1601e+06
9.0000e-01   4.7914e-07   1.8784e+06
9.5000e-01   5.9644e-07   1.5928e+06
1.0000e+00   1.0000e-06   9.9996e+05
1.0000e+00   9.9998e-07   1.0000e+06
9.5000e-01   9.9998e-07   9.5002e+05
9.0000e-01   1.0000e-06   9.0000e+05
8.5000e-01   9.9998e-07   8.5002e+05
8.0000e-01   9.9998e-07   8.0002e+05
7.5000e-01   9.9998e-07   7.5002e+05
7.0000e-01   9.9998e-07   7.0001e+05
6.5000e-01   9.9998e-07   6.5001e+05
6.0000e-01   9.9998e-07   6.0001e+05
5.5000e-01   1.0000e-06   5.5000e+05
5.0000e-01   9.9998e-07   5.0001e+05
4.5000e-01   9.8452e-07   4.5708e+05
4.0000e-01   8.3894e-07   4.7679e+05
3.5000e-01   7.0746e-07   4.9473e+05
3.0000e-01   5.8014e-07   5.1712e+05
2.5000e-01   4.6764e-07   5.3460e+05
2.0000e-01   3.6466e-07   5.4846e+05
1.5000e-01   2.4698e-07   6.0734e+05
1.0000e-01   1.6274e-07   6.1448e+05
5.0000e-02   7.9565e-08   6.2842e+05
0.0000e+00   5.9500e-11   0.0000e+00
0.0000e+00   1.0430e-11   0.0000e+00
-5.0000e-02   -1.6004e-08   3.1243e+06
-1.0000e-01   -3.3853e-08   2.9539e+06
-1.5000e-01   -5.3880e-08   2.7839e+06
-2.0000e-01   -7.5793e-08   2.6388e+06
-2.5000e-01   -1.0195e-07   2.4523e+06
-3.0000e-01   -1.2898e-07   2.3259e+06
-3.5000e-01   -1.5994e-07   2.1883e+06
-4.0000e-01   -1.8916e-07   2.1146e+06
-4.5000e-01   -2.2698e-07   1.9826e+06
-5.0000e-01   -2.3986e-07   2.0845e+06
-5.5000e-01   -2.6652e-07   2.0636e+06
-6.0000e-01   -3.0028e-07   1.9981e+06
-6.5000e-01   -3.3656e-07   1.9313e+06
-7.0000e-01   -3.7328e-07   1.8753e+06
-7.5000e-01   -4.2080e-07   1.7823e+06
-8.0000e-01   -4.3970e-07   1.8194e+06
-8.5000e-01   -4.7534e-07   1.7882e+06
-9.0000e-01   -4.7430e-07   1.8975e+06
-9.5000e-01   -5.4358e-07   1.7477e+06
-1.0000e+00   -5.7300e-07   1.7452e+06
-1.0000e+00   -4.5942e-07   2.1767e+06
-9.5000e-01   -4.0218e-07   2.3621e+06
-9.0000e-01   -3.7100e-07   2.4259e+06
-8.5000e-01   -2.6538e-07   3.2030e+06
-8.0000e-01   -2.2748e-07   3.5168e+06
-7.5000e-01   -2.0820e-07   3.6023e+06
-7.0000e-01   -1.6868e-07   4.1499e+06
-6.5000e-01   -1.8242e-07   3.5632e+06
-6.0000e-01   -1.4944e-07   4.0150e+06
-5.5000e-01   -1.3448e-07   4.0898e+06
-5.0000e-01   -1.2348e-07   4.0492e+06
-4.5000e-01   -1.0876e-07   4.1376e+06
-4.0000e-01   -9.2537e-08   4.3226e+06
-3.5000e-01   -7.9019e-08   4.4293e+06
-3.0000e-01   -6.3979e-08   4.6890e+06
-2.5000e-01   -5.3491e-08   4.6737e+06
-2.0000e-01   -4.2226e-08   4.7364e+06
-1.5000e-01   -2.9621e-08   5.0639e+06
-1.0000e-01   -1.9434e-08   5.1456e+06
-5.0000e-02   -9.9336e-09   5.0334e+06
0.0000e+00   1.7500e-11   0.0000e+00
