  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739694.726112                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -1.2800e-12   -0.0000e+00
5.0000e-02   3.1120e-11   1.6067e+09
1.0000e-01   4.9560e-11   2.0178e+09
1.5000e-01   6.8600e-11   2.1866e+09
2.0000e-01   1.1797e-10   1.6953e+09
2.5000e-01   1.8983e-10   1.3170e+09
3.0000e-01   2.6070e-10   1.1507e+09
3.5000e-01   3.4656e-10   1.0099e+09
4.0000e-01   4.5450e-10   8.8009e+08
4.5000e-01   6.1126e-10   7.3618e+08
5.0000e-01   9.0736e-10   5.5105e+08
5.5000e-01   1.0000e-06   5.5000e+05
6.0000e-01   9.9998e-07   6.0001e+05
6.5000e-01   9.9998e-07   6.5001e+05
7.0000e-01   9.9998e-07   7.0001e+05
7.5000e-01   1.0000e-06   7.5000e+05
8.0000e-01   9.9998e-07   8.0002e+05
8.5000e-01   9.9998e-07   8.5002e+05
9.0000e-01   9.9998e-07   9.0002e+05
9.5000e-01   1.0000e-06   9.5000e+05
1.0000e+00   1.0000e-06   1.0000e+06
1.0000e+00   9.9998e-07   1.0000e+06
9.5000e-01   9.9998e-07   9.5002e+05
9.0000e-01   9.9998e-07   9.0002e+05
8.5000e-01   9.9998e-07   8.5002e+05
8.0000e-01   9.9998e-07   8.0002e+05
7.5000e-01   9.9998e-07   7.5002e+05
7.0000e-01   9.9998e-07   7.0001e+05
6.5000e-01   9.9998e-07   6.5001e+05
6.0000e-01   9.9998e-07   6.0001e+05
5.5000e-01   9.9998e-07   5.5001e+05
5.0000e-01   1.0000e-06   5.0000e+05
4.5000e-01   9.9998e-07   4.5001e+05
4.0000e-01   9.9998e-07   4.0001e+05
3.5000e-01   9.9998e-07   3.5001e+05
3.0000e-01   9.1340e-07   3.2844e+05
2.5000e-01   8.7968e-07   2.8419e+05
2.0000e-01   6.7240e-07   2.9744e+05
1.5000e-01   4.8098e-07   3.1186e+05
1.0000e-01   2.6934e-07   3.7128e+05
5.0000e-02   1.4006e-07   3.5699e+05
0.0000e+00   -2.6810e-11   -0.0000e+00
0.0000e+00   6.7800e-12   0.0000e+00
-5.0000e-02   -3.4333e-10   1.4563e+08
-1.0000e-01   -5.3070e-11   1.8843e+09
-1.5000e-01   -9.4420e-11   1.5886e+09
-2.0000e-01   -1.4058e-10   1.4227e+09
-2.5000e-01   -1.2351e-08   2.0241e+07
-3.0000e-01   -1.5375e-08   1.9512e+07
-3.5000e-01   -1.6865e-08   2.0753e+07
-4.0000e-01   -1.8366e-08   2.1779e+07
-4.5000e-01   -2.9337e-08   1.5339e+07
-5.0000e-01   -2.0674e-08   2.4185e+07
-5.5000e-01   -1.8648e-08   2.9493e+07
-6.0000e-01   -2.2876e-08   2.6228e+07
-6.5000e-01   -2.6858e-08   2.4201e+07
-7.0000e-01   -4.0798e-08   1.7158e+07
-7.5000e-01   -4.5906e-08   1.6338e+07
-8.0000e-01   -3.8855e-08   2.0589e+07
-8.5000e-01   -6.7841e-08   1.2529e+07
-9.0000e-01   -2.8624e-07   3.1442e+06
-9.5000e-01   -3.0462e-07   3.1186e+06
-1.0000e+00   -3.4776e-07   2.8755e+06
-1.0000e+00   -3.2362e-07   3.0900e+06
-9.5000e-01   -2.2472e-07   4.2275e+06
-9.0000e-01   -1.9212e-07   4.6846e+06
-8.5000e-01   -1.9102e-07   4.4498e+06
-8.0000e-01   -1.5448e-07   5.1787e+06
-7.5000e-01   -1.4416e-07   5.2026e+06
-7.0000e-01   -1.2650e-07   5.5336e+06
-6.5000e-01   -1.1096e-07   5.8580e+06
-6.0000e-01   -1.0042e-07   5.9749e+06
-5.5000e-01   -9.3761e-08   5.8660e+06
-5.0000e-01   -8.4342e-08   5.9283e+06
-4.5000e-01   -7.3148e-08   6.1519e+06
-4.0000e-01   -3.9773e-08   1.0057e+07
-3.5000e-01   -2.5156e-08   1.3913e+07
-3.0000e-01   -2.0885e-08   1.4364e+07
-2.5000e-01   -1.6535e-08   1.5119e+07
-2.0000e-01   -1.2303e-08   1.6257e+07
-1.5000e-01   -1.4854e-08   1.0098e+07
-1.0000e-01   -1.0147e-08   9.8547e+06
-5.0000e-02   -2.4196e-09   2.0665e+07
0.0000e+00   1.2740e-11   0.0000e+00
