  Measurement Number     Measurement type
                  10                DC IV

      Measurement ID             SeriesID
       739694.726951                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   7.0700e-12   0.0000e+00
5.0000e-02   3.0070e-11   1.6628e+09
1.0000e-01   4.4010e-11   2.2722e+09
1.5000e-01   8.0610e-11   1.8608e+09
2.0000e-01   1.4281e-10   1.4005e+09
2.5000e-01   2.0596e-10   1.2138e+09
3.0000e-01   2.6355e-10   1.1383e+09
3.5000e-01   3.4985e-10   1.0004e+09
4.0000e-01   4.7230e-10   8.4692e+08
4.5000e-01   6.1414e-10   7.3273e+08
5.0000e-01   7.7739e-10   6.4318e+08
5.5000e-01   9.8830e-10   5.5651e+08
6.0000e-01   1.2149e-09   4.9387e+08
6.5000e-01   1.5082e-09   4.3098e+08
7.0000e-01   1.8285e-09   3.8283e+08
7.5000e-01   1.0000e-06   7.5000e+05
8.0000e-01   9.9994e-07   8.0005e+05
8.5000e-01   1.0000e-06   8.5000e+05
9.0000e-01   9.9996e-07   9.0004e+05
9.5000e-01   9.9998e-07   9.5002e+05
1.0000e+00   1.0000e-06   1.0000e+06
1.0000e+00   9.9994e-07   1.0001e+06
9.5000e-01   1.0000e-06   9.5000e+05
9.0000e-01   9.9998e-07   9.0002e+05
8.5000e-01   9.9996e-07   8.5003e+05
8.0000e-01   1.0000e-06   8.0000e+05
7.5000e-01   9.9998e-07   7.5002e+05
7.0000e-01   3.4626e-07   2.0216e+06
6.5000e-01   8.9500e-07   7.2626e+05
6.0000e-01   7.4872e-07   8.0137e+05
5.5000e-01   1.6348e-07   3.3643e+06
5.0000e-01   1.4868e-07   3.3629e+06
4.5000e-01   7.3760e-08   6.1009e+06
4.0000e-01   6.4027e-08   6.2474e+06
3.5000e-01   4.3941e-08   7.9653e+06
3.0000e-01   3.4344e-08   8.7352e+06
2.5000e-01   2.3879e-08   1.0469e+07
2.0000e-01   1.7586e-08   1.1372e+07
1.5000e-01   1.0448e-08   1.4357e+07
1.0000e-01   5.8733e-09   1.7026e+07
5.0000e-02   2.2223e-09   2.2499e+07
0.0000e+00   -6.2300e-12   -0.0000e+00
0.0000e+00   5.5900e-12   0.0000e+00
-5.0000e-02   -2.4970e-11   2.0024e+09
-1.0000e-01   -5.7860e-11   1.7283e+09
-1.5000e-01   -1.0119e-10   1.4824e+09
-2.0000e-01   -1.3253e-10   1.5091e+09
-2.5000e-01   -1.8051e-10   1.3850e+09
-3.0000e-01   -2.6584e-10   1.1285e+09
-3.5000e-01   -3.8267e-10   9.1463e+08
-4.0000e-01   -4.9790e-10   8.0337e+08
-4.5000e-01   -6.4122e-10   7.0179e+08
-5.0000e-01   -8.1038e-10   6.1699e+08
-5.5000e-01   -1.0198e-09   5.3932e+08
-6.0000e-01   -1.2694e-09   4.7266e+08
-6.5000e-01   -1.5730e-09   4.1322e+08
-7.0000e-01   -1.9465e-09   3.5962e+08
-7.5000e-01   -2.3394e-09   3.2060e+08
-8.0000e-01   -2.8226e-09   2.8343e+08
-8.5000e-01   -3.3455e-09   2.5407e+08
-9.0000e-01   -3.9620e-09   2.2716e+08
-9.5000e-01   -4.6672e-09   2.0355e+08
-1.0000e+00   -5.3902e-09   1.8552e+08
-1.0000e+00   -5.4062e-09   1.8497e+08
-9.5000e-01   -4.6472e-09   2.0442e+08
-9.0000e-01   -3.9710e-09   2.2664e+08
-8.5000e-01   -3.3456e-09   2.5407e+08
-8.0000e-01   -2.8095e-09   2.8475e+08
-7.5000e-01   -2.3282e-09   3.2214e+08
-7.0000e-01   -1.9066e-09   3.6715e+08
-6.5000e-01   -1.5691e-09   4.1425e+08
-6.0000e-01   -1.2445e-09   4.8212e+08
-5.5000e-01   -9.9510e-10   5.5271e+08
-5.0000e-01   -7.7954e-10   6.4140e+08
-4.5000e-01   -6.0639e-10   7.4210e+08
-4.0000e-01   -4.5629e-10   8.7664e+08
-3.5000e-01   -3.2565e-10   1.0748e+09
-3.0000e-01   -2.5122e-10   1.1942e+09
-2.5000e-01   -1.7566e-10   1.4232e+09
-2.0000e-01   -1.1187e-10   1.7878e+09
-1.5000e-01   -5.6440e-11   2.6577e+09
-1.0000e-01   -3.4060e-11   2.9360e+09
-5.0000e-02   -1.6570e-11   3.0175e+09
0.0000e+00   3.8400e-12   0.0000e+00
