  Measurement Number     Measurement type
                  27                DC IV

      Measurement ID             SeriesID
       739688.799200                   98

         MeasureMode                Bias1                Bias2
                   2                 -1.5                    2

                Step  Positive compliance  Negative compliance
                0.05                0.001                0.001

  RealMeasuredPoints
                 144

        Bias        Current     Resistance
0.0000e+00   1.1983e-09   0.0000e+00
-5.0000e-02   -1.3534e-06   3.6944e+04
-1.0000e-01   -2.7855e-06   3.5900e+04
-1.5000e-01   -4.2635e-06   3.5182e+04
-2.0000e-01   -5.6353e-06   3.5491e+04
-2.5000e-01   -7.3531e-06   3.3999e+04
-3.0000e-01   -9.5703e-06   3.1347e+04
-3.5000e-01   -1.2016e-05   2.9128e+04
-4.0000e-01   -1.4300e-05   2.7972e+04
-4.5000e-01   -1.4210e-05   3.1668e+04
-5.0000e-01   -1.5208e-05   3.2877e+04
-5.5000e-01   -6.6328e-05   8.2921e+03
-6.0000e-01   -3.1354e-05   1.9136e+04
-6.5000e-01   -2.6120e-05   2.4885e+04
-7.0000e-01   -2.6600e-05   2.6316e+04
-7.5000e-01   -3.0582e-05   2.4524e+04
-8.0000e-01   -3.0336e-05   2.6371e+04
-8.5000e-01   -3.1378e-05   2.7089e+04
-9.0000e-01   -7.6268e-05   1.1800e+04
-9.5000e-01   -1.3884e-04   6.8424e+03
-1.0000e+00   -1.5066e-04   6.6375e+03
-1.0500e+00   -3.1342e-04   3.3501e+03
-1.1000e+00   -3.5228e-04   3.1225e+03
-1.1500e+00   -3.8426e-04   2.9928e+03
-1.2000e+00   -4.1934e-04   2.8616e+03
-1.2500e+00   -4.3542e-04   2.8708e+03
-1.3000e+00   -4.5902e-04   2.8321e+03
-1.3500e+00   -4.8044e-04   2.8099e+03
-1.4000e+00   -4.9496e-04   2.8285e+03
-1.4500e+00   -5.2840e-04   2.7441e+03
-1.5000e+00   -6.5148e-04   2.3024e+03
-1.5000e+00   -6.0214e-04   2.4911e+03
-1.4500e+00   -5.6006e-04   2.5890e+03
-1.4000e+00   -5.2658e-04   2.6587e+03
-1.3500e+00   -4.9774e-04   2.7123e+03
-1.3000e+00   -4.7118e-04   2.7590e+03
-1.2500e+00   -4.4628e-04   2.8009e+03
-1.2000e+00   -4.2182e-04   2.8448e+03
-1.1500e+00   -4.0010e-04   2.8743e+03
-1.1000e+00   -3.7882e-04   2.9038e+03
-1.0500e+00   -3.5762e-04   2.9361e+03
-1.0000e+00   -3.3860e-04   2.9533e+03
-9.5000e-01   -3.1910e-04   2.9771e+03
-9.0000e-01   -3.0090e-04   2.9910e+03
-8.5000e-01   -2.8204e-04   3.0138e+03
-8.0000e-01   -2.6338e-04   3.0374e+03
-7.5000e-01   -2.4554e-04   3.0545e+03
-7.0000e-01   -2.2750e-04   3.0769e+03
-6.5000e-01   -2.1050e-04   3.0879e+03
-6.0000e-01   -1.9316e-04   3.1062e+03
-5.5000e-01   -1.7606e-04   3.1239e+03
-5.0000e-01   -1.5948e-04   3.1352e+03
-4.5000e-01   -1.4328e-04   3.1407e+03
-4.0000e-01   -1.2696e-04   3.1506e+03
-3.5000e-01   -1.1058e-04   3.1651e+03
-3.0000e-01   -9.4492e-05   3.1749e+03
-2.5000e-01   -7.8328e-05   3.1917e+03
-2.0000e-01   -6.2456e-05   3.2023e+03
-1.5000e-01   -4.6834e-05   3.2028e+03
-1.0000e-01   -3.1216e-05   3.2035e+03
-5.0000e-02   -1.5666e-05   3.1916e+03
0.0000e+00   1.4508e-08   0.0000e+00
0.0000e+00   2.0246e-08   0.0000e+00
5.0000e-02   1.6166e-05   3.0929e+03
1.0000e-01   3.2350e-05   3.0912e+03
1.5000e-01   4.8612e-05   3.0857e+03
2.0000e-01   6.4994e-05   3.0772e+03
2.5000e-01   8.1566e-05   3.0650e+03
3.0000e-01   9.6986e-05   3.0932e+03
3.5000e-01   1.1510e-04   3.0408e+03
4.0000e-01   1.3204e-04   3.0294e+03
4.5000e-01   1.4920e-04   3.0161e+03
5.0000e-01   1.6616e-04   3.0091e+03
5.5000e-01   1.8276e-04   3.0094e+03
6.0000e-01   2.0586e-04   2.9146e+03
6.5000e-01   2.2374e-04   2.9052e+03
7.0000e-01   2.4452e-04   2.8628e+03
7.5000e-01   2.6690e-04   2.8100e+03
8.0000e-01   2.8472e-04   2.8098e+03
8.5000e-01   3.0590e-04   2.7787e+03
9.0000e-01   3.2518e-04   2.7677e+03
9.5000e-01   3.4532e-04   2.7511e+03
1.0000e+00   3.6112e-04   2.7692e+03
1.0500e+00   3.8082e-04   2.7572e+03
1.1000e+00   4.0276e-04   2.7312e+03
1.1500e+00   4.3144e-04   2.6655e+03
1.2000e+00   4.0980e-04   2.9283e+03
1.2500e+00   3.9962e-04   3.1280e+03
1.3000e+00   3.2906e-04   3.9506e+03
1.3500e+00   2.6438e-04   5.1063e+03
1.4000e+00   2.9238e-04   4.7883e+03
1.4500e+00   2.7264e-04   5.3184e+03
1.5000e+00   2.6320e-04   5.6991e+03
1.5500e+00   2.3138e-04   6.6989e+03
1.6000e+00   2.1614e-04   7.4026e+03
1.6500e+00   2.1774e-04   7.5778e+03
