  Measurement Number     Measurement type
                   5                DC IV

      Measurement ID             SeriesID
       739688.796737                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                0.001                0.001

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   2.0398e-08   0.0000e+00
5.0000e-02   2.0608e-05   2.4262e+03
1.0000e-01   4.1148e-05   2.4303e+03
1.5000e-01   6.1870e-05   2.4244e+03
2.0000e-01   8.2598e-05   2.4214e+03
2.5000e-01   1.0301e-04   2.4270e+03
3.0000e-01   1.2514e-04   2.3973e+03
3.5000e-01   1.4586e-04   2.3996e+03
4.0000e-01   1.6724e-04   2.3918e+03
4.5000e-01   1.8904e-04   2.3804e+03
5.0000e-01   2.1040e-04   2.3764e+03
5.5000e-01   2.3154e-04   2.3754e+03
6.0000e-01   2.5094e-04   2.3910e+03
6.5000e-01   2.7618e-04   2.3535e+03
7.0000e-01   2.9862e-04   2.3441e+03
7.5000e-01   3.2208e-04   2.3286e+03
8.0000e-01   3.3998e-04   2.3531e+03
8.5000e-01   3.5858e-04   2.3705e+03
9.0000e-01   3.7362e-04   2.4089e+03
9.5000e-01   3.9590e-04   2.3996e+03
1.0000e+00   4.1276e-04   2.4227e+03
1.0000e+00   4.1190e-04   2.4278e+03
9.5000e-01   3.8842e-04   2.4458e+03
9.0000e-01   3.6676e-04   2.4539e+03
8.5000e-01   3.4566e-04   2.4591e+03
8.0000e-01   3.2546e-04   2.4581e+03
7.5000e-01   3.0602e-04   2.4508e+03
7.0000e-01   2.8624e-04   2.4455e+03
6.5000e-01   2.6522e-04   2.4508e+03
6.0000e-01   2.4562e-04   2.4428e+03
5.5000e-01   2.2536e-04   2.4405e+03
5.0000e-01   2.0502e-04   2.4388e+03
4.5000e-01   1.8434e-04   2.4411e+03
4.0000e-01   1.6348e-04   2.4468e+03
3.5000e-01   1.4282e-04   2.4506e+03
3.0000e-01   1.2266e-04   2.4458e+03
2.5000e-01   1.0208e-04   2.4491e+03
2.0000e-01   8.1734e-05   2.4470e+03
1.5000e-01   6.1304e-05   2.4468e+03
1.0000e-01   4.0850e-05   2.4480e+03
5.0000e-02   2.0490e-05   2.4402e+03
0.0000e+00   2.2016e-08   0.0000e+00
0.0000e+00   2.2297e-08   0.0000e+00
-5.0000e-02   -2.0544e-05   2.4338e+03
-1.0000e-01   -4.1198e-05   2.4273e+03
-1.5000e-01   -6.1824e-05   2.4262e+03
-2.0000e-01   -8.2588e-05   2.4217e+03
-2.5000e-01   -1.0355e-04   2.4144e+03
-3.0000e-01   -1.2434e-04   2.4127e+03
-3.5000e-01   -1.4550e-04   2.4055e+03
-4.0000e-01   -1.6600e-04   2.4096e+03
-4.5000e-01   -1.8640e-04   2.4142e+03
-5.0000e-01   -2.0760e-04   2.4085e+03
-5.5000e-01   -2.2830e-04   2.4091e+03
-6.0000e-01   -2.4342e-04   2.4649e+03
-6.5000e-01   -2.6752e-04   2.4297e+03
-7.0000e-01   -2.8596e-04   2.4479e+03
-7.5000e-01   -3.0408e-04   2.4665e+03
-8.0000e-01   -3.2506e-04   2.4611e+03
-8.5000e-01   -3.3948e-04   2.5038e+03
-9.0000e-01   -3.5542e-04   2.5322e+03
-9.5000e-01   -3.5916e-04   2.6451e+03
-1.0000e+00   -3.2764e-04   3.0521e+03
-1.0000e+00   -3.2974e-04   3.0327e+03
-9.5000e-01   -3.2672e-04   2.9077e+03
-9.0000e-01   -3.0842e-04   2.9181e+03
-8.5000e-01   -2.8808e-04   2.9506e+03
-8.0000e-01   -2.7256e-04   2.9351e+03
-7.5000e-01   -2.5546e-04   2.9359e+03
-7.0000e-01   -2.3748e-04   2.9476e+03
-6.5000e-01   -2.2000e-04   2.9545e+03
-6.0000e-01   -2.0218e-04   2.9677e+03
-5.5000e-01   -1.8438e-04   2.9830e+03
-5.0000e-01   -1.6720e-04   2.9904e+03
-4.5000e-01   -1.4958e-04   3.0084e+03
-4.0000e-01   -1.3188e-04   3.0331e+03
-3.5000e-01   -1.1480e-04   3.0488e+03
-3.0000e-01   -9.7458e-05   3.0782e+03
-2.5000e-01   -8.0416e-05   3.1088e+03
-2.0000e-01   -6.3746e-05   3.1375e+03
-1.5000e-01   -4.7432e-05   3.1624e+03
-1.0000e-01   -3.1356e-05   3.1892e+03
-5.0000e-02   -1.5512e-05   3.2233e+03
0.0000e+00   1.4888e-08   0.0000e+00
