  Measurement Number     Measurement type
                  66                DC IV

      Measurement ID             SeriesID
       739688.807303                    0

         MeasureMode                Bias1                Bias2
                   2                 -1.5                    3

                Step  Positive compliance  Negative compliance
                0.05                0.001                0.001

  RealMeasuredPoints
                 184

        Bias        Current     Resistance
0.0000e+00   3.2910e-11   0.0000e+00
-5.0000e-02   -1.7919e-08   2.7903e+06
-1.0000e-01   -3.7517e-08   2.6655e+06
-1.5000e-01   -6.2973e-08   2.3820e+06
-2.0000e-01   -9.0035e-08   2.2214e+06
-2.5000e-01   -1.4634e-07   1.7084e+06
-3.0000e-01   -1.8936e-05   1.5843e+04
-3.5000e-01   -6.7524e-05   5.1833e+03
-4.0000e-01   -7.0972e-05   5.6360e+03
-4.5000e-01   -7.4842e-05   6.0127e+03
-5.0000e-01   -7.9602e-05   6.2812e+03
-5.5000e-01   -9.4332e-05   5.8305e+03
-6.0000e-01   -1.2500e-04   4.8000e+03
-6.5000e-01   -1.1664e-04   5.5727e+03
-7.0000e-01   -2.1704e-04   3.2252e+03
-7.5000e-01   -2.5856e-04   2.9007e+03
-8.0000e-01   -3.3436e-04   2.3926e+03
-8.5000e-01   -5.1790e-04   1.6412e+03
-9.0000e-01   -5.3586e-04   1.6795e+03
-9.5000e-01   -6.5448e-04   1.4515e+03
-1.0000e+00   -7.3790e-04   1.3552e+03
-1.0500e+00   -7.0814e-04   1.4828e+03
-1.1000e+00   -7.2654e-04   1.5140e+03
-1.1500e+00   -7.4368e-04   1.5464e+03
-1.2000e+00   -7.2672e-04   1.6513e+03
-1.2500e+00   -6.9142e-04   1.8079e+03
-1.3000e+00   -5.7366e-04   2.2662e+03
-1.3500e+00   -5.2322e-04   2.5802e+03
-1.4000e+00   -4.7650e-04   2.9381e+03
-1.4500e+00   -4.0140e-04   3.6124e+03
-1.5000e+00   -3.8124e-04   3.9345e+03
-1.5000e+00   -4.3166e-04   3.4750e+03
-1.4500e+00   -3.4196e-04   4.2403e+03
-1.4000e+00   -3.0574e-04   4.5791e+03
-1.3500e+00   -2.5260e-04   5.3444e+03
-1.3000e+00   -2.1472e-04   6.0544e+03
-1.2500e+00   -1.9594e-04   6.3795e+03
-1.2000e+00   -1.6500e-04   7.2727e+03
-1.1500e+00   -1.4098e-04   8.1572e+03
-1.1000e+00   -1.2378e-04   8.8867e+03
-1.0500e+00   -1.0682e-04   9.8296e+03
-1.0000e+00   -9.4188e-05   1.0617e+04
-9.5000e-01   -7.9414e-05   1.1963e+04
-9.0000e-01   -6.7088e-05   1.3415e+04
-8.5000e-01   -5.6072e-05   1.5159e+04
-8.0000e-01   -4.7628e-05   1.6797e+04
-7.5000e-01   -4.0550e-05   1.8496e+04
-7.0000e-01   -3.4660e-05   2.0196e+04
-6.5000e-01   -3.0056e-05   2.1626e+04
-6.0000e-01   -2.5068e-05   2.3935e+04
-5.5000e-01   -2.0814e-05   2.6425e+04
-5.0000e-01   -1.7164e-05   2.9131e+04
-4.5000e-01   -1.4080e-05   3.1960e+04
-4.0000e-01   -1.0298e-05   3.8842e+04
-3.5000e-01   -8.2462e-06   4.2444e+04
-3.0000e-01   -6.4265e-06   4.6682e+04
-2.5000e-01   -4.7728e-06   5.2380e+04
-2.0000e-01   -3.2723e-06   6.1119e+04
-1.5000e-01   -2.0493e-06   7.3196e+04
-1.0000e-01   -1.2684e-06   7.8839e+04
-5.0000e-02   -8.1642e-07   6.1243e+04
0.0000e+00   1.1433e-09   0.0000e+00
0.0000e+00   2.1643e-09   0.0000e+00
5.0000e-02   6.2964e-07   7.9410e+04
1.0000e-01   1.3828e-06   7.2317e+04
1.5000e-01   2.2353e-06   6.7105e+04
2.0000e-01   3.6195e-06   5.5256e+04
2.5000e-01   4.5870e-06   5.4502e+04
3.0000e-01   6.5416e-06   4.5860e+04
3.5000e-01   9.9642e-06   3.5126e+04
4.0000e-01   1.2062e-05   3.3162e+04
4.5000e-01   1.4580e-05   3.0864e+04
5.0000e-01   1.7210e-05   2.9053e+04
5.5000e-01   2.0524e-05   2.6798e+04
6.0000e-01   2.4720e-05   2.4272e+04
6.5000e-01   2.8122e-05   2.3114e+04
7.0000e-01   3.2166e-05   2.1762e+04
7.5000e-01   3.9346e-05   1.9062e+04
8.0000e-01   5.5018e-05   1.4541e+04
8.5000e-01   7.0996e-05   1.1973e+04
9.0000e-01   6.6718e-05   1.3490e+04
9.5000e-01   5.8612e-05   1.6208e+04
1.0000e+00   6.9060e-05   1.4480e+04
1.0500e+00   7.9042e-05   1.3284e+04
1.1000e+00   8.9596e-05   1.2277e+04
1.1500e+00   8.8094e-05   1.3054e+04
1.2000e+00   7.8154e-05   1.5354e+04
1.2500e+00   5.8568e-05   2.1343e+04
1.3000e+00   4.9000e-06   2.6531e+05
1.3500e+00   6.0286e-06   2.2393e+05
1.4000e+00   4.9779e-06   2.8124e+05
1.4500e+00   7.1631e-06   2.0243e+05
1.5000e+00   6.6790e-06   2.2458e+05
1.5500e+00   6.9580e-06   2.2277e+05
1.6000e+00   9.9291e-06   1.6114e+05
1.6500e+00   4.5747e-06   3.6068e+05
1.7000e+00   5.7842e-06   2.9390e+05
1.7500e+00   6.6609e-06   2.6273e+05
1.8000e+00   1.1656e-05   1.5443e+05
1.8500e+00   1.1124e-05   1.6631e+05
1.9000e+00   1.1348e-05   1.6743e+05
1.9500e+00   1.3510e-05   1.4434e+05
2.0000e+00   1.8694e-05   1.0699e+05
2.0500e+00   1.2378e-05   1.6562e+05
2.1000e+00   1.6396e-05   1.2808e+05
2.1500e+00   1.3476e-05   1.5954e+05
2.2000e+00   1.4356e-05   1.5325e+05
2.2500e+00   2.5700e-05   8.7549e+04
2.3000e+00   2.3936e-05   9.6090e+04
2.3500e+00   2.2434e-05   1.0475e+05
2.4000e+00   2.2756e-05   1.0547e+05
2.4500e+00   1.7654e-05   1.3878e+05
2.5000e+00   2.0336e-05   1.2293e+05
2.5500e+00   1.8554e-05   1.3744e+05
2.6000e+00   2.4812e-05   1.0479e+05
2.6500e+00   1.7938e-05   1.4773e+05
2.7000e+00   2.4976e-05   1.0810e+05
2.7500e+00   2.2910e-05   1.2003e+05
2.8000e+00   2.8594e-05   9.7923e+04
2.8500e+00   2.8722e-05   9.9227e+04
2.9000e+00   3.3354e-05   8.6946e+04
2.9500e+00   3.6830e-05   8.0098e+04
3.0000e+00   3.1450e-05   9.5390e+04
3.0000e+00   2.8258e-05   1.0616e+05
2.9500e+00   2.8568e-05   1.0326e+05
2.9000e+00   3.3320e-05   8.7035e+04
2.8500e+00   3.2202e-05   8.8504e+04
2.8000e+00   3.3802e-05   8.2835e+04
2.7500e+00   3.5242e-05   7.8032e+04
2.7000e+00   3.3064e-05   8.1660e+04
2.6500e+00   3.0558e-05   8.6720e+04
2.6000e+00   3.1120e-05   8.3548e+04
2.5500e+00   3.1558e-05   8.0804e+04
2.5000e+00   3.0580e-05   8.1753e+04
2.4500e+00   3.2632e-05   7.5080e+04
2.4000e+00   2.9464e-05   8.1455e+04
2.3500e+00   2.8640e-05   8.2053e+04
2.3000e+00   3.1518e-05   7.2974e+04
2.2500e+00   3.0276e-05   7.4316e+04
2.2000e+00   3.0886e-05   7.1230e+04
2.1500e+00   2.6664e-05   8.0633e+04
2.1000e+00   2.4116e-05   8.7079e+04
2.0500e+00   2.5576e-05   8.0153e+04
2.0000e+00   2.3048e-05   8.6775e+04
1.9500e+00   2.3890e-05   8.1624e+04
1.9000e+00   2.4438e-05   7.7748e+04
1.8500e+00   2.6700e-05   6.9288e+04
1.8000e+00   2.1086e-05   8.5365e+04
1.7500e+00   1.9236e-05   9.0975e+04
1.7000e+00   1.6722e-05   1.0166e+05
1.6500e+00   1.4310e-05   1.1530e+05
1.6000e+00   1.4256e-05   1.1223e+05
1.5500e+00   1.3180e-05   1.1760e+05
1.5000e+00   1.3276e-05   1.1299e+05
1.4500e+00   1.1440e-05   1.2675e+05
1.4000e+00   8.6400e-06   1.6204e+05
1.3500e+00   8.5340e-06   1.5819e+05
1.3000e+00   7.1300e-06   1.8233e+05
1.2500e+00   1.0378e-05   1.2045e+05
1.2000e+00   1.0860e-05   1.1050e+05
1.1500e+00   4.3020e-06   2.6732e+05
1.1000e+00   5.4528e-06   2.0173e+05
1.0500e+00   1.2930e-05   8.1206e+04
1.0000e+00   8.3064e-06   1.2039e+05
9.5000e-01   8.4700e-06   1.1216e+05
9.0000e-01   5.4720e-06   1.6447e+05
8.5000e-01   4.7098e-06   1.8047e+05
8.0000e-01   3.6815e-06   2.1730e+05
7.5000e-01   3.5844e-06   2.0924e+05
7.0000e-01   2.5607e-06   2.7336e+05
6.5000e-01   2.6587e-06   2.4448e+05
6.0000e-01   1.9889e-06   3.0167e+05
5.5000e-01   1.6258e-06   3.3829e+05
5.0000e-01   1.3176e-06   3.7948e+05
4.5000e-01   9.3310e-07   4.8226e+05
