  Measurement Number     Measurement type
                   6                DC IV

      Measurement ID             SeriesID
       739688.811635                   81

         MeasureMode                Bias1                Bias2
                   1                    0                    2

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  82

        Bias        Current     Resistance
0.0000e+00   9.6000e-13   0.0000e+00
5.0000e-02   1.4382e-10   3.4766e+08
1.0000e-01   3.2270e-10   3.0989e+08
1.5000e-01   5.4727e-10   2.7409e+08
2.0000e-01   8.5176e-10   2.3481e+08
2.5000e-01   1.3719e-09   1.8223e+08
3.0000e-01   1.6682e-09   1.7983e+08
3.5000e-01   2.1904e-09   1.5979e+08
4.0000e-01   2.8937e-09   1.3823e+08
4.5000e-01   4.0126e-09   1.1215e+08
5.0000e-01   4.9725e-09   1.0055e+08
5.5000e-01   5.4608e-09   1.0072e+08
6.0000e-01   7.5894e-09   7.9058e+07
6.5000e-01   1.0251e-08   6.3407e+07
7.0000e-01   1.2882e-08   5.4340e+07
7.5000e-01   2.1360e-08   3.5112e+07
8.0000e-01   2.2889e-08   3.4952e+07
8.5000e-01   8.7774e-08   9.6840e+06
9.0000e-01   2.6756e-07   3.3637e+06
9.5000e-01   2.5876e-07   3.6714e+06
1.0000e+00   3.7030e-07   2.7005e+06
1.0500e+00   3.0120e-07   3.4861e+06
1.1000e+00   5.6538e-07   1.9456e+06
1.1500e+00   9.9996e-07   1.1500e+06
1.2000e+00   9.9996e-07   1.2000e+06
1.2500e+00   9.9998e-07   1.2500e+06
1.3000e+00   9.9996e-07   1.3001e+06
1.3500e+00   9.9996e-07   1.3501e+06
1.4000e+00   9.9996e-07   1.4001e+06
1.4500e+00   9.9998e-07   1.4500e+06
1.5000e+00   9.9994e-07   1.5001e+06
1.5500e+00   9.9998e-07   1.5500e+06
1.6000e+00   1.0000e-06   1.6000e+06
1.6500e+00   9.9996e-07   1.6501e+06
1.7000e+00   9.9986e-07   1.7002e+06
1.7500e+00   9.9994e-07   1.7501e+06
1.8000e+00   9.9998e-07   1.8000e+06
1.8500e+00   9.9998e-07   1.8500e+06
1.9000e+00   9.9994e-07   1.9001e+06
1.9500e+00   9.9996e-07   1.9501e+06
2.0000e+00   9.9996e-07   2.0001e+06
2.0000e+00   9.9998e-07   2.0000e+06
1.9500e+00   9.9998e-07   1.9500e+06
1.9000e+00   1.0001e-06   1.8998e+06
1.8500e+00   9.9998e-07   1.8500e+06
1.8000e+00   1.0000e-06   1.8000e+06
1.7500e+00   9.9994e-07   1.7501e+06
1.7000e+00   1.0000e-06   1.7000e+06
1.6500e+00   9.9998e-07   1.6500e+06
1.6000e+00   9.9994e-07   1.6001e+06
1.5500e+00   9.9996e-07   1.5501e+06
1.5000e+00   9.9996e-07   1.5001e+06
1.4500e+00   1.0000e-06   1.4500e+06
1.4000e+00   1.0000e-06   1.4000e+06
1.3500e+00   9.9996e-07   1.3501e+06
1.3000e+00   9.9994e-07   1.3001e+06
1.2500e+00   9.9996e-07   1.2501e+06
1.2000e+00   9.9998e-07   1.2000e+06
1.1500e+00   1.0000e-06   1.1500e+06
1.1000e+00   9.9996e-07   1.1000e+06
1.0500e+00   1.0000e-06   1.0500e+06
1.0000e+00   9.9996e-07   1.0000e+06
9.5000e-01   9.5944e-07   9.9016e+05
9.0000e-01   6.7784e-07   1.3277e+06
8.5000e-01   5.8294e-07   1.4581e+06
8.0000e-01   4.8904e-07   1.6359e+06
7.5000e-01   4.2620e-07   1.7597e+06
7.0000e-01   3.8194e-07   1.8327e+06
6.5000e-01   3.6174e-07   1.7969e+06
6.0000e-01   2.4288e-07   2.4704e+06
5.5000e-01   2.1566e-07   2.5503e+06
5.0000e-01   1.7364e-07   2.8795e+06
4.5000e-01   1.8466e-07   2.4369e+06
4.0000e-01   1.4562e-07   2.7469e+06
3.5000e-01   1.3656e-07   2.5630e+06
3.0000e-01   1.2224e-07   2.4542e+06
2.5000e-01   5.9199e-08   4.2231e+06
2.0000e-01   3.2008e-08   6.2484e+06
1.5000e-01   1.6666e-08   9.0004e+06
1.0000e-01   8.4978e-09   1.1768e+07
5.0000e-02   2.0207e-09   2.4744e+07
0.0000e+00   7.0000e-14   0.0000e+00
