  Measurement Number     Measurement type
                 111                DC IV

      Measurement ID             SeriesID
       739694.743303                   85

         MeasureMode                Bias1                Bias2
                   2                   -3                    3

                Step  Positive compliance  Negative compliance
                 0.1                 0.01                 0.01

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -5.1760e-11   -0.0000e+00
-1.0000e-01   -1.3234e-06   7.5563e+04
-2.0000e-01   -3.4722e-06   5.7600e+04
-3.0000e-01   -6.1129e-06   4.9077e+04
-4.0000e-01   -1.0025e-05   3.9901e+04
-5.0000e-01   -2.6160e-05   1.9113e+04
-6.0000e-01   -3.4982e-05   1.7152e+04
-7.0000e-01   -6.7122e-05   1.0429e+04
-8.0000e-01   -6.6702e-05   1.1994e+04
-9.0000e-01   -1.2670e-04   7.1034e+03
-1.0000e+00   -1.7468e-04   5.7248e+03
-1.1000e+00   -2.7768e-04   3.9614e+03
-1.2000e+00   -2.9472e-04   4.0717e+03
-1.3000e+00   -3.3954e-04   3.8287e+03
-1.4000e+00   -5.1956e-04   2.6946e+03
-1.5000e+00   -6.5144e-04   2.3026e+03
-1.6000e+00   -1.2898e-03   1.2405e+03
-1.7000e+00   -1.4860e-03   1.1440e+03
-1.8000e+00   -2.4362e-03   7.3886e+02
-1.9000e+00   -2.9302e-03   6.4842e+02
-2.0000e+00   -3.1442e-03   6.3609e+02
-2.1000e+00   -3.4296e-03   6.1232e+02
-2.2000e+00   -4.0094e-03   5.4871e+02
-2.3000e+00   -4.2212e-03   5.4487e+02
-2.4000e+00   -4.4834e-03   5.3531e+02
-2.5000e+00   -4.9306e-03   5.0704e+02
-2.6000e+00   -5.5250e-03   4.7059e+02
-2.7000e+00   -6.1674e-03   4.3779e+02
-2.8000e+00   -6.6270e-03   4.2251e+02
-2.9000e+00   -7.1272e-03   4.0689e+02
-3.0000e+00   -7.6378e-03   3.9278e+02
-3.0000e+00   -7.6568e-03   3.9181e+02
-2.9000e+00   -7.1916e-03   4.0325e+02
-2.8000e+00   -6.8574e-03   4.0832e+02
-2.7000e+00   -6.4842e-03   4.1640e+02
-2.6000e+00   -6.1190e-03   4.2491e+02
-2.5000e+00   -5.7374e-03   4.3574e+02
-2.4000e+00   -5.3830e-03   4.4585e+02
-2.3000e+00   -5.0212e-03   4.5806e+02
-2.2000e+00   -4.6742e-03   4.7067e+02
-2.1000e+00   -4.3254e-03   4.8550e+02
-2.0000e+00   -3.9864e-03   5.0171e+02
-1.9000e+00   -3.6598e-03   5.1915e+02
-1.8000e+00   -3.3348e-03   5.3976e+02
-1.7000e+00   -3.0198e-03   5.6295e+02
-1.6000e+00   -2.7132e-03   5.8971e+02
-1.5000e+00   -2.4218e-03   6.1937e+02
-1.4000e+00   -2.1390e-03   6.5451e+02
-1.3000e+00   -1.8690e-03   6.9556e+02
-1.2000e+00   -1.6166e-03   7.4230e+02
-1.1000e+00   -1.3794e-03   7.9745e+02
-1.0000e+00   -1.1624e-03   8.6029e+02
-9.0000e-01   -9.6660e-04   9.3110e+02
-8.0000e-01   -7.9078e-04   1.0117e+03
-7.0000e-01   -6.3670e-04   1.0994e+03
-6.0000e-01   -5.0150e-04   1.1964e+03
-5.0000e-01   -3.8340e-04   1.3041e+03
-4.0000e-01   -2.7926e-04   1.4324e+03
-3.0000e-01   -1.9124e-04   1.5687e+03
-2.0000e-01   -1.1630e-04   1.7197e+03
-1.0000e-01   -5.3492e-05   1.8694e+03
0.0000e+00   -1.0084e-09   -0.0000e+00
0.0000e+00   -1.0828e-09   -0.0000e+00
1.0000e-01   5.2256e-05   1.9137e+03
2.0000e-01   1.1215e-04   1.7833e+03
3.0000e-01   1.8336e-04   1.6361e+03
4.0000e-01   2.6910e-04   1.4864e+03
5.0000e-01   3.6558e-04   1.3677e+03
6.0000e-01   4.7872e-04   1.2533e+03
7.0000e-01   6.0044e-04   1.1658e+03
8.0000e-01   7.4336e-04   1.0762e+03
9.0000e-01   9.1274e-04   9.8604e+02
1.0000e+00   1.0998e-03   9.0922e+02
1.1000e+00   1.3160e-03   8.3587e+02
1.2000e+00   1.5648e-03   7.6687e+02
1.3000e+00   1.8684e-03   6.9578e+02
1.4000e+00   2.1864e-03   6.4032e+02
1.5000e+00   2.5158e-03   5.9623e+02
1.6000e+00   2.8638e-03   5.5870e+02
1.7000e+00   3.1954e-03   5.3201e+02
1.8000e+00   3.5258e-03   5.1052e+02
1.9000e+00   3.8002e-03   4.9997e+02
2.0000e+00   3.8032e-03   5.2587e+02
2.1000e+00   3.9682e-03   5.2921e+02
2.2000e+00   3.3530e-03   6.5613e+02
2.3000e+00   1.3952e-03   1.6485e+03
2.4000e+00   1.3366e-03   1.7956e+03
2.5000e+00   1.2654e-03   1.9757e+03
2.6000e+00   1.1530e-03   2.2550e+03
