  Measurement Number     Measurement type
                 122            NewRelaib

      Measurement ID                 Mode
       739694.759930                WGFMU

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                -2.5              0.00101                    3              0.00101

           Rise time            Fall Time           Separation
               1e-05                1e-05                0.001

              Cycles       Steps in cycle         Test voltage
                 554                10000                   10

      Step        LRS        HRS
        10  1114.2793   1388.242
        70  1094.0267  1380.3984
       130  1090.9715  1390.8197
       190  1062.0472  1352.7622
       250   1094.343  1385.7252
       310  1046.7723  1344.6706
       370  1066.5588  1362.1597
       430  1125.2562  1343.3194
       490  1078.2232  1329.6281
       550   1074.456  1341.2533
       610  1111.6624  1392.0693
       670  1071.5085  1358.1076
       730  1094.4736   1342.782
       790  1123.4938  1344.7279
       850  1008.4345  1356.7288
       910   980.3069  1372.0141
       970  1091.5595  1391.5381
      1030   1112.429  1362.2004
      1090  1058.8587  1377.8589
      1150  1087.2962  1355.5759
      1210   1056.206   1322.546
      1270   1064.715  1324.9334
      1330  1028.3251  1370.3191
      1390  1019.9705  1304.6718
      1450  1020.1465  1344.0907
      1510  1030.2212  1360.3161
      1570  1063.7377  1328.2378
      1630  1093.2078  1377.6643
      1690  1072.9237   1369.865
      1750  1126.1613  1343.7633
      1810  1097.8609  1311.7156
      1870  1152.1703  1343.4386
      1930  1153.0781   1340.254
      1990  1110.0075   1366.542
      2050  1021.5366   1383.779
      2110   899.6886  1349.0061
      2170   987.7779  1320.2202
      2230   912.8985  1374.5878
      2290  1195.8508  1382.3265
      2350  1120.6764  1400.9134
      2410   1077.252  1360.3412
      2470  1100.4923  1388.0039
      2530  1097.5088  1332.2131
      2590  1075.5263  1357.4064
      2650   1102.282  1363.4851
      2710  1151.9364  1377.7671
      2770  1428.7311   48930.15
      2830  1394.2765 45879.8774
      2890  1509.8035 32865.1721
      2950  1201.2163  1343.0848
      3010  1189.6572  1375.4397
      3070  1226.1286 39279.7084
      3130  1492.0913 28524.0472
      3190  1149.0854  1423.7581
      3250  1167.8924  1419.2151
      3310  1223.9849  6205.1729
      3370  1460.9575 18689.6162
      3430  1416.3175 25191.9414
      3490  1713.2074 31158.6125
      3550   1377.973 18514.9076
      3610  1478.1651 29716.5064
      3670  1638.0385   24439.91
      3730  1816.4465 25043.4589
      3790  1995.8927 25467.9224
      3850  1927.8211 25645.5401
      3910  1922.0577 31975.8196
      3970  2073.5363 20082.0876
      4030  1948.5047 19260.5483
      4090   1913.042 20368.7816
      4150  2127.5944 22880.9892
      4210  2204.3896 16574.7747
      4270  2106.2907 15628.6075
      4330  2498.0264 18089.1167
      4390   2152.368 13655.4835
      4450   2248.365 14401.9824
      4510  1910.5077  15975.074
      4570  2067.9132  10070.252
      4630  2597.5765 16119.9057
      4690  2169.5508 18865.4204
      4750  2256.5965   14758.43
      4810  2297.2046  11405.961
      4870  1883.4578  8259.3012
      4930  1808.7172 10615.5475
      4990  1832.9443 12552.7442
      5050  1991.8287 10132.3271
      5110  2290.0315 12099.9624
      5170  2081.2329  8484.3242
      5230  2200.7128 13350.5439
      5290  2400.1278 12326.5989
      5350  1380.8929 13701.2548
      5410  1966.2405  12520.506
      5470  1830.3081 11890.4395
      5530  1994.7458 11724.7976
      5590  2214.8655 11297.5665
      5650  2241.4522 14900.4918
      5710    2199.89  15538.024
      5770  2214.6484 14455.3777
      5830  2016.4416 10919.4657
      5890  2023.4482 10117.0066
      5950  2013.0933  8641.4666
      6010  1669.5514  8939.4537
      6070  1781.4073 11815.1612
      6130  1810.9743  9938.5152
      6190  1549.1524   9612.081
      6250  1869.9204  9068.9544
      6310  1856.9656 10987.7061
      6370  1870.3814 11587.4947
      6430  1977.8083 13331.8338
      6490  1684.3774  9423.3475
      6550   1854.921 12322.1286
      6610  1490.6688 11146.1824
      6670  2025.2932 11912.8223
      6730  1730.8979  16406.127
      6790  1785.8526 10855.6155
      6850  1857.9904 14335.3291
      6910  1857.7543 12811.0735
      6970  1992.5639  6382.0837
      7030  1669.1653  15093.101
      7090  2103.1192 14278.9712
