  Measurement Number     Measurement type
                  92                DC IV

      Measurement ID             SeriesID
       739694.742072                    0

         MeasureMode                Bias1                Bias2
                   2                   -3                    3

                Step  Positive compliance  Negative compliance
                 0.1                 0.01                 0.01

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   2.9791e-10   0.0000e+00
-1.0000e-01   -4.1660e-06   2.4004e+04
-2.0000e-01   -9.2795e-06   2.1553e+04
-3.0000e-01   -1.5634e-05   1.9189e+04
-4.0000e-01   -2.2520e-05   1.7762e+04
-5.0000e-01   -3.0742e-05   1.6264e+04
-6.0000e-01   -3.8420e-05   1.5617e+04
-7.0000e-01   -4.5704e-05   1.5316e+04
-8.0000e-01   -6.3092e-05   1.2680e+04
-9.0000e-01   -8.4564e-05   1.0643e+04
-1.0000e+00   -1.1410e-04   8.7642e+03
-1.1000e+00   -2.3810e-04   4.6199e+03
-1.2000e+00   -6.5008e-04   1.8459e+03
-1.3000e+00   -1.2846e-03   1.0120e+03
-1.4000e+00   -1.8030e-03   7.7648e+02
-1.5000e+00   -2.1708e-03   6.9099e+02
-1.6000e+00   -2.5214e-03   6.3457e+02
-1.7000e+00   -2.9014e-03   5.8592e+02
-1.8000e+00   -3.5804e-03   5.0274e+02
-1.9000e+00   -3.9898e-03   4.7621e+02
-2.0000e+00   -4.5288e-03   4.4162e+02
-2.1000e+00   -4.9114e-03   4.2758e+02
-2.2000e+00   -5.2194e-03   4.2150e+02
-2.3000e+00   -5.5208e-03   4.1661e+02
-2.4000e+00   -5.7934e-03   4.1426e+02
-2.5000e+00   -6.4284e-03   3.8890e+02
-2.6000e+00   -6.7298e-03   3.8634e+02
-2.7000e+00   -7.0862e-03   3.8102e+02
-2.8000e+00   -7.4242e-03   3.7715e+02
-2.9000e+00   -7.9780e-03   3.6350e+02
-3.0000e+00   -8.3504e-03   3.5926e+02
-3.0000e+00   -8.3544e-03   3.5909e+02
-2.9000e+00   -7.9680e-03   3.6396e+02
-2.8000e+00   -7.5736e-03   3.6971e+02
-2.7000e+00   -7.1848e-03   3.7579e+02
-2.6000e+00   -6.8074e-03   3.8194e+02
-2.5000e+00   -6.4280e-03   3.8892e+02
-2.4000e+00   -6.0538e-03   3.9645e+02
-2.3000e+00   -5.6850e-03   4.0457e+02
-2.2000e+00   -5.3170e-03   4.1377e+02
-2.1000e+00   -4.9508e-03   4.2417e+02
-2.0000e+00   -4.5976e-03   4.3501e+02
-1.9000e+00   -4.2412e-03   4.4799e+02
-1.8000e+00   -3.8906e-03   4.6265e+02
-1.7000e+00   -3.5492e-03   4.7898e+02
-1.6000e+00   -3.2124e-03   4.9807e+02
-1.5000e+00   -2.8846e-03   5.2000e+02
-1.4000e+00   -2.5674e-03   5.4530e+02
-1.3000e+00   -2.2640e-03   5.7420e+02
-1.2000e+00   -1.9752e-03   6.0753e+02
-1.1000e+00   -1.7008e-03   6.4675e+02
-1.0000e+00   -1.4462e-03   6.9147e+02
-9.0000e-01   -1.2124e-03   7.4233e+02
-8.0000e-01   -9.9604e-04   8.0318e+02
-7.0000e-01   -8.0686e-04   8.6756e+02
-6.0000e-01   -6.3430e-04   9.4592e+02
-5.0000e-01   -4.8508e-04   1.0308e+03
-4.0000e-01   -3.5458e-04   1.1281e+03
-3.0000e-01   -2.4236e-04   1.2378e+03
-2.0000e-01   -1.4722e-04   1.3585e+03
-1.0000e-01   -6.7672e-05   1.4777e+03
0.0000e+00   -1.1111e-08   -0.0000e+00
0.0000e+00   -1.4161e-08   -0.0000e+00
1.0000e-01   6.7080e-05   1.4908e+03
2.0000e-01   1.4444e-04   1.3847e+03
3.0000e-01   2.3566e-04   1.2730e+03
4.0000e-01   3.4136e-04   1.1718e+03
5.0000e-01   4.6330e-04   1.0792e+03
6.0000e-01   5.9996e-04   1.0001e+03
7.0000e-01   7.5866e-04   9.2268e+02
8.0000e-01   9.4090e-04   8.5025e+02
9.0000e-01   1.1327e-03   7.9456e+02
1.0000e+00   1.3646e-03   7.3282e+02
1.1000e+00   1.6568e-03   6.6393e+02
1.2000e+00   1.9544e-03   6.1400e+02
1.3000e+00   2.2654e-03   5.7385e+02
1.4000e+00   2.5976e-03   5.3896e+02
1.5000e+00   2.9608e-03   5.0662e+02
1.6000e+00   3.3500e-03   4.7761e+02
1.7000e+00   3.7344e-03   4.5523e+02
1.8000e+00   4.1312e-03   4.3571e+02
1.9000e+00   4.5164e-03   4.2069e+02
2.0000e+00   4.9128e-03   4.0710e+02
2.1000e+00   5.2622e-03   3.9907e+02
2.2000e+00   5.2286e-03   4.2076e+02
2.3000e+00   4.3330e-03   5.3081e+02
2.4000e+00   3.7386e-03   6.4195e+02
2.5000e+00   2.4404e-03   1.0244e+03
2.6000e+00   2.0338e-03   1.2784e+03
2.7000e+00   1.7996e-03   1.5003e+03
