  Measurement Number     Measurement type
                  16            NewRelaib

      Measurement ID                 Mode
       739694.776394                WGFMU

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                  -3             0.000101                  3.5             0.000101

           Rise time            Fall Time           Separation
               1e-06                1e-06               0.0001

              Cycles       Steps in cycle         Test voltage
                 500                10000                    1

      Step        LRS        HRS
         1  1423.7017 27824.9787
        21  2022.2404  78755.361
        41   1991.916 96928.6871
        61  1894.4436 62421.8672
        81  1823.4169 66527.2379
       101  1905.4822 52056.3128
       121     1535.6 35167.7774
       141  1562.8716 37468.4564
       161  3066.1246  31539.452
       181  3091.9938 23520.6699
       201  2967.7091 46147.4458
       221  1441.3843 42563.8145
       241  1427.3512 46011.1988
       261   3005.656 32562.2107
       281  1521.1276   38864.79
       301  2220.7236 31423.9221
       321  1497.4642 41292.6877
       341  1671.8294 86107.3827
       361  2453.9567 64954.3261
       381  2524.2904   52392.58
       401  2290.0723 31909.4455
       421  2944.3044  22165.967
       441  2659.6537 16955.9583
       461  2745.9914 23086.8593
       481  2929.3612 16452.6926
       501  3476.0187 23721.5714
       521  3490.0208 19305.5129
       541  3090.4756 17225.2178
       561   3059.065 18716.0511
       581  2950.0385 14146.4883
       601  2782.8971 19828.8686
       621  1396.3889 23647.0651
       641  2832.7539 24301.4768
       661  2773.9461 18780.5655
       681  2940.6264 23243.8457
       701  2831.7943 15452.8869
       721  2844.4498 20020.6488
       741   2889.554 20114.4208
       761  3447.1232 20702.5166
       781   1847.356 28212.1218
       801  3205.7726  39334.281
       821  3135.5147 17876.8539
       841  1448.9713  14889.025
       861  3852.2626 34054.9519
       881  3106.4688 13948.1599
       901  2321.5357 16407.0812
       921   2690.515 22440.1261
       941  2789.5405 14074.4064
       961    2903.84  16920.264
       981  3054.6635 11670.1889
      1001  3371.3133 13027.9505
      1021  3141.3963 14616.1997
      1041  3381.6319 13737.2077
      1061   3636.961 13995.2566
      1081  3849.6572   14905.94
      1101  4141.1038 15867.6095
      1121  4201.3616 14078.4599
      1141  4066.0702 13546.4103
      1161   2901.951 15765.0586
      1181  4394.5864 13029.3776
      1201   4258.398 11420.2345
      1221  3063.8633 12372.7885
      1241   4211.983 12691.6723
      1261  4419.2165 14715.3418
      1281  4397.8465 14787.8431
      1301  4277.1438 12409.7036
      1321  3995.8488 13000.3301
      1341  4283.7515 15126.3764
      1361  4392.5202 13829.6768
      1381  4532.1345 13493.5513
      1401  4558.1373 13537.3152
      1421  4835.3503 17154.0118
      1441   4810.906 15611.2691
      1461  2552.7695 16940.8262
      1481  4765.6776  22147.396
      1501  4813.9367 17915.4443
      1521  1798.3261 26387.4701
      1541  5022.8652 39558.3908
      1561  4779.4576  18591.056
      1581  3428.7817 31623.8558
      1601   3895.477 15076.0218
      1621  3280.1162 15916.2981
      1641  2810.1755 21839.0587
