  Measurement Number     Measurement type
                   8                DC IV

      Measurement ID             SeriesID
       739694.771852                   71

         MeasureMode                Bias1                Bias2
                   2                   -3                    3

                Step  Positive compliance  Negative compliance
                 0.1                 0.01                 0.01

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -4.6700e-12   -0.0000e+00
-1.0000e-01   -1.5122e-08   6.6129e+06
-2.0000e-01   -3.8627e-08   5.1777e+06
-3.0000e-01   -7.0222e-08   4.2721e+06
-4.0000e-01   -1.8928e-07   2.1133e+06
-5.0000e-01   -2.3798e-07   2.1010e+06
-6.0000e-01   -8.2040e-06   7.3135e+04
-7.0000e-01   -1.3500e-05   5.1852e+04
-8.0000e-01   -2.0082e-05   3.9837e+04
-9.0000e-01   -3.5616e-05   2.5270e+04
-1.0000e+00   -3.3836e-05   2.9554e+04
-1.1000e+00   -4.9824e-05   2.2078e+04
-1.2000e+00   -6.8598e-05   1.7493e+04
-1.3000e+00   -8.6280e-05   1.5067e+04
-1.4000e+00   -1.0306e-04   1.3584e+04
-1.5000e+00   -1.1358e-04   1.3207e+04
-1.6000e+00   -5.8414e-04   2.7391e+03
-1.7000e+00   -6.6308e-04   2.5638e+03
-1.8000e+00   -7.4830e-04   2.4055e+03
-1.9000e+00   -8.4568e-04   2.2467e+03
-2.0000e+00   -9.2470e-04   2.1629e+03
-2.1000e+00   -1.5674e-03   1.3398e+03
-2.2000e+00   -1.7726e-03   1.2411e+03
-2.3000e+00   -2.0328e-03   1.1314e+03
-2.4000e+00   -2.8402e-03   8.4501e+02
-2.5000e+00   -2.9502e-03   8.4740e+02
-2.6000e+00   -3.3328e-03   7.8012e+02
-2.7000e+00   -4.0104e-03   6.7325e+02
-2.8000e+00   -4.1624e-03   6.7269e+02
-2.9000e+00   -4.3806e-03   6.6201e+02
-3.0000e+00   -4.6954e-03   6.3892e+02
-3.0000e+00   -4.6726e-03   6.4204e+02
-2.9000e+00   -4.4874e-03   6.4625e+02
-2.8000e+00   -4.2768e-03   6.5470e+02
-2.7000e+00   -4.1676e-03   6.4785e+02
-2.6000e+00   -3.9906e-03   6.5153e+02
-2.5000e+00   -3.7742e-03   6.6239e+02
-2.4000e+00   -3.5776e-03   6.7084e+02
-2.3000e+00   -3.3654e-03   6.8343e+02
-2.2000e+00   -3.1684e-03   6.9436e+02
-2.1000e+00   -2.9828e-03   7.0404e+02
-2.0000e+00   -2.7936e-03   7.1592e+02
-1.9000e+00   -2.6016e-03   7.3032e+02
-1.8000e+00   -2.4252e-03   7.4221e+02
-1.7000e+00   -2.2424e-03   7.5812e+02
-1.6000e+00   -2.0632e-03   7.7549e+02
-1.5000e+00   -1.8896e-03   7.9382e+02
-1.4000e+00   -1.7132e-03   8.1718e+02
-1.3000e+00   -1.5484e-03   8.3958e+02
-1.2000e+00   -1.3886e-03   8.6418e+02
-1.1000e+00   -1.2332e-03   8.9199e+02
-1.0000e+00   -1.0840e-03   9.2251e+02
-9.0000e-01   -9.4148e-04   9.5594e+02
-8.0000e-01   -8.0768e-04   9.9049e+02
-7.0000e-01   -6.8130e-04   1.0274e+03
-6.0000e-01   -5.6204e-04   1.0675e+03
-5.0000e-01   -4.4982e-04   1.1116e+03
-4.0000e-01   -3.4532e-04   1.1583e+03
-3.0000e-01   -2.4784e-04   1.2105e+03
-2.0000e-01   -1.5810e-04   1.2650e+03
-1.0000e-01   -7.6032e-05   1.3152e+03
0.0000e+00   1.8741e-08   0.0000e+00
0.0000e+00   3.4940e-08   0.0000e+00
1.0000e-01   7.5522e-05   1.3241e+03
2.0000e-01   1.5524e-04   1.2883e+03
3.0000e-01   2.4058e-04   1.2470e+03
4.0000e-01   3.3122e-04   1.2077e+03
5.0000e-01   4.2570e-04   1.1745e+03
6.0000e-01   5.2684e-04   1.1389e+03
7.0000e-01   6.3656e-04   1.0997e+03
8.0000e-01   7.4510e-04   1.0737e+03
9.0000e-01   8.6628e-04   1.0389e+03
1.0000e+00   1.0065e-03   9.9352e+02
1.1000e+00   1.1674e-03   9.4226e+02
1.2000e+00   1.3096e-03   9.1631e+02
1.3000e+00   1.4688e-03   8.8508e+02
1.4000e+00   1.6534e-03   8.4674e+02
1.5000e+00   1.8704e-03   8.0197e+02
1.6000e+00   2.0804e-03   7.6908e+02
1.7000e+00   2.2942e-03   7.4100e+02
1.8000e+00   2.5196e-03   7.1440e+02
1.9000e+00   2.7188e-03   6.9884e+02
2.0000e+00   2.8958e-03   6.9066e+02
2.1000e+00   2.1758e-03   9.6516e+02
2.2000e+00   1.5838e-03   1.3891e+03
2.3000e+00   4.4806e-04   5.1332e+03
2.4000e+00   4.0476e-04   5.9294e+03
2.5000e+00   3.2954e-04   7.5863e+03
2.6000e+00   1.8924e-04   1.3739e+04
2.7000e+00   1.0014e-04   2.6962e+04
