  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739694.765225                    0

         MeasureMode                Bias1                Bias2
                   2                   -3                    3

                Step  Positive compliance  Negative compliance
                0.05                 0.01                 0.01

  RealMeasuredPoints
                 244

        Bias        Current     Resistance
0.0000e+00   5.9118e-09   0.0000e+00
-5.0000e-02   -7.8628e-06   6.3591e+03
-1.0000e-01   -1.6142e-05   6.1950e+03
-1.5000e-01   -2.4742e-05   6.0626e+03
-2.0000e-01   -3.3960e-05   5.8893e+03
-2.5000e-01   -4.3508e-05   5.7461e+03
-3.0000e-01   -5.3224e-05   5.6366e+03
-3.5000e-01   -6.5268e-05   5.3625e+03
-4.0000e-01   -7.8024e-05   5.1266e+03
-4.5000e-01   -8.5234e-05   5.2796e+03
-5.0000e-01   -9.1296e-05   5.4767e+03
-5.5000e-01   -9.4840e-05   5.7992e+03
-6.0000e-01   -1.0467e-04   5.7322e+03
-6.5000e-01   -1.1189e-04   5.8092e+03
-7.0000e-01   -1.0646e-04   6.5752e+03
-7.5000e-01   -9.9980e-05   7.5015e+03
-8.0000e-01   -1.1540e-04   6.9324e+03
-8.5000e-01   -1.1082e-04   7.6701e+03
-9.0000e-01   -1.0388e-04   8.6638e+03
-9.5000e-01   -9.5778e-05   9.9188e+03
-1.0000e+00   -1.1714e-04   8.5368e+03
-1.0500e+00   -1.1230e-04   9.3500e+03
-1.1000e+00   -1.3688e-04   8.0362e+03
-1.1500e+00   -1.3210e-04   8.7055e+03
-1.2000e+00   -1.2956e-04   9.2621e+03
-1.2500e+00   -2.0050e-04   6.2344e+03
-1.3000e+00   -3.2042e-04   4.0572e+03
-1.3500e+00   -5.0456e-04   2.6756e+03
-1.4000e+00   -5.4098e-04   2.5879e+03
-1.4500e+00   -7.2820e-04   1.9912e+03
-1.5000e+00   -8.0298e-04   1.8680e+03
-1.5500e+00   -8.6210e-04   1.7979e+03
-1.6000e+00   -9.3868e-04   1.7045e+03
-1.6500e+00   -9.9256e-04   1.6624e+03
-1.7000e+00   -1.0537e-03   1.6133e+03
-1.7500e+00   -1.1398e-03   1.5354e+03
-1.8000e+00   -1.2114e-03   1.4859e+03
-1.8500e+00   -1.2892e-03   1.4350e+03
-1.9000e+00   -1.3508e-03   1.4066e+03
-1.9500e+00   -1.4342e-03   1.3596e+03
-2.0000e+00   -1.5202e-03   1.3156e+03
-2.0500e+00   -1.5946e-03   1.2856e+03
-2.1000e+00   -1.6580e-03   1.2666e+03
-2.1500e+00   -1.7324e-03   1.2411e+03
-2.2000e+00   -1.8044e-03   1.2192e+03
-2.2500e+00   -1.8634e-03   1.2075e+03
-2.3000e+00   -1.9522e-03   1.1782e+03
-2.3500e+00   -2.0346e-03   1.1550e+03
-2.4000e+00   -2.1034e-03   1.1410e+03
-2.4500e+00   -2.1830e-03   1.1223e+03
-2.5000e+00   -2.2666e-03   1.1030e+03
-2.5500e+00   -2.3756e-03   1.0734e+03
-2.6000e+00   -2.4586e-03   1.0575e+03
-2.6500e+00   -2.5248e-03   1.0496e+03
-2.7000e+00   -2.5868e-03   1.0438e+03
-2.7500e+00   -2.6536e-03   1.0363e+03
-2.8000e+00   -2.7372e-03   1.0229e+03
-2.8500e+00   -2.8212e-03   1.0102e+03
-2.9000e+00   -2.9136e-03   9.9533e+02
-2.9500e+00   -2.9906e-03   9.8642e+02
-3.0000e+00   -3.0628e-03   9.7950e+02
-3.0000e+00   -3.0664e-03   9.7835e+02
-2.9500e+00   -3.0044e-03   9.8189e+02
-2.9000e+00   -2.9446e-03   9.8485e+02
-2.8500e+00   -2.8812e-03   9.8917e+02
-2.8000e+00   -2.8290e-03   9.8975e+02
-2.7500e+00   -2.7602e-03   9.9630e+02
-2.7000e+00   -2.6834e-03   1.0062e+03
-2.6500e+00   -2.6220e-03   1.0107e+03
-2.6000e+00   -2.5500e-03   1.0196e+03
-2.5500e+00   -2.4932e-03   1.0228e+03
-2.5000e+00   -2.4172e-03   1.0343e+03
-2.4500e+00   -2.3528e-03   1.0413e+03
-2.4000e+00   -2.2846e-03   1.0505e+03
-2.3500e+00   -2.2264e-03   1.0555e+03
-2.3000e+00   -2.1684e-03   1.0607e+03
-2.2500e+00   -2.1024e-03   1.0702e+03
-2.2000e+00   -2.0430e-03   1.0768e+03
-2.1500e+00   -1.9810e-03   1.0853e+03
-2.1000e+00   -1.9178e-03   1.0950e+03
-2.0500e+00   -1.8546e-03   1.1054e+03
-2.0000e+00   -1.7926e-03   1.1157e+03
-1.9500e+00   -1.7332e-03   1.1251e+03
-1.9000e+00   -1.6752e-03   1.1342e+03
-1.8500e+00   -1.6194e-03   1.1424e+03
-1.8000e+00   -1.5606e-03   1.1534e+03
-1.7500e+00   -1.5048e-03   1.1629e+03
-1.7000e+00   -1.4478e-03   1.1742e+03
