  Measurement Number     Measurement type
                  47                DC IV

      Measurement ID             SeriesID
       739694.768956                   40

         MeasureMode                Bias1                Bias2
                   2                   -3                 2.75

                Step  Positive compliance  Negative compliance
                 0.1                 0.01                 0.01

  RealMeasuredPoints
                 120

        Bias        Current     Resistance
0.0000e+00   5.6650e-10   0.0000e+00
-1.0000e-01   -2.9357e-06   3.4063e+04
-2.0000e-01   -6.8869e-06   2.9041e+04
-3.0000e-01   -1.1610e-05   2.5840e+04
-4.0000e-01   -1.7940e-05   2.2297e+04
-5.0000e-01   -2.5176e-05   1.9860e+04
-6.0000e-01   -3.7120e-05   1.6164e+04
-7.0000e-01   -4.7434e-05   1.4757e+04
-8.0000e-01   -6.3904e-05   1.2519e+04
-9.0000e-01   -8.0846e-05   1.1132e+04
-1.0000e+00   -2.9156e-04   3.4298e+03
-1.1000e+00   -3.9290e-04   2.7997e+03
-1.2000e+00   -6.5182e-04   1.8410e+03
-1.3000e+00   -8.4550e-04   1.5376e+03
-1.4000e+00   -1.2336e-03   1.1349e+03
-1.5000e+00   -1.4074e-03   1.0658e+03
-1.6000e+00   -1.6546e-03   9.6700e+02
-1.7000e+00   -1.9050e-03   8.9239e+02
-1.8000e+00   -2.1176e-03   8.5002e+02
-1.9000e+00   -2.3938e-03   7.9372e+02
-2.0000e+00   -2.6306e-03   7.6028e+02
-2.1000e+00   -2.8950e-03   7.2539e+02
-2.2000e+00   -3.1794e-03   6.9195e+02
-2.3000e+00   -3.4114e-03   6.7421e+02
-2.4000e+00   -3.6280e-03   6.6152e+02
-2.5000e+00   -3.8364e-03   6.5165e+02
-2.6000e+00   -4.0494e-03   6.4207e+02
-2.7000e+00   -4.2666e-03   6.3282e+02
-2.8000e+00   -4.4974e-03   6.2258e+02
-2.9000e+00   -4.7646e-03   6.0866e+02
-3.0000e+00   -5.0480e-03   5.9429e+02
-3.0000e+00   -5.0668e-03   5.9209e+02
-2.9000e+00   -4.8062e-03   6.0339e+02
-2.8000e+00   -4.5512e-03   6.1522e+02
-2.7000e+00   -4.2962e-03   6.2846e+02
-2.6000e+00   -4.0480e-03   6.4229e+02
-2.5000e+00   -3.8050e-03   6.5703e+02
-2.4000e+00   -3.5642e-03   6.7336e+02
-2.3000e+00   -3.3246e-03   6.9181e+02
-2.2000e+00   -3.0942e-03   7.1101e+02
-2.1000e+00   -2.8642e-03   7.3319e+02
-2.0000e+00   -2.6410e-03   7.5729e+02
-1.9000e+00   -2.4202e-03   7.8506e+02
-1.8000e+00   -2.2082e-03   8.1514e+02
-1.7000e+00   -2.0006e-03   8.4975e+02
-1.6000e+00   -1.7944e-03   8.9166e+02
-1.5000e+00   -1.5954e-03   9.4020e+02
-1.4000e+00   -1.4040e-03   9.9715e+02
-1.3000e+00   -1.2190e-03   1.0664e+03
-1.2000e+00   -1.0434e-03   1.1501e+03
-1.1000e+00   -8.8056e-04   1.2492e+03
-1.0000e+00   -7.2658e-04   1.3763e+03
-9.0000e-01   -5.8888e-04   1.5283e+03
-8.0000e-01   -4.6524e-04   1.7195e+03
-7.0000e-01   -3.5760e-04   1.9575e+03
-6.0000e-01   -2.6602e-04   2.2555e+03
-5.0000e-01   -1.8934e-04   2.6408e+03
-4.0000e-01   -1.2724e-04   3.1437e+03
-3.0000e-01   -7.8684e-05   3.8127e+03
-2.0000e-01   -4.2712e-05   4.6825e+03
-1.0000e-01   -1.7592e-05   5.6844e+03
0.0000e+00   6.4758e-09   0.0000e+00
0.0000e+00   6.5702e-09   0.0000e+00
9.8250e-02   1.7508e-05   5.6117e+03
1.9650e-01   4.2630e-05   4.6094e+03
2.9475e-01   7.6864e-05   3.8347e+03
3.9275e-01   1.2036e-04   3.2631e+03
4.9100e-01   1.7542e-04   2.7990e+03
5.8925e-01   2.4390e-04   2.4159e+03
6.8750e-01   3.2544e-04   2.1125e+03
7.8575e-01   4.2286e-04   1.8582e+03
8.8400e-01   5.3054e-04   1.6662e+03
9.8225e-01   6.5462e-04   1.5005e+03
1.0803e+00   7.9680e-04   1.3557e+03
1.1785e+00   9.8622e-04   1.1950e+03
1.2768e+00   1.1946e-03   1.0688e+03
1.3750e+00   1.3796e-03   9.9667e+02
1.4733e+00   1.6238e-03   9.0729e+02
1.5715e+00   1.8130e-03   8.6680e+02
1.6698e+00   2.0208e-03   8.2628e+02
1.7678e+00   2.2476e-03   7.8651e+02
1.8660e+00   2.4826e-03   7.5163e+02
1.9643e+00   2.7102e-03   7.2476e+02
2.0625e+00   2.8348e-03   7.2756e+02
