  Measurement Number     Measurement type
                   3            NewRelaib

      Measurement ID                 Mode
       739694.784178                WGFMU

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                -2.5             1.01e-05                    3             1.01e-05

           Rise time            Fall Time           Separation
               1e-07                1e-07                1e-05

              Cycles       Steps in cycle         Test voltage
                 502               100000                    1

      Step        LRS        HRS
         1  7037.5775  50031.131
       176 21995.8743 50189.4467
       351 22218.4065 53141.5457
       526 21970.8216 55277.5808
       701 21900.0373 51938.8812
       876  22657.824 53204.9293
      1051 22244.7211 48833.0676
      1226 22411.6598 49832.0256
      1401 22309.3828 48846.4346
      1576  22021.663 49755.6007
      1751 23091.0421  52737.115
      1926 22519.1398 51912.4374
      2101 23141.2021 51036.4042
      2276 23262.6335 49814.6357
      2451 23008.4164 53384.0027
      2626 23109.7332 52901.2824
      2801 23337.9373 50912.6265
      2976 23324.2084 53520.1048
      3151 24322.5127 54760.1754
      3326 23164.4845 50746.1147
      3501 22369.5151 49915.6665
      3676 23674.6743 51263.6712
      3851  23190.827  52250.666
      4026 23473.7927  54014.236
      4201 25063.8807 53620.6218
      4376 23753.4638 53608.5408
      4551 23673.8905 50753.3318
      4726 24703.0113 54945.6594
      4901 24190.6153 55761.2575
      5076 24555.9793 52862.1017
      5251 24656.0758 54059.2381
      5426 24463.3982  51304.205
      5601 23152.4616 51098.5172
      5776 23514.7789 49887.7561
      5951  23835.169 50409.2171
      6126 24725.2614 52254.4915
      6301 23586.2692 52527.5331
      6476 23874.2336 48987.2425
      6651 23495.4272 50080.2769
      6826 23906.2208 48186.8821
      7001 24291.0572 51007.2268
      7176 23431.4085 51076.5792
      7351 23792.2623 50501.9542
      7526 24013.9999 50210.6302
      7701 23432.9461 49139.0095
      7876 24952.5989 53761.9839
      8051 24742.4044 55822.3138
      8226  24568.659 52846.4469
      8401 23862.2624 47330.5111
      8576 23978.5016 51248.9499
      8751 24362.3619 54128.9332
      8926 23921.4435 49322.3775
      9101 24555.9795  47924.804
      9276 24013.9991 49428.2612
      9451 24616.9599 55406.3114
      9626 24397.3373 55051.6104
      9801 24349.8955 51589.7427
      9976 23947.9301 50245.9766
     10151 25264.3835 53094.1093
     10326 24903.8424  54835.902
     10501 23830.3934 49954.0946
     10676 23596.4062 50684.8538
     10851 24440.7798 53011.2968
     11026 24158.6828 47809.2383
     11201 25030.4788 54397.0807
     11376 24371.5115 57750.9597
     11551 23850.3006 49356.4828
     11726  25200.159  53822.798
     11901 25188.5976 51761.8462
     12076 24158.6828  52250.666
     12251 25428.1979 52010.7932
     12426 25081.4955 53455.9711
     12601 25057.7211 51025.4583
     12776 24724.4037 55098.3557
