  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739688.719006                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   5.2400e-12   0.0000e+00
5.0000e-02   2.3100e-12   2.1645e+10
1.0000e-01   -4.6600e-12   -2.1459e+10
1.5000e-01   5.0600e-12   2.9644e+10
2.0000e-01   1.3760e-11   1.4535e+10
2.5000e-01   8.4900e-12   2.9446e+10
3.0000e-01   5.9300e-12   5.0590e+10
3.5000e-01   9.6100e-12   3.6420e+10
4.0000e-01   1.9920e-11   2.0080e+10
4.5000e-01   1.6040e-11   2.8055e+10
5.0000e-01   1.3980e-11   3.5765e+10
5.5000e-01   1.9880e-11   2.7666e+10
6.0000e-01   2.5560e-11   2.3474e+10
6.5000e-01   2.9080e-11   2.2352e+10
7.0000e-01   2.7690e-11   2.5280e+10
7.5000e-01   2.1860e-11   3.4309e+10
8.0000e-01   3.4520e-11   2.3175e+10
8.5000e-01   5.2430e-11   1.6212e+10
9.0000e-01   4.9920e-11   1.8029e+10
9.5000e-01   5.1330e-11   1.8508e+10
1.0000e+00   7.0120e-11   1.4261e+10
1.0000e+00   7.2060e-11   1.3877e+10
9.5000e-01   2.8830e-11   3.2952e+10
9.0000e-01   1.5580e-11   5.7766e+10
8.5000e-01   1.5300e-11   5.5556e+10
8.0000e-01   2.0820e-11   3.8425e+10
7.5000e-01   1.2070e-11   6.2138e+10
7.0000e-01   -5.0000e-13   -1.4000e+12
6.5000e-01   2.3500e-12   2.7660e+11
6.0000e-01   8.7300e-12   6.8729e+10
5.5000e-01   4.2800e-12   1.2850e+11
5.0000e-01   -5.2000e-13   -9.6154e+11
4.5000e-01   -2.6800e-12   -1.6791e+11
4.0000e-01   1.5200e-12   2.6316e+11
3.5000e-01   3.0100e-12   1.1628e+11
3.0000e-01   -6.5500e-12   -4.5802e+10
2.5000e-01   -1.2800e-11   -1.9531e+10
2.0000e-01   -7.3100e-12   -2.7360e+10
1.5000e-01   -1.6900e-12   -8.8757e+10
1.0000e-01   -6.8300e-12   -1.4641e+10
5.0000e-02   -1.3910e-11   -3.5945e+09
0.0000e+00   -1.0140e-11   -0.0000e+00
0.0000e+00   8.1000e-13   0.0000e+00
-5.0000e-02   -5.9100e-12   8.4602e+09
-1.0000e-01   -2.6400e-12   3.7879e+10
-1.5000e-01   -1.3100e-12   1.1450e+11
-2.0000e-01   -7.7100e-12   2.5940e+10
-2.5000e-01   -1.9150e-11   1.3055e+10
-3.0000e-01   -1.5890e-11   1.8880e+10
-3.5000e-01   -9.6000e-12   3.6458e+10
-4.0000e-01   -1.3420e-11   2.9806e+10
-4.5000e-01   -2.2210e-11   2.0261e+10
-5.0000e-01   -2.5340e-11   1.9732e+10
-5.5000e-01   -2.1250e-11   2.5882e+10
-6.0000e-01   -2.3270e-11   2.5784e+10
-6.5000e-01   -3.1590e-11   2.0576e+10
-7.0000e-01   -3.8110e-11   1.8368e+10
-7.5000e-01   -3.8380e-11   1.9541e+10
-8.0000e-01   -4.0650e-11   1.9680e+10
-8.5000e-01   -4.7230e-11   1.7997e+10
-9.0000e-01   -6.2850e-11   1.4320e+10
-9.5000e-01   -7.4430e-11   1.2764e+10
-1.0000e+00   -8.1410e-11   1.2284e+10
-1.0000e+00   -8.0130e-11   1.2480e+10
-9.5000e-01   -4.6930e-11   2.0243e+10
-9.0000e-01   -3.5310e-11   2.5489e+10
-8.5000e-01   -1.7900e-11   4.7486e+10
-8.0000e-01   -4.9500e-12   1.6162e+11
-7.5000e-01   -4.1000e-12   1.8293e+11
-7.0000e-01   -1.2250e-11   5.7143e+10
-6.5000e-01   -4.3700e-12   1.4874e+11
-6.0000e-01   6.7000e-13   -8.9552e+11
-5.5000e-01   -3.4000e-13   1.6176e+12
-5.0000e-01   -4.3400e-12   1.1521e+11
-4.5000e-01   -7.8000e-13   5.7692e+11
-4.0000e-01   4.6100e-12   -8.6768e+10
-3.5000e-01   4.9500e-12   -7.0707e+10
-3.0000e-01   -6.0000e-13   5.0000e+11
-2.5000e-01   -3.3800e-12   7.3964e+10
-2.0000e-01   4.9400e-12   -4.0486e+10
-1.5000e-01   6.6100e-12   -2.2693e+10
-1.0000e-01   3.6700e-12   -2.7248e+10
-5.0000e-02   2.9500e-12   -1.6949e+10
0.0000e+00   9.6600e-12   0.0000e+00
