  Measurement Number     Measurement type
                  10                DC IV

      Measurement ID             SeriesID
       739688.797125                    0

         MeasureMode                Bias1                Bias2
                   2                  1.5                 -1.5

                Step  Positive compliance  Negative compliance
                0.05                0.001                0.001

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   1.5769e-08   0.0000e+00
5.0000e-02   1.5784e-05   3.1678e+03
1.0000e-01   3.1536e-05   3.1710e+03
1.5000e-01   4.7388e-05   3.1654e+03
2.0000e-01   6.3284e-05   3.1604e+03
2.5000e-01   7.9302e-05   3.1525e+03
3.0000e-01   9.5396e-05   3.1448e+03
3.5000e-01   1.1149e-04   3.1392e+03
4.0000e-01   1.2762e-04   3.1343e+03
4.5000e-01   1.4392e-04   3.1267e+03
5.0000e-01   1.6034e-04   3.1184e+03
5.5000e-01   1.7684e-04   3.1102e+03
6.0000e-01   1.9336e-04   3.1030e+03
6.5000e-01   2.1014e-04   3.0932e+03
7.0000e-01   2.2702e-04   3.0834e+03
7.5000e-01   2.4420e-04   3.0713e+03
8.0000e-01   2.6156e-04   3.0586e+03
8.5000e-01   2.8034e-04   3.0320e+03
9.0000e-01   2.9770e-04   3.0232e+03
9.5000e-01   3.1674e-04   2.9993e+03
1.0000e+00   3.4284e-04   2.9168e+03
1.0500e+00   3.6366e-04   2.8873e+03
1.1000e+00   3.8192e-04   2.8802e+03
1.1500e+00   4.0484e-04   2.8406e+03
1.2000e+00   4.2066e-04   2.8527e+03
1.2500e+00   3.9210e-04   3.1880e+03
1.3000e+00   3.5090e-04   3.7048e+03
1.3500e+00   3.3560e-04   4.0226e+03
1.4000e+00   3.2570e-04   4.2984e+03
1.4500e+00   2.7924e-04   5.1927e+03
1.5000e+00   2.2434e-04   6.6863e+03
1.5000e+00   2.2386e-04   6.7006e+03
1.4500e+00   2.1712e-04   6.6783e+03
1.4000e+00   2.1706e-04   6.4498e+03
1.3500e+00   2.0074e-04   6.7251e+03
1.3000e+00   1.8556e-04   7.0058e+03
1.2500e+00   1.8004e-04   6.9429e+03
1.2000e+00   1.7614e-04   6.8128e+03
1.1500e+00   1.6462e-04   6.9858e+03
1.1000e+00   1.5312e-04   7.1839e+03
1.0500e+00   1.4608e-04   7.1878e+03
1.0000e+00   1.3710e-04   7.2939e+03
9.5000e-01   1.3066e-04   7.2708e+03
9.0000e-01   1.2180e-04   7.3892e+03
8.5000e-01   1.1394e-04   7.4601e+03
8.0000e-01   1.0602e-04   7.5457e+03
7.5000e-01   9.8314e-05   7.6286e+03
7.0000e-01   9.0986e-05   7.6935e+03
6.5000e-01   8.3936e-05   7.7440e+03
6.0000e-01   7.7254e-05   7.7666e+03
5.5000e-01   7.0756e-05   7.7732e+03
5.0000e-01   6.3814e-05   7.8353e+03
4.5000e-01   5.5090e-05   8.1685e+03
4.0000e-01   4.9222e-05   8.1264e+03
3.5000e-01   4.2190e-05   8.2958e+03
3.0000e-01   3.5588e-05   8.4298e+03
2.5000e-01   2.7838e-05   8.9805e+03
2.0000e-01   2.2134e-05   9.0359e+03
1.5000e-01   1.5880e-05   9.4458e+03
1.0000e-01   1.0604e-05   9.4304e+03
5.0000e-02   5.1390e-06   9.7295e+03
0.0000e+00   5.6714e-09   0.0000e+00
0.0000e+00   1.1767e-09   0.0000e+00
-5.0000e-02   -4.7583e-06   1.0508e+04
