  Measurement Number     Measurement type
                   3                DC IV

      Measurement ID             SeriesID
       739688.796600                    0

         MeasureMode                Bias1                Bias2
                   2                  0.5                 -0.5

                Step  Positive compliance  Negative compliance
                0.05                0.001                0.001

  RealMeasuredPoints
                  44

        Bias        Current     Resistance
0.0000e+00   -4.2284e-09   -0.0000e+00
5.0000e-02   2.0622e-05   2.4246e+03
1.0000e-01   4.1240e-05   2.4248e+03
1.5000e-01   6.1990e-05   2.4197e+03
2.0000e-01   8.2790e-05   2.4158e+03
2.5000e-01   1.0356e-04   2.4141e+03
3.0000e-01   1.2392e-04   2.4209e+03
3.5000e-01   1.4526e-04   2.4095e+03
4.0000e-01   1.6522e-04   2.4210e+03
4.5000e-01   1.8698e-04   2.4067e+03
5.0000e-01   2.0836e-04   2.3997e+03
5.0000e-01   2.0720e-04   2.4131e+03
4.5000e-01   1.8744e-04   2.4008e+03
4.0000e-01   1.6534e-04   2.4193e+03
3.5000e-01   1.4472e-04   2.4185e+03
3.0000e-01   1.2382e-04   2.4229e+03
2.5000e-01   1.0296e-04   2.4281e+03
2.0000e-01   8.2358e-05   2.4284e+03
1.5000e-01   6.1716e-05   2.4305e+03
1.0000e-01   4.1074e-05   2.4346e+03
5.0000e-02   2.0482e-05   2.4412e+03
0.0000e+00   -3.1870e-09   -0.0000e+00
0.0000e+00   1.1984e-09   0.0000e+00
-5.0000e-02   -2.0544e-05   2.4338e+03
-1.0000e-01   -4.1174e-05   2.4287e+03
-1.5000e-01   -6.1646e-05   2.4332e+03
-2.0000e-01   -8.2720e-05   2.4178e+03
-2.5000e-01   -1.0354e-04   2.4145e+03
-3.0000e-01   -1.2420e-04   2.4155e+03
-3.5000e-01   -1.4574e-04   2.4015e+03
-4.0000e-01   -1.6698e-04   2.3955e+03
-4.5000e-01   -1.8814e-04   2.3918e+03
-5.0000e-01   -2.1136e-04   2.3656e+03
-5.0000e-01   -2.1164e-04   2.3625e+03
-4.5000e-01   -1.8940e-04   2.3759e+03
-4.0000e-01   -1.6778e-04   2.3841e+03
-3.5000e-01   -1.4660e-04   2.3874e+03
-3.0000e-01   -1.2544e-04   2.3916e+03
-2.5000e-01   -1.0416e-04   2.4002e+03
-2.0000e-01   -8.3168e-05   2.4048e+03
-1.5000e-01   -6.2372e-05   2.4049e+03
-1.0000e-01   -4.1508e-05   2.4092e+03
-5.0000e-02   -2.0716e-05   2.4136e+03
0.0000e+00   2.7480e-10   0.0000e+00
