  Measurement Number     Measurement type
                  82                DC IV

      Measurement ID             SeriesID
       739688.809177                   49

         MeasureMode                Bias1                Bias2
                   2                 -0.5                  1.5

                Step  Positive compliance  Negative compliance
                0.05                0.001                0.001

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -4.2100e-12   -0.0000e+00
-5.0000e-02   -2.1381e-08   2.3385e+06
-1.0000e-01   -4.3146e-08   2.3177e+06
-1.5000e-01   -6.6035e-08   2.2715e+06
-2.0000e-01   -9.2464e-08   2.1630e+06
-2.5000e-01   -1.2900e-07   1.9380e+06
-3.0000e-01   -1.8062e-07   1.6609e+06
-3.5000e-01   -3.4112e-07   1.0260e+06
-4.0000e-01   -7.9764e-05   5.0148e+03
-4.5000e-01   -9.1352e-05   4.9260e+03
-5.0000e-01   -2.3108e-05   2.1638e+04
-5.0000e-01   -2.3612e-05   2.1176e+04
-4.5000e-01   -1.8428e-05   2.4419e+04
-4.0000e-01   -1.6734e-05   2.3903e+04
-3.5000e-01   -1.3968e-05   2.5057e+04
-3.0000e-01   -1.1382e-05   2.6357e+04
-2.5000e-01   -9.2075e-06   2.7152e+04
-2.0000e-01   -7.4096e-06   2.6992e+04
-1.5000e-01   -5.3816e-06   2.7873e+04
-1.0000e-01   -3.4168e-06   2.9267e+04
-5.0000e-02   -1.6607e-06   3.0108e+04
0.0000e+00   -3.5580e-10   -0.0000e+00
0.0000e+00   1.4095e-09   0.0000e+00
5.0000e-02   1.7442e-06   2.8666e+04
1.0000e-01   3.5105e-06   2.8486e+04
1.5000e-01   5.4696e-06   2.7424e+04
2.0000e-01   7.5873e-06   2.6360e+04
2.5000e-01   9.9434e-06   2.5142e+04
3.0000e-01   1.2354e-05   2.4284e+04
3.5000e-01   1.5224e-05   2.2990e+04
4.0000e-01   1.7970e-05   2.2259e+04
4.5000e-01   2.0800e-05   2.1635e+04
5.0000e-01   2.5932e-05   1.9281e+04
5.5000e-01   3.0076e-05   1.8287e+04
6.0000e-01   3.8232e-05   1.5694e+04
6.5000e-01   5.9282e-05   1.0965e+04
7.0000e-01   9.3234e-05   7.5080e+03
7.5000e-01   6.5140e-06   1.1514e+05
8.0000e-01   7.2256e-06   1.1072e+05
8.5000e-01   1.6190e-05   5.2502e+04
9.0000e-01   1.9510e-05   4.6130e+04
9.5000e-01   2.0006e-05   4.7486e+04
1.0000e+00   1.3182e-05   7.5861e+04
1.0500e+00   2.5372e-05   4.1384e+04
1.1000e+00   9.4520e-06   1.1638e+05
1.1500e+00   1.2554e-05   9.1604e+04
1.2000e+00   1.7378e-05   6.9053e+04
1.2500e+00   1.8898e-05   6.6145e+04
1.3000e+00   2.5212e-05   5.1563e+04
1.3500e+00   1.8012e-05   7.4950e+04
1.4000e+00   1.7362e-05   8.0636e+04
1.4500e+00   1.8622e-05   7.7865e+04
1.5000e+00   1.0930e-05   1.3724e+05
1.5000e+00   8.5591e-06   1.7525e+05
1.4500e+00   6.7800e-06   2.1386e+05
1.4000e+00   1.1180e-05   1.2522e+05
1.3500e+00   8.9800e-06   1.5033e+05
1.3000e+00   1.3144e-05   9.8904e+04
1.2500e+00   1.3176e-05   9.4869e+04
1.2000e+00   6.7000e-06   1.7910e+05
1.1500e+00   3.1158e-04   3.6909e+03
1.1000e+00   2.8580e-04   3.8488e+03
1.0500e+00   2.7846e-04   3.7707e+03
1.0000e+00   2.5858e-04   3.8673e+03
9.5000e-01   2.5490e-04   3.7270e+03
9.0000e-01   2.3550e-04   3.8217e+03
8.5000e-01   2.1964e-04   3.8700e+03
8.0000e-01   2.0970e-04   3.8150e+03
7.5000e-01   1.9718e-04   3.8036e+03
7.0000e-01   1.8180e-04   3.8504e+03
6.5000e-01   1.6698e-04   3.8927e+03
6.0000e-01   1.5406e-04   3.8946e+03
5.5000e-01   1.3930e-04   3.9483e+03
5.0000e-01   1.2650e-04   3.9526e+03
4.5000e-01   1.1392e-04   3.9501e+03
4.0000e-01   1.0164e-04   3.9355e+03
3.5000e-01   8.8776e-05   3.9425e+03
3.0000e-01   7.5788e-05   3.9584e+03
2.5000e-01   6.3162e-05   3.9581e+03
2.0000e-01   5.0416e-05   3.9670e+03
1.5000e-01   3.7776e-05   3.9708e+03
1.0000e-01   2.5190e-05   3.9698e+03
5.0000e-02   1.2558e-05   3.9815e+03
0.0000e+00   1.2257e-08   0.0000e+00
