  Measurement Number     Measurement type
                   7                DC IV

      Measurement ID             SeriesID
       739688.811672                   81

         MeasureMode                Bias1                Bias2
                   1                    0                    2

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  82

        Bias        Current     Resistance
0.0000e+00   -2.3400e-12   -0.0000e+00
5.0000e-02   1.6957e-10   2.9486e+08
1.0000e-01   3.1095e-10   3.2160e+08
1.5000e-01   5.5339e-10   2.7106e+08
2.0000e-01   8.7602e-10   2.2831e+08
2.5000e-01   1.2989e-09   1.9247e+08
3.0000e-01   1.7925e-09   1.6736e+08
3.5000e-01   2.5206e-09   1.3886e+08
4.0000e-01   3.3369e-09   1.1987e+08
4.5000e-01   4.6323e-09   9.7144e+07
5.0000e-01   5.5545e-09   9.0017e+07
5.5000e-01   8.3540e-09   6.5837e+07
6.0000e-01   1.1098e-08   5.4065e+07
6.5000e-01   1.3631e-08   4.7685e+07
7.0000e-01   1.6893e-08   4.1437e+07
7.5000e-01   1.8064e-08   4.1519e+07
8.0000e-01   2.8385e-08   2.8184e+07
8.5000e-01   3.0155e-08   2.8188e+07
9.0000e-01   3.6193e-08   2.4867e+07
9.5000e-01   1.9242e-07   4.9371e+06
1.0000e+00   3.2456e-07   3.0811e+06
1.0500e+00   5.4334e-07   1.9325e+06
1.1000e+00   9.9996e-07   1.1000e+06
1.1500e+00   9.9994e-07   1.1501e+06
1.2000e+00   9.9996e-07   1.2000e+06
1.2500e+00   9.9996e-07   1.2501e+06
1.3000e+00   9.9994e-07   1.3001e+06
1.3500e+00   9.9996e-07   1.3501e+06
1.4000e+00   9.9994e-07   1.4001e+06
1.4500e+00   1.0000e-06   1.4500e+06
1.5000e+00   9.9994e-07   1.5001e+06
1.5500e+00   9.9994e-07   1.5501e+06
1.6000e+00   9.9996e-07   1.6001e+06
1.6500e+00   9.9996e-07   1.6501e+06
1.7000e+00   9.9996e-07   1.7001e+06
1.7500e+00   9.9998e-07   1.7500e+06
1.8000e+00   9.9996e-07   1.8001e+06
1.8500e+00   9.9996e-07   1.8501e+06
1.9000e+00   9.9998e-07   1.9000e+06
1.9500e+00   1.0000e-06   1.9500e+06
2.0000e+00   9.9998e-07   2.0000e+06
2.0000e+00   1.0000e-06   2.0000e+06
1.9500e+00   9.9994e-07   1.9501e+06
1.9000e+00   1.0000e-06   1.9000e+06
1.8500e+00   9.9996e-07   1.8501e+06
1.8000e+00   9.9994e-07   1.8001e+06
1.7500e+00   9.9998e-07   1.7500e+06
1.7000e+00   1.0000e-06   1.7000e+06
1.6500e+00   9.9996e-07   1.6501e+06
1.6000e+00   9.9996e-07   1.6001e+06
1.5500e+00   9.9994e-07   1.5501e+06
1.5000e+00   1.0000e-06   1.5000e+06
1.4500e+00   9.9996e-07   1.4501e+06
1.4000e+00   9.9994e-07   1.4001e+06
1.3500e+00   1.0000e-06   1.3500e+06
1.3000e+00   9.9996e-07   1.3001e+06
1.2500e+00   9.9998e-07   1.2500e+06
1.2000e+00   9.9996e-07   1.2000e+06
1.1500e+00   9.9996e-07   1.1500e+06
1.1000e+00   1.0000e-06   1.1000e+06
1.0500e+00   9.9998e-07   1.0500e+06
1.0000e+00   9.9928e-07   1.0007e+06
9.5000e-01   5.1620e-07   1.8404e+06
9.0000e-01   5.3258e-07   1.6899e+06
8.5000e-01   4.8624e-07   1.7481e+06
8.0000e-01   6.3574e-07   1.2584e+06
7.5000e-01   5.5018e-07   1.3632e+06
7.0000e-01   4.5122e-07   1.5513e+06
6.5000e-01   3.5354e-07   1.8385e+06
6.0000e-01   3.0118e-07   1.9922e+06
5.5000e-01   2.5266e-07   2.1768e+06
5.0000e-01   2.0154e-07   2.4809e+06
4.5000e-01   1.4642e-07   3.0734e+06
4.0000e-01   9.1020e-08   4.3946e+06
3.5000e-01   6.2430e-08   5.6063e+06
3.0000e-01   4.8519e-08   6.1832e+06
2.5000e-01   2.4134e-08   1.0359e+07
2.0000e-01   1.7390e-08   1.1501e+07
1.5000e-01   1.0881e-08   1.3785e+07
1.0000e-01   6.8536e-09   1.4591e+07
5.0000e-02   1.6134e-09   3.0990e+07
0.0000e+00   -8.2700e-12   -0.0000e+00
