  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739688.717360                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                  0.1                  0.1

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   1.9374e-08   0.0000e+00
5.0000e-02   2.8390e-05   1.7612e+03
1.0000e-01   5.6774e-05   1.7614e+03
1.5000e-01   8.5648e-05   1.7514e+03
2.0000e-01   1.1471e-04   1.7436e+03
2.5000e-01   1.4484e-04   1.7260e+03
3.0000e-01   1.7514e-04   1.7129e+03
3.5000e-01   2.0588e-04   1.7000e+03
4.0000e-01   2.3728e-04   1.6858e+03
4.5000e-01   2.6656e-04   1.6882e+03
5.0000e-01   3.0188e-04   1.6563e+03
5.5000e-01   3.3658e-04   1.6341e+03
6.0000e-01   3.6468e-04   1.6453e+03
6.5000e-01   3.9502e-04   1.6455e+03
7.0000e-01   4.3254e-04   1.6183e+03
7.5000e-01   4.6934e-04   1.5980e+03
8.0000e-01   5.0366e-04   1.5884e+03
8.5000e-01   5.3016e-04   1.6033e+03
9.0000e-01   5.6370e-04   1.5966e+03
9.5000e-01   5.9548e-04   1.5954e+03
1.0000e+00   6.4196e-04   1.5577e+03
1.0000e+00   6.3088e-04   1.5851e+03
9.5000e-01   5.9938e-04   1.5850e+03
9.0000e-01   5.6144e-04   1.6030e+03
8.5000e-01   5.3028e-04   1.6029e+03
8.0000e-01   5.0044e-04   1.5986e+03
7.5000e-01   4.6652e-04   1.6076e+03
7.0000e-01   4.3952e-04   1.5926e+03
6.5000e-01   4.0586e-04   1.6015e+03
6.0000e-01   3.7110e-04   1.6168e+03
5.5000e-01   3.3826e-04   1.6260e+03
5.0000e-01   3.0480e-04   1.6404e+03
4.5000e-01   2.7292e-04   1.6488e+03
4.0000e-01   2.4050e-04   1.6632e+03
3.5000e-01   2.0934e-04   1.6719e+03
3.0000e-01   1.7816e-04   1.6839e+03
2.5000e-01   1.4740e-04   1.6961e+03
2.0000e-01   1.1820e-04   1.6920e+03
1.5000e-01   8.8190e-05   1.7009e+03
1.0000e-01   5.7884e-05   1.7276e+03
5.0000e-02   2.9014e-05   1.7233e+03
0.0000e+00   2.1879e-08   0.0000e+00
0.0000e+00   2.1884e-08   0.0000e+00
-5.0000e-02   -2.9310e-05   1.7059e+03
-1.0000e-01   -5.9024e-05   1.6942e+03
-1.5000e-01   -8.9506e-05   1.6759e+03
-2.0000e-01   -1.2064e-04   1.6578e+03
-2.5000e-01   -1.5224e-04   1.6421e+03
-3.0000e-01   -1.8490e-04   1.6225e+03
-3.5000e-01   -2.1782e-04   1.6068e+03
-4.0000e-01   -2.5162e-04   1.5897e+03
-4.5000e-01   -2.8634e-04   1.5716e+03
-5.0000e-01   -3.2060e-04   1.5596e+03
-5.5000e-01   -3.5488e-04   1.5498e+03
-6.0000e-01   -3.8816e-04   1.5458e+03
-6.5000e-01   -4.1926e-04   1.5504e+03
-7.0000e-01   -4.4962e-04   1.5569e+03
-7.5000e-01   -4.8552e-04   1.5447e+03
-8.0000e-01   -5.1680e-04   1.5480e+03
-8.5000e-01   -5.3570e-04   1.5867e+03
-9.0000e-01   -5.6044e-04   1.6059e+03
-9.5000e-01   -5.9480e-04   1.5972e+03
-1.0000e+00   -6.4182e-04   1.5581e+03
-1.0000e+00   -6.2176e-04   1.6083e+03
-9.5000e-01   -5.7842e-04   1.6424e+03
-9.0000e-01   -5.3540e-04   1.6810e+03
-8.5000e-01   -4.9530e-04   1.7161e+03
-8.0000e-01   -4.6500e-04   1.7204e+03
-7.5000e-01   -4.2686e-04   1.7570e+03
-7.0000e-01   -3.9614e-04   1.7671e+03
-6.5000e-01   -3.6248e-04   1.7932e+03
-6.0000e-01   -3.3054e-04   1.8152e+03
-5.5000e-01   -3.0004e-04   1.8331e+03
-5.0000e-01   -2.6966e-04   1.8542e+03
-4.5000e-01   -2.3994e-04   1.8755e+03
-4.0000e-01   -2.1036e-04   1.9015e+03
-3.5000e-01   -1.8232e-04   1.9197e+03
-3.0000e-01   -1.5480e-04   1.9380e+03
-2.5000e-01   -1.2790e-04   1.9547e+03
-2.0000e-01   -1.0144e-04   1.9716e+03
-1.5000e-01   -7.4620e-05   2.0102e+03
-1.0000e-01   -4.9096e-05   2.0368e+03
-5.0000e-02   -2.4266e-05   2.0605e+03
0.0000e+00   1.6572e-08   0.0000e+00
