  Measurement Number     Measurement type
                  10                DC IV

      Measurement ID             SeriesID
       739694.734613                   80

         MeasureMode                Bias1                Bias2
                   2                    2                   -2

                Step  Positive compliance  Negative compliance
                 0.1                0.001                0.001

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -1.1980e-08   -0.0000e+00
1.0000e-01   6.0568e-05   1.6510e+03
2.0000e-01   1.2130e-04   1.6488e+03
3.0000e-01   1.8436e-04   1.6273e+03
4.0000e-01   2.4800e-04   1.6129e+03
5.0000e-01   3.1336e-04   1.5956e+03
6.0000e-01   3.7986e-04   1.5795e+03
7.0000e-01   4.4988e-04   1.5560e+03
8.0000e-01   5.2696e-04   1.5181e+03
9.0000e-01   6.0930e-04   1.4771e+03
1.0000e+00   7.0922e-04   1.4100e+03
1.1000e+00   8.1774e-04   1.3452e+03
1.2000e+00   8.8904e-04   1.3498e+03
1.3000e+00   9.5920e-04   1.3553e+03
1.4000e+00   9.9998e-04   1.4000e+03
1.5000e+00   9.9996e-04   1.5001e+03
1.6000e+00   9.9998e-04   1.6000e+03
1.7000e+00   1.0001e-03   1.6999e+03
1.8000e+00   9.9996e-04   1.8001e+03
1.9000e+00   1.0000e-03   1.9000e+03
2.0000e+00   9.9994e-04   2.0001e+03
2.0000e+00   1.0000e-03   2.0000e+03
1.9000e+00   9.9996e-04   1.9001e+03
1.8000e+00   1.0000e-03   1.8000e+03
1.7000e+00   1.0000e-03   1.7000e+03
1.6000e+00   9.9996e-04   1.6001e+03
1.5000e+00   9.7180e-04   1.5435e+03
1.4000e+00   8.8126e-04   1.5886e+03
1.3000e+00   7.9790e-04   1.6293e+03
1.2000e+00   7.3472e-04   1.6333e+03
1.1000e+00   6.7136e-04   1.6385e+03
1.0000e+00   6.0692e-04   1.6477e+03
9.0000e-01   5.4278e-04   1.6581e+03
8.0000e-01   4.8010e-04   1.6663e+03
7.0000e-01   4.1690e-04   1.6791e+03
6.0000e-01   3.5458e-04   1.6921e+03
5.0000e-01   2.9324e-04   1.7051e+03
4.0000e-01   2.3324e-04   1.7150e+03
3.0000e-01   1.7310e-04   1.7331e+03
2.0000e-01   1.1468e-04   1.7440e+03
1.0000e-01   5.6942e-05   1.7562e+03
0.0000e+00   -6.8584e-09   -0.0000e+00
0.0000e+00   -2.0850e-08   -0.0000e+00
-1.0000e-01   -5.7376e-05   1.7429e+03
-2.0000e-01   -1.1642e-04   1.7179e+03
-3.0000e-01   -1.7792e-04   1.6862e+03
-4.0000e-01   -2.4136e-04   1.6573e+03
-5.0000e-01   -3.0552e-04   1.6366e+03
-6.0000e-01   -3.7414e-04   1.6037e+03
-7.0000e-01   -4.4222e-04   1.5829e+03
-8.0000e-01   -5.0210e-04   1.5933e+03
-9.0000e-01   -5.7318e-04   1.5702e+03
-1.0000e+00   -6.1988e-04   1.6132e+03
-1.1000e+00   -7.0490e-04   1.5605e+03
-1.2000e+00   -7.9070e-04   1.5176e+03
-1.3000e+00   -8.7834e-04   1.4801e+03
-1.4000e+00   -9.6570e-04   1.4497e+03
-1.5000e+00   -1.0000e-03   1.4999e+03
-1.6000e+00   -9.9994e-04   1.6001e+03
-1.7000e+00   -1.0000e-03   1.7000e+03
-1.8000e+00   -9.9994e-04   1.8001e+03
-1.9000e+00   -9.9996e-04   1.9001e+03
-2.0000e+00   -9.9994e-04   2.0001e+03
-2.0000e+00   -9.9996e-04   2.0001e+03
-1.9000e+00   -9.9996e-04   1.9001e+03
-1.8000e+00   -9.9998e-04   1.8000e+03
-1.7000e+00   -1.0001e-03   1.6999e+03
-1.6000e+00   -9.9996e-04   1.6001e+03
-1.5000e+00   -9.9998e-04   1.5000e+03
-1.4000e+00   -9.9998e-04   1.4000e+03
-1.3000e+00   -9.2138e-04   1.4109e+03
-1.2000e+00   -8.3554e-04   1.4362e+03
-1.1000e+00   -7.5484e-04   1.4573e+03
-1.0000e+00   -6.7728e-04   1.4765e+03
-9.0000e-01   -6.0242e-04   1.4940e+03
-8.0000e-01   -5.2968e-04   1.5103e+03
-7.0000e-01   -4.5868e-04   1.5261e+03
-6.0000e-01   -3.8938e-04   1.5409e+03
-5.0000e-01   -3.2224e-04   1.5516e+03
-4.0000e-01   -2.5608e-04   1.5620e+03
-3.0000e-01   -1.9064e-04   1.5736e+03
-2.0000e-01   -1.2646e-04   1.5815e+03
-1.0000e-01   -6.3116e-05   1.5844e+03
0.0000e+00   -1.1864e-08   -0.0000e+00
