  Measurement Number     Measurement type
                   8                DC IV

      Measurement ID             SeriesID
       739694.734534                   80

         MeasureMode                Bias1                Bias2
                   2                    2                   -2

                Step  Positive compliance  Negative compliance
                 0.1                0.001                0.001

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -6.2884e-09   -0.0000e+00
1.0000e-01   6.2544e-05   1.5989e+03
2.0000e-01   1.2614e-04   1.5855e+03
3.0000e-01   1.8976e-04   1.5809e+03
4.0000e-01   2.5670e-04   1.5582e+03
5.0000e-01   3.2280e-04   1.5489e+03
6.0000e-01   3.9162e-04   1.5321e+03
7.0000e-01   4.6094e-04   1.5186e+03
8.0000e-01   5.3394e-04   1.4983e+03
9.0000e-01   6.1628e-04   1.4604e+03
1.0000e+00   7.3220e-04   1.3657e+03
1.1000e+00   7.9988e-04   1.3752e+03
1.2000e+00   9.1494e-04   1.3116e+03
1.3000e+00   9.4136e-04   1.3810e+03
1.4000e+00   9.9996e-04   1.4001e+03
1.5000e+00   9.9994e-04   1.5001e+03
1.6000e+00   9.9994e-04   1.6001e+03
1.7000e+00   9.9994e-04   1.7001e+03
1.8000e+00   9.9996e-04   1.8001e+03
1.9000e+00   9.9996e-04   1.9001e+03
2.0000e+00   9.9994e-04   2.0001e+03
2.0000e+00   9.9996e-04   2.0001e+03
1.9000e+00   9.9998e-04   1.9000e+03
1.8000e+00   9.9986e-04   1.8003e+03
1.7000e+00   1.0000e-03   1.7000e+03
1.6000e+00   9.9990e-04   1.6002e+03
1.5000e+00   9.9998e-04   1.5000e+03
1.4000e+00   9.6328e-04   1.4534e+03
1.3000e+00   8.8852e-04   1.4631e+03
1.2000e+00   8.1976e-04   1.4638e+03
1.1000e+00   7.4314e-04   1.4802e+03
1.0000e+00   6.7584e-04   1.4796e+03
9.0000e-01   6.0520e-04   1.4871e+03
8.0000e-01   5.3422e-04   1.4975e+03
7.0000e-01   4.6554e-04   1.5036e+03
6.0000e-01   3.9562e-04   1.5166e+03
5.0000e-01   3.2766e-04   1.5260e+03
4.0000e-01   2.6062e-04   1.5348e+03
3.0000e-01   1.9412e-04   1.5454e+03
2.0000e-01   1.2860e-04   1.5552e+03
1.0000e-01   6.4200e-05   1.5576e+03
0.0000e+00   -1.2198e-08   -0.0000e+00
0.0000e+00   -2.2237e-08   -0.0000e+00
-1.0000e-01   -6.4756e-05   1.5443e+03
-2.0000e-01   -1.3090e-04   1.5279e+03
-3.0000e-01   -1.9900e-04   1.5075e+03
-4.0000e-01   -2.6720e-04   1.4970e+03
-5.0000e-01   -3.3820e-04   1.4784e+03
-6.0000e-01   -4.1798e-04   1.4355e+03
-7.0000e-01   -5.0030e-04   1.3992e+03
-8.0000e-01   -5.6896e-04   1.4061e+03
-9.0000e-01   -6.3286e-04   1.4221e+03
-1.0000e+00   -7.0784e-04   1.4127e+03
-1.1000e+00   -7.5538e-04   1.4562e+03
-1.2000e+00   -8.5132e-04   1.4096e+03
-1.3000e+00   -9.1964e-04   1.4136e+03
-1.4000e+00   -9.9444e-04   1.4078e+03
-1.5000e+00   -9.9990e-04   1.5002e+03
-1.6000e+00   -9.9994e-04   1.6001e+03
-1.7000e+00   -9.9996e-04   1.7001e+03
-1.8000e+00   -1.0000e-03   1.8000e+03
-1.9000e+00   -9.9994e-04   1.9001e+03
-2.0000e+00   -9.9996e-04   2.0001e+03
-2.0000e+00   -9.9996e-04   2.0001e+03
-1.9000e+00   -1.0000e-03   1.9000e+03
-1.8000e+00   -1.0000e-03   1.8000e+03
-1.7000e+00   -9.9990e-04   1.7002e+03
-1.6000e+00   -1.0000e-03   1.6000e+03
-1.5000e+00   -1.0000e-03   1.5000e+03
-1.4000e+00   -9.9994e-04   1.4001e+03
-1.3000e+00   -9.0932e-04   1.4296e+03
-1.2000e+00   -8.3156e-04   1.4431e+03
-1.1000e+00   -7.5732e-04   1.4525e+03
-1.0000e+00   -6.8002e-04   1.4705e+03
-9.0000e-01   -6.0642e-04   1.4841e+03
-8.0000e-01   -5.3546e-04   1.4940e+03
-7.0000e-01   -4.6484e-04   1.5059e+03
-6.0000e-01   -3.9566e-04   1.5165e+03
-5.0000e-01   -3.2720e-04   1.5281e+03
-4.0000e-01   -2.6012e-04   1.5378e+03
-3.0000e-01   -1.9352e-04   1.5502e+03
-2.0000e-01   -1.2834e-04   1.5584e+03
-1.0000e-01   -6.3924e-05   1.5644e+03
0.0000e+00   -6.3336e-09   -0.0000e+00
