  Measurement Number     Measurement type
                  15                DC IV

      Measurement ID             SeriesID
       739694.766740                    0

         MeasureMode                Bias1                Bias2
                   2                   -3                    3

                Step  Positive compliance  Negative compliance
                 0.1                 0.01                 0.01

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   4.5160e-11   0.0000e+00
-1.0000e-01   -3.1818e-07   3.1429e+05
-2.0000e-01   -7.7564e-07   2.5785e+05
-3.0000e-01   -1.4271e-06   2.1022e+05
-4.0000e-01   -2.3148e-06   1.7280e+05
-5.0000e-01   -2.3292e-05   2.1467e+04
-6.0000e-01   -1.7632e-05   3.4029e+04
-7.0000e-01   -1.4486e-05   4.8323e+04
-8.0000e-01   -3.1026e-05   2.5785e+04
-9.0000e-01   -2.4566e-05   3.6636e+04
-1.0000e+00   -2.3258e-05   4.2996e+04
-1.1000e+00   -2.9494e-05   3.7296e+04
-1.2000e+00   -2.6726e-04   4.4900e+03
-1.3000e+00   -3.1392e-04   4.1412e+03
-1.4000e+00   -3.9242e-04   3.5676e+03
-1.5000e+00   -5.1226e-04   2.9282e+03
-1.6000e+00   -1.0907e-03   1.4669e+03
-1.7000e+00   -1.2134e-03   1.4010e+03
-1.8000e+00   -1.3200e-03   1.3636e+03
-1.9000e+00   -1.4608e-03   1.3007e+03
-2.0000e+00   -1.9602e-03   1.0203e+03
-2.1000e+00   -2.1338e-03   9.8416e+02
-2.2000e+00   -2.6650e-03   8.2552e+02
-2.3000e+00   -3.2942e-03   6.9820e+02
-2.4000e+00   -3.5698e-03   6.7231e+02
-2.5000e+00   -3.8310e-03   6.5257e+02
-2.6000e+00   -3.9760e-03   6.5392e+02
-2.7000e+00   -4.1956e-03   6.4353e+02
-2.8000e+00   -4.4276e-03   6.3240e+02
-2.9000e+00   -4.7250e-03   6.1376e+02
-3.0000e+00   -5.0276e-03   5.9671e+02
-3.0000e+00   -5.0292e-03   5.9652e+02
-2.9000e+00   -4.6974e-03   6.1736e+02
-2.8000e+00   -4.4242e-03   6.3288e+02
-2.7000e+00   -4.1380e-03   6.5249e+02
-2.6000e+00   -3.8600e-03   6.7358e+02
-2.5000e+00   -3.6152e-03   6.9152e+02
-2.4000e+00   -3.3754e-03   7.1103e+02
-2.3000e+00   -3.1322e-03   7.3431e+02
-2.2000e+00   -2.9010e-03   7.5836e+02
-2.1000e+00   -2.6672e-03   7.8734e+02
-2.0000e+00   -2.4446e-03   8.1813e+02
-1.9000e+00   -2.2228e-03   8.5478e+02
-1.8000e+00   -2.0078e-03   8.9650e+02
-1.7000e+00   -1.7998e-03   9.4455e+02
-1.6000e+00   -1.5998e-03   1.0001e+03
-1.5000e+00   -1.4118e-03   1.0625e+03
-1.4000e+00   -1.2246e-03   1.1432e+03
-1.3000e+00   -1.0530e-03   1.2346e+03
-1.2000e+00   -8.8786e-04   1.3516e+03
-1.1000e+00   -7.4304e-04   1.4804e+03
-1.0000e+00   -6.0364e-04   1.6566e+03
-9.0000e-01   -4.8296e-04   1.8635e+03
-8.0000e-01   -3.7650e-04   2.1248e+03
-7.0000e-01   -2.8584e-04   2.4489e+03
-6.0000e-01   -2.1056e-04   2.8495e+03
-5.0000e-01   -1.4852e-04   3.3665e+03
-4.0000e-01   -9.9456e-05   4.0219e+03
-3.0000e-01   -6.1168e-05   4.9045e+03
-2.0000e-01   -3.2946e-05   6.0705e+03
-1.0000e-01   -1.3350e-05   7.4906e+03
0.0000e+00   1.0577e-09   0.0000e+00
0.0000e+00   5.5268e-09   0.0000e+00
1.0000e-01   1.2892e-05   7.7567e+03
2.0000e-01   3.1484e-05   6.3524e+03
3.0000e-01   5.8202e-05   5.1545e+03
4.0000e-01   9.3908e-05   4.2595e+03
5.0000e-01   1.3904e-04   3.5961e+03
6.0000e-01   1.9494e-04   3.0779e+03
7.0000e-01   2.6476e-04   2.6439e+03
8.0000e-01   3.3970e-04   2.3550e+03
9.0000e-01   4.3248e-04   2.0810e+03
1.0000e+00   5.2988e-04   1.8872e+03
1.1000e+00   6.6260e-04   1.6601e+03
1.2000e+00   8.5712e-04   1.4000e+03
1.3000e+00   1.0764e-03   1.2077e+03
1.4000e+00   1.3116e-03   1.0674e+03
1.5000e+00   1.4984e-03   1.0011e+03
1.6000e+00   1.7026e-03   9.3974e+02
1.7000e+00   1.9202e-03   8.8532e+02
1.8000e+00   2.1426e-03   8.4010e+02
1.9000e+00   2.3766e-03   7.9946e+02
2.0000e+00   2.5994e-03   7.6941e+02
2.1000e+00   2.5606e-03   8.2012e+02
2.2000e+00   1.0532e-03   2.0889e+03
2.3000e+00   1.0384e-03   2.2149e+03
2.4000e+00   8.8736e-04   2.7047e+03
2.5000e+00   1.0379e-03   2.4087e+03
2.6000e+00   9.5798e-04   2.7140e+03
2.7000e+00   9.7872e-04   2.7587e+03
