  Measurement Number     Measurement type
                   1            NewRelaib

      Measurement ID                 Mode
       739694.786261                WGFMU

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                -2.5             1.01e-05                    3             1.01e-05

           Rise time            Fall Time           Separation
               1e-07                1e-07                1e-05

              Cycles       Steps in cycle         Test voltage
                 512               100000                    1

      Step        LRS        HRS
         1  2886.7188 96857.6587
        24  3883.7722 85050.5382
        47  2642.5474 136028.9875
        70  2582.3337 121965.8409
        93  2354.5033 119535.105
       116  2402.3376 118228.2772
       139   1547.567 109688.6586
       162  2449.4461 104885.2473
       185  2807.9159 113907.4534
       208  2471.8753 96010.7772
       231  2096.4542 102593.6586
       254  2745.5921 125086.5973
       277  1938.4579 28230.1976
       300  1388.0347  1373.9007
       323  1655.6923 110384.1806
       346   2468.379 113526.9788
       369  1377.2437  1410.4778
       392  1404.0131  1397.8619
       415  1431.0544 17568.2206
       438  1367.0379  1365.6855
       461  1393.7674  1361.6029
       484  1393.2913  1385.1874
       507  1384.0216 49139.0095
       530  1346.1689  10296.069
       553  1380.1411  1385.8328
       576  2933.4402 28442.8188
       599  1371.5588 105959.6368
       622  2464.6881 111714.5291
       645  1366.3208   1355.665
       668  1360.0954 103862.6462
       691    2803.46 121158.3962
       714   2212.378 101730.918
       737  1363.9786   1367.373
       760  1451.0357 101658.4697
       783  2819.0838  1455.6315
       806  1375.8074  14000.199
       829  2808.9657  1929.9039
       852  1406.6972  2980.0554
       875   1359.453 104562.5724
       898   1367.614 103336.3401
       921  1438.3449  1466.0361
       944  1550.7479 117527.4336
       967   1547.557 110452.5067
       990  1344.7131  1345.5014
      1013  1373.7895  1395.9291
      1036  1324.3063 103201.8689
      1059  1297.7803  1300.5328
      1082  1355.5801 110657.999
      1105  1314.7171  1312.8742
      1128  1333.5578  1324.6331
      1151  1342.5479  1338.6877
      1174  1345.5116  1343.2654
      1197  1344.4901  1344.3686
      1220  1356.8712  1381.3484
      1243  1772.6783  1475.5712
      1266  1291.2533  1273.1494
      1289  1297.6717  1291.9357
      1312  1287.4033  1292.2305
      1335  1290.3056  1291.1364
      1358  1299.9052  1293.7131
      1381  1302.6144     1302.7
      1404  1300.9642  1302.4646
      1427  1307.6835  1305.9799
      1450   1308.441   1310.512
      1473  1317.7463  1310.0525
      1496  1323.6702  1320.2545
      1519  1328.3013  1323.5793
      1542  2105.2535  1578.6014
      1565  2603.7271  1508.2266
      1588  2802.2822  1440.9322
      1611  4214.8334  1468.9296
      1634  1408.9631  1419.1916
      1657  2378.6238 114272.1914
      1680  2762.4669 123570.6538
      1703   6305.104 110640.8508
      1726  2793.9236 101788.9511
      1749  2346.7385 77648.4024
      1772  4677.0997 112294.545
      1795  2371.6526 106704.1605
      1818  3472.7343 108868.8378
      1841  8626.6616 110367.1144
      1864  2992.9139  82964.562
      1887  6419.5437 93434.2328
      1910  2699.9148 99048.5876
      1933   4424.509 52292.7776
      1956  9026.6229 86619.4308
      1979  6944.7251 131735.719
      2002 76230.2794 124345.6622
      2025 13059.3204 69572.4832
      2048 66444.2492 115231.5325
      2071 13281.1844 120891.6185
      2094  5602.2113 59877.8629
      2117  5478.5812 37979.2525
      2140 23023.2614 86336.5325
      2163  19091.213  82945.279
      2186 16613.7686 42877.8166
      2209 21864.4803 42734.0496
      2232   3349.669  36732.238
      2255 22154.9575 35255.3278
      2278 21379.8261 61218.2957
      2301 22255.1251 33865.2559
      2324 23416.0327 52438.7706
      2347 21839.7267 40862.4312
      2370 26790.1863  49933.127
      2393 19233.2019 49199.9787
      2416 26780.1324 53240.6445
      2439  5189.6208 110026.8392
      2462 10668.8207 102623.1658
      2485  7244.2944 96412.8171
      2508  9180.5789 128048.8213
      2531  9729.7339 104547.2562
      2554 10495.9286 106243.5446
      2577 14684.2796 124889.6085
      2600 16173.6717 127000.7353
      2623 27849.0817 119856.274
      2646 31273.0195 113780.3465
      2669  5429.8588 122070.1398
      2692  6869.5959 103938.2714
      2715  4041.4716 110761.0308
      2738  2405.2682 99698.8553
      2761  2265.1352 84486.7538
      2784  2629.6182 112613.4575
      2807  2191.0323 131735.7111
      2830  1695.8335 90634.1743
      2853  2173.2134 104916.0826
      2876  1354.1759 124086.2493
      2899  2435.9534 101082.5814
      2922  1970.2211 96153.0551
      2945  2228.9667 107783.766
      2968  1898.4373 109085.1467
      2991  2083.4621 109621.2713
      3014  2246.9797 131347.8292
      3037   2012.497 120503.8144
      3060  2065.3453 98244.1975
      3083 70681.7297 116930.5546
      3106 38460.1861 107995.7804
      3129  2027.8665 100725.9546
      3152  2116.7605 109268.8498
      3175  2266.7107 110675.1637
      3198   2162.435 105303.0594
      3221  1890.5375 106306.8368
      3244  2080.9715 111819.5387
      3267  1913.8155 130578.8701
      3290  1987.6967 125108.5233
      3313  2260.9019 127545.4114
      3336  2744.9796 107281.5447
      3359  2173.4383 131058.4155
      3382  1921.0167 114971.668
      3405  2030.1044 128881.2014
      3428   1862.006 111924.7487
      3451  1963.7811 107767.4969
      3474  2166.7809 93963.1537
      3497  1851.4186 112791.4199
      3520  2369.0863 105771.2089
      3543  1895.9362  1477.1408
      3566  2379.4325 95458.6207
      3589  2230.7781 109168.5715
      3612   2692.358 115623.5379
      3635  2499.6729 108274.2918
      3658  2417.4638 113545.0393
      3681  3191.8864 113563.1055
      3704  3226.8081 120179.1736
      3727  2993.0645 112524.6925
      3750  2683.5007 97840.1822
      3773  1993.9659 111609.711
      3796  2780.8717 124237.4404
      3819  2358.5957 116169.2865
      3842  3364.8605 136680.216
      3865  2944.3431 115268.7524
      3888  3662.8559 114749.8554
      3911  2875.2642 122153.704
      3934  2072.6264 113962.016
      3957  2179.4245 118660.7042
      3980  2466.4172 56862.9773
      4003  3503.3996 109201.9772
      4026  3539.9058 111261.7455
      4049  2271.7392 148976.0246
      4072  2646.5549 132493.8004
      4095  2767.2974 114272.1885
      4118  2210.7676 136003.0671
      4141  3302.2306 115548.6696
      4164   2132.298 116777.5026
      4187  4679.0313 113526.9788
      4210   1770.717 104120.2172
      4233  1722.4593 115961.6768
      4256  1739.0408 121199.544
      4279  3286.8865  105583.45
      4302  3110.1588  94761.566
      4325  1664.7831 119435.0881
      4348  1375.6271 77648.4052
