  Measurement Number     Measurement type
                   5                DC IV

      Measurement ID             SeriesID
       739953.472066                    0

         MeasureMode                Bias1                Bias2
                   2                   -3                    3

                Step  Positive compliance  Negative compliance
                0.05                  0.1                  0.1

  RealMeasuredPoints
                 244

        Bias        Current     Resistance
0.0000e+00   2.9415e-08   0.0000e+00
-5.0000e-02   -1.1966e-05   4.1785e+03
-1.0000e-01   -2.5208e-05   3.9670e+03
-1.5000e-01   -4.0544e-05   3.6997e+03
-2.0000e-01   -5.8484e-05   3.4197e+03
-2.5000e-01   -7.9268e-05   3.1539e+03
-3.0000e-01   -1.0311e-04   2.9096e+03
-3.5000e-01   -1.3044e-04   2.6832e+03
-4.0000e-01   -1.6082e-04   2.4873e+03
-4.5000e-01   -1.9510e-04   2.3065e+03
-5.0000e-01   -2.3286e-04   2.1472e+03
-5.5000e-01   -2.7554e-04   1.9961e+03
-6.0000e-01   -3.2206e-04   1.8630e+03
-6.5000e-01   -3.7432e-04   1.7365e+03
-7.0000e-01   -4.3118e-04   1.6235e+03
-7.5000e-01   -4.9340e-04   1.5201e+03
-8.0000e-01   -5.6130e-04   1.4253e+03
-8.5000e-01   -6.3496e-04   1.3387e+03
-9.0000e-01   -7.1512e-04   1.2585e+03
-9.5000e-01   -8.0126e-04   1.1856e+03
-1.0000e+00   -8.8948e-04   1.1243e+03
-1.0500e+00   -9.8826e-04   1.0625e+03
-1.1000e+00   -1.0914e-03   1.0078e+03
-1.1500e+00   -1.1974e-03   9.6041e+02
-1.2000e+00   -1.3116e-03   9.1491e+02
-1.2500e+00   -1.4252e-03   8.7707e+02
-1.3000e+00   -1.5446e-03   8.4164e+02
-1.3500e+00   -1.6714e-03   8.0771e+02
-1.4000e+00   -1.7980e-03   7.7864e+02
-1.4500e+00   -1.9282e-03   7.5200e+02
-1.5000e+00   -2.0618e-03   7.2752e+02
-1.5500e+00   -2.1954e-03   7.0602e+02
-1.6000e+00   -2.3296e-03   6.8681e+02
-1.6500e+00   -2.4668e-03   6.6888e+02
-1.7000e+00   -2.6034e-03   6.5299e+02
-1.7500e+00   -2.7508e-03   6.3618e+02
-1.8000e+00   -2.8948e-03   6.2180e+02
-1.8500e+00   -3.0378e-03   6.0899e+02
-1.9000e+00   -3.1800e-03   5.9748e+02
-1.9500e+00   -3.3252e-03   5.8643e+02
-2.0000e+00   -3.4720e-03   5.7604e+02
-2.0500e+00   -3.6166e-03   5.6683e+02
-2.1000e+00   -3.7612e-03   5.5833e+02
-2.1500e+00   -3.9120e-03   5.4959e+02
-2.2000e+00   -4.0536e-03   5.4273e+02
-2.2500e+00   -4.1984e-03   5.3592e+02
-2.3000e+00   -4.3454e-03   5.2930e+02
-2.3500e+00   -4.4908e-03   5.2329e+02
-2.4000e+00   -4.6416e-03   5.1706e+02
-2.4500e+00   -4.8052e-03   5.0986e+02
-2.5000e+00   -4.9712e-03   5.0290e+02
-2.5500e+00   -5.1410e-03   4.9601e+02
-2.6000e+00   -5.3152e-03   4.8916e+02
-2.6500e+00   -5.4848e-03   4.8315e+02
-2.7000e+00   -5.6680e-03   4.7636e+02
-2.7500e+00   -5.8424e-03   4.7070e+02
-2.8000e+00   -6.0264e-03   4.6462e+02
-2.8500e+00   -6.1884e-03   4.6054e+02
-2.9000e+00   -6.3430e-03   4.5720e+02
-2.9500e+00   -6.4398e-03   4.5809e+02
-3.0000e+00   -6.5974e-03   4.5472e+02
-3.0000e+00   -6.5928e-03   4.5504e+02
-2.9500e+00   -6.4222e-03   4.5934e+02
-2.9000e+00   -6.2512e-03   4.6391e+02
-2.8500e+00   -6.0902e-03   4.6796e+02
-2.8000e+00   -5.9320e-03   4.7202e+02
-2.7500e+00   -5.7826e-03   4.7556e+02
-2.7000e+00   -5.6206e-03   4.8038e+02
-2.6500e+00   -5.4614e-03   4.8522e+02
-2.6000e+00   -5.2962e-03   4.9092e+02
-2.5500e+00   -5.1356e-03   4.9653e+02
-2.5000e+00   -4.9840e-03   5.0161e+02
-2.4500e+00   -4.8216e-03   5.0813e+02
-2.4000e+00   -4.6618e-03   5.1482e+02
-2.3500e+00   -4.5124e-03   5.2079e+02
-2.3000e+00   -4.3530e-03   5.2837e+02
-2.2500e+00   -4.2030e-03   5.3533e+02
-2.2000e+00   -4.0484e-03   5.4342e+02
-2.1500e+00   -3.8924e-03   5.5236e+02
-2.1000e+00   -3.7500e-03   5.6000e+02
-2.0500e+00   -3.6024e-03   5.6907e+02
-2.0000e+00   -3.4524e-03   5.7931e+02
-1.9500e+00   -3.3082e-03   5.8944e+02
-1.9000e+00   -3.1642e-03   6.0047e+02
-1.8500e+00   -3.0200e-03   6.1258e+02
-1.8000e+00   -2.8754e-03   6.2600e+02
-1.7500e+00   -2.7336e-03   6.4018e+02
-1.7000e+00   -2.5908e-03   6.5617e+02
