  Measurement Number     Measurement type
                  12                DC IV

      Measurement ID             SeriesID
       739953.715352                   13

         MeasureMode                Bias1                Bias2
                   2                   -3                    3

                Step  Positive compliance  Negative compliance
                 0.1                  0.1                  0.1

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   1.9321e-09   0.0000e+00
-1.0000e-01   -2.2989e-06   4.3499e+04
-2.0000e-01   -5.7225e-06   3.4950e+04
-3.0000e-01   -1.0289e-05   2.9157e+04
-4.0000e-01   -1.4244e-05   2.8082e+04
-5.0000e-01   -2.6472e-05   1.8888e+04
-6.0000e-01   -3.1564e-05   1.9009e+04
-7.0000e-01   -3.4616e-05   2.0222e+04
-8.0000e-01   -4.6240e-05   1.7301e+04
-9.0000e-01   -6.7014e-05   1.3430e+04
-1.0000e+00   -9.1420e-05   1.0939e+04
-1.1000e+00   -1.3008e-04   8.4563e+03
-1.2000e+00   -1.5952e-04   7.5226e+03
-1.3000e+00   -1.8968e-04   6.8536e+03
-1.4000e+00   -2.3044e-04   6.0753e+03
-1.5000e+00   -2.7914e-04   5.3736e+03
-1.6000e+00   -3.3384e-04   4.7927e+03
-1.7000e+00   -3.7416e-04   4.5435e+03
-1.8000e+00   -4.1928e-04   4.2931e+03
-1.9000e+00   -5.7546e-04   3.3017e+03
-2.0000e+00   -6.8458e-04   2.9215e+03
-2.1000e+00   -7.1258e-04   2.9470e+03
-2.2000e+00   -8.6026e-04   2.5574e+03
-2.3000e+00   -1.5656e-03   1.4691e+03
-2.4000e+00   -1.5678e-03   1.5308e+03
-2.5000e+00   -2.0778e-03   1.2032e+03
-2.6000e+00   -2.4170e-03   1.0757e+03
-2.7000e+00   -2.5534e-03   1.0574e+03
-2.8000e+00   -2.6732e-03   1.0474e+03
-2.9000e+00   -2.8002e-03   1.0356e+03
-3.0000e+00   -3.6342e-03   8.2549e+02
-3.0000e+00   -3.6438e-03   8.2332e+02
-2.9000e+00   -3.4540e-03   8.3961e+02
-2.8000e+00   -3.2734e-03   8.5538e+02
-2.7000e+00   -3.0936e-03   8.7277e+02
-2.6000e+00   -2.9146e-03   8.9206e+02
-2.5000e+00   -2.7402e-03   9.1234e+02
-2.4000e+00   -2.5770e-03   9.3132e+02
-2.3000e+00   -2.4048e-03   9.5642e+02
-2.2000e+00   -2.2316e-03   9.8584e+02
-2.1000e+00   -2.0646e-03   1.0171e+03
-2.0000e+00   -1.9082e-03   1.0481e+03
-1.9000e+00   -1.7444e-03   1.0892e+03
-1.8000e+00   -1.5846e-03   1.1359e+03
-1.7000e+00   -1.4296e-03   1.1891e+03
-1.6000e+00   -1.2752e-03   1.2547e+03
-1.5000e+00   -1.1286e-03   1.3291e+03
-1.4000e+00   -9.8920e-04   1.4153e+03
-1.3000e+00   -8.5408e-04   1.5221e+03
-1.2000e+00   -7.2862e-04   1.6469e+03
-1.1000e+00   -6.1142e-04   1.7991e+03
-1.0000e+00   -5.0610e-04   1.9759e+03
-9.0000e-01   -4.1062e-04   2.1918e+03
-8.0000e-01   -3.2568e-04   2.4564e+03
-7.0000e-01   -2.5112e-04   2.7875e+03
-6.0000e-01   -1.8714e-04   3.2062e+03
-5.0000e-01   -1.3460e-04   3.7147e+03
-4.0000e-01   -9.1256e-05   4.3833e+03
-3.0000e-01   -5.7222e-05   5.2427e+03
-2.0000e-01   -3.1202e-05   6.4098e+03
-1.0000e-01   -1.2736e-05   7.8518e+03
0.0000e+00   1.3208e-08   0.0000e+00
0.0000e+00   1.3137e-08   0.0000e+00
1.0000e-01   1.2894e-05   7.7555e+03
2.0000e-01   3.1526e-05   6.3440e+03
3.0000e-01   5.7564e-05   5.2116e+03
4.0000e-01   9.1770e-05   4.3587e+03
5.0000e-01   1.3234e-04   3.7781e+03
6.0000e-01   1.8390e-04   3.2626e+03
7.0000e-01   2.4580e-04   2.8478e+03
8.0000e-01   3.1916e-04   2.5066e+03
9.0000e-01   4.0668e-04   2.2130e+03
1.0000e+00   5.0046e-04   1.9982e+03
1.1000e+00   6.0290e-04   1.8245e+03
1.2000e+00   7.2628e-04   1.6523e+03
1.3000e+00   8.5274e-04   1.5245e+03
1.4000e+00   1.0059e-03   1.3918e+03
1.5000e+00   1.1742e-03   1.2775e+03
1.6000e+00   1.3286e-03   1.2043e+03
1.7000e+00   1.5148e-03   1.1223e+03
1.8000e+00   1.7132e-03   1.0507e+03
1.9000e+00   1.9358e-03   9.8151e+02
2.0000e+00   2.1262e-03   9.4065e+02
2.1000e+00   2.2466e-03   9.3475e+02
2.2000e+00   9.4340e-04   2.3320e+03
2.3000e+00   9.8164e-04   2.3430e+03
2.4000e+00   4.8884e-04   4.9096e+03
2.5000e+00   5.4564e-04   4.5818e+03
2.6000e+00   4.1862e-04   6.2109e+03
2.7000e+00   3.0416e-04   8.8769e+03
