  Measurement Number     Measurement type
                  15                DC IV

      Measurement ID             SeriesID
       739953.732505                    0

         MeasureMode                Bias1                Bias2
                   1                    0                 -3.5

                Step  Positive compliance  Negative compliance
                 0.1                  0.1                  0.1

  RealMeasuredPoints
                  72

        Bias        Current     Resistance
0.0000e+00   1.7300e-08   0.0000e+00
-1.0000e-01   -1.3120e-05   7.6220e+03
-2.0000e-01   -3.0812e-05   6.4910e+03
-3.0000e-01   -5.4748e-05   5.4797e+03
-4.0000e-01   -8.6134e-05   4.6439e+03
-5.0000e-01   -1.2350e-04   4.0486e+03
-6.0000e-01   -1.6908e-04   3.5486e+03
-7.0000e-01   -2.2222e-04   3.1500e+03
-8.0000e-01   -2.8256e-04   2.8313e+03
-9.0000e-01   -3.5740e-04   2.5182e+03
-1.0000e+00   -4.4108e-04   2.2672e+03
-1.1000e+00   -5.2630e-04   2.0901e+03
-1.2000e+00   -6.2138e-04   1.9312e+03
-1.3000e+00   -7.2690e-04   1.7884e+03
-1.4000e+00   -8.2656e-04   1.6938e+03
-1.5000e+00   -9.3698e-04   1.6009e+03
-1.6000e+00   -1.0392e-03   1.5397e+03
-1.7000e+00   -1.1451e-03   1.4846e+03
-1.8000e+00   -1.2718e-03   1.4153e+03
-1.9000e+00   -1.3918e-03   1.3651e+03
-2.0000e+00   -1.5116e-03   1.3231e+03
-2.1000e+00   -1.6358e-03   1.2838e+03
-2.2000e+00   -1.7514e-03   1.2561e+03
-2.3000e+00   -1.8626e-03   1.2348e+03
-2.4000e+00   -2.0060e-03   1.1964e+03
-2.5000e+00   -2.1500e-03   1.1628e+03
-2.6000e+00   -2.2248e-03   1.1686e+03
-2.7000e+00   -2.3240e-03   1.1618e+03
-2.8000e+00   -2.4258e-03   1.1543e+03
-2.9000e+00   -2.5614e-03   1.1322e+03
-3.0000e+00   -2.6858e-03   1.1170e+03
-3.1000e+00   -2.8368e-03   1.0928e+03
-3.2000e+00   -3.6534e-03   8.7590e+02
-3.3000e+00   -3.7988e-03   8.6870e+02
-3.4000e+00   -3.9994e-03   8.5013e+02
-3.5000e+00   -4.1320e-03   8.4705e+02
-3.5000e+00   -4.1350e-03   8.4643e+02
-3.4000e+00   -3.8894e-03   8.7417e+02
-3.3000e+00   -3.6532e-03   9.0332e+02
-3.2000e+00   -3.4796e-03   9.1965e+02
-3.1000e+00   -3.2846e-03   9.4380e+02
-3.0000e+00   -3.0948e-03   9.6937e+02
-2.9000e+00   -2.9198e-03   9.9322e+02
-2.8000e+00   -2.7700e-03   1.0108e+03
-2.7000e+00   -2.6078e-03   1.0354e+03
-2.6000e+00   -2.4640e-03   1.0552e+03
-2.5000e+00   -2.3178e-03   1.0786e+03
-2.4000e+00   -2.1654e-03   1.1083e+03
-2.3000e+00   -2.0208e-03   1.1382e+03
-2.2000e+00   -1.8748e-03   1.1735e+03
-2.1000e+00   -1.7356e-03   1.2100e+03
-2.0000e+00   -1.5998e-03   1.2502e+03
-1.9000e+00   -1.4632e-03   1.2985e+03
-1.8000e+00   -1.3386e-03   1.3447e+03
-1.7000e+00   -1.2130e-03   1.4015e+03
-1.6000e+00   -1.0914e-03   1.4660e+03
-1.5000e+00   -9.7658e-04   1.5360e+03
-1.4000e+00   -8.6814e-04   1.6126e+03
-1.3000e+00   -7.6644e-04   1.6962e+03
-1.2000e+00   -6.7042e-04   1.7899e+03
-1.1000e+00   -5.8022e-04   1.8958e+03
-1.0000e+00   -4.9758e-04   2.0097e+03
-9.0000e-01   -4.2134e-04   2.1360e+03
-8.0000e-01   -3.5558e-04   2.2498e+03
-7.0000e-01   -2.8820e-04   2.4289e+03
-6.0000e-01   -2.3092e-04   2.5983e+03
-5.0000e-01   -1.7920e-04   2.7902e+03
-4.0000e-01   -1.3316e-04   3.0039e+03
-3.0000e-01   -9.2158e-05   3.2553e+03
-2.0000e-01   -5.6934e-05   3.5128e+03
-1.0000e-01   -2.6560e-05   3.7651e+03
0.0000e+00   3.9290e-08   0.0000e+00
