  Measurement Number     Measurement type
                   4                DC IV

      Measurement ID             SeriesID
       739953.714942                   13

         MeasureMode                Bias1                Bias2
                   2                   -3                    3

                Step  Positive compliance  Negative compliance
                 0.1                  0.1                  0.1

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   1.2560e-11   0.0000e+00
-1.0000e-01   -5.4383e-09   1.8388e+07
-2.0000e-01   -2.1881e-08   9.1405e+06
-3.0000e-01   -6.0912e-05   4.9251e+03
-4.0000e-01   -1.6278e-04   2.4573e+03
-5.0000e-01   -2.0502e-04   2.4388e+03
-6.0000e-01   -3.9314e-04   1.5262e+03
-7.0000e-01   -4.8674e-04   1.4381e+03
-8.0000e-01   -5.7318e-04   1.3957e+03
-9.0000e-01   -5.8394e-04   1.5413e+03
-1.0000e+00   -4.5180e-04   2.2134e+03
-1.1000e+00   -3.0570e-04   3.5983e+03
-1.2000e+00   -2.0068e-04   5.9797e+03
-1.3000e+00   -1.6406e-04   7.9239e+03
-1.4000e+00   -1.2312e-04   1.1371e+04
-1.5000e+00   -1.3602e-04   1.1028e+04
-1.6000e+00   -1.3600e-04   1.1765e+04
-1.7000e+00   -1.5806e-04   1.0755e+04
-1.8000e+00   -1.2196e-04   1.4759e+04
-1.9000e+00   -2.1304e-04   8.9185e+03
-2.0000e+00   -1.8948e-04   1.0555e+04
-2.1000e+00   -4.9712e-04   4.2243e+03
-2.2000e+00   -1.0097e-03   2.1788e+03
-2.3000e+00   -1.2782e-03   1.7994e+03
-2.4000e+00   -1.4126e-03   1.6990e+03
-2.5000e+00   -1.5416e-03   1.6217e+03
-2.6000e+00   -2.0816e-03   1.2490e+03
-2.7000e+00   -2.7526e-03   9.8089e+02
-2.8000e+00   -3.0364e-03   9.2214e+02
-2.9000e+00   -3.2582e-03   8.9006e+02
-3.0000e+00   -4.0672e-03   7.3761e+02
-3.0000e+00   -4.1320e-03   7.2604e+02
-2.9000e+00   -3.9506e-03   7.3407e+02
-2.8000e+00   -3.8102e-03   7.3487e+02
-2.7000e+00   -3.6092e-03   7.4809e+02
-2.6000e+00   -3.4068e-03   7.6318e+02
-2.5000e+00   -3.2130e-03   7.7809e+02
-2.4000e+00   -3.0098e-03   7.9740e+02
-2.3000e+00   -2.8120e-03   8.1792e+02
-2.2000e+00   -2.6254e-03   8.3797e+02
-2.1000e+00   -2.4324e-03   8.6334e+02
-2.0000e+00   -2.2402e-03   8.9278e+02
-1.9000e+00   -2.0506e-03   9.2656e+02
-1.8000e+00   -1.8642e-03   9.6556e+02
-1.7000e+00   -1.6814e-03   1.0111e+03
-1.6000e+00   -1.5070e-03   1.0617e+03
-1.5000e+00   -1.3334e-03   1.1249e+03
-1.4000e+00   -1.1668e-03   1.1999e+03
-1.3000e+00   -1.0102e-03   1.2869e+03
-1.2000e+00   -8.6174e-04   1.3925e+03
-1.1000e+00   -7.2320e-04   1.5210e+03
-1.0000e+00   -5.9518e-04   1.6802e+03
-9.0000e-01   -4.8240e-04   1.8657e+03
-8.0000e-01   -3.8364e-04   2.0853e+03
-7.0000e-01   -2.9966e-04   2.3360e+03
-6.0000e-01   -2.2766e-04   2.6355e+03
-5.0000e-01   -1.6858e-04   2.9660e+03
-4.0000e-01   -1.1974e-04   3.3406e+03
-3.0000e-01   -7.9190e-05   3.7884e+03
-2.0000e-01   -4.6218e-05   4.3273e+03
-1.0000e-01   -2.0338e-05   4.9169e+03
0.0000e+00   2.1738e-08   0.0000e+00
0.0000e+00   1.9742e-08   0.0000e+00
1.0000e-01   1.9482e-05   5.1329e+03
2.0000e-01   4.4046e-05   4.5407e+03
3.0000e-01   7.5840e-05   3.9557e+03
4.0000e-01   1.1460e-04   3.4904e+03
5.0000e-01   1.6532e-04   3.0244e+03
6.0000e-01   2.2612e-04   2.6535e+03
7.0000e-01   2.9452e-04   2.3767e+03
8.0000e-01   3.7518e-04   2.1323e+03
9.0000e-01   4.7440e-04   1.8971e+03
1.0000e+00   5.8392e-04   1.7126e+03
1.1000e+00   7.0140e-04   1.5683e+03
1.2000e+00   8.5158e-04   1.4091e+03
1.3000e+00   1.0077e-03   1.2900e+03
1.4000e+00   1.2574e-03   1.1134e+03
1.5000e+00   1.4244e-03   1.0531e+03
1.6000e+00   1.6064e-03   9.9602e+02
1.7000e+00   1.8194e-03   9.3437e+02
1.8000e+00   2.0340e-03   8.8496e+02
1.9000e+00   2.2434e-03   8.4693e+02
2.0000e+00   2.4362e-03   8.2095e+02
2.1000e+00   1.4804e-03   1.4185e+03
2.2000e+00   6.2734e-04   3.5069e+03
2.3000e+00   6.6452e-04   3.4611e+03
2.4000e+00   5.0920e-04   4.7133e+03
2.5000e+00   4.6962e-04   5.3235e+03
2.6000e+00   3.9384e-04   6.6017e+03
2.7000e+00   2.2516e-04   1.1991e+04
