  Measurement Number     Measurement type
                   7                DC IV

      Measurement ID             SeriesID
       739953.743068                    0

         MeasureMode                Bias1                Bias2
                   1                   -3                    0

                Step  Positive compliance  Negative compliance
                 0.1                  0.1                  0.1

  RealMeasuredPoints
                  62

        Bias        Current     Resistance
-3.0000e+00   -1.3252e-03   2.2638e+03
-2.9000e+00   -1.2630e-03   2.2961e+03
-2.8000e+00   -1.2040e-03   2.3256e+03
-2.7000e+00   -1.1446e-03   2.3589e+03
-2.6000e+00   -1.0852e-03   2.3959e+03
-2.5000e+00   -1.0256e-03   2.4376e+03
-2.4000e+00   -9.6886e-04   2.4771e+03
-2.3000e+00   -9.1244e-04   2.5207e+03
-2.2000e+00   -8.5388e-04   2.5765e+03
-2.1000e+00   -7.9724e-04   2.6341e+03
-2.0000e+00   -7.4076e-04   2.6999e+03
-1.9000e+00   -6.8458e-04   2.7754e+03
-1.8000e+00   -6.2958e-04   2.8590e+03
-1.7000e+00   -5.7492e-04   2.9569e+03
-1.6000e+00   -5.2152e-04   3.0680e+03
-1.5000e+00   -4.6842e-04   3.2023e+03
-1.4000e+00   -4.1814e-04   3.3482e+03
-1.3000e+00   -3.6932e-04   3.5200e+03
-1.2000e+00   -3.2176e-04   3.7295e+03
-1.1000e+00   -2.7664e-04   3.9763e+03
-1.0000e+00   -2.3426e-04   4.2688e+03
-9.0000e-01   -1.9474e-04   4.6215e+03
-8.0000e-01   -1.5816e-04   5.0582e+03
-7.0000e-01   -1.2552e-04   5.5768e+03
-6.0000e-01   -9.6644e-05   6.2084e+03
-5.0000e-01   -7.1810e-05   6.9628e+03
-4.0000e-01   -5.0838e-05   7.8681e+03
-3.0000e-01   -3.3574e-05   8.9355e+03
-2.0000e-01   -1.9732e-05   1.0136e+04
-1.0000e-01   -8.8197e-06   1.1338e+04
0.0000e+00   1.0252e-08   0.0000e+00
0.0000e+00   1.0479e-08   0.0000e+00
-1.0000e-01   -8.7630e-06   1.1412e+04
-2.0000e-01   -1.9554e-05   1.0228e+04
-3.0000e-01   -3.3344e-05   8.9971e+03
-4.0000e-01   -5.0672e-05   7.8939e+03
-5.0000e-01   -7.1596e-05   6.9836e+03
-6.0000e-01   -9.6354e-05   6.2270e+03
-7.0000e-01   -1.2536e-04   5.5839e+03
-8.0000e-01   -1.5792e-04   5.0659e+03
-9.0000e-01   -1.9484e-04   4.6192e+03
-1.0000e+00   -2.3414e-04   4.2709e+03
-1.1000e+00   -2.7672e-04   3.9751e+03
-1.2000e+00   -3.2186e-04   3.7283e+03
-1.3000e+00   -3.6886e-04   3.5244e+03
-1.4000e+00   -4.1808e-04   3.3486e+03
-1.5000e+00   -4.6856e-04   3.2013e+03
-1.6000e+00   -5.2126e-04   3.0695e+03
-1.7000e+00   -5.7490e-04   2.9570e+03
-1.8000e+00   -6.2770e-04   2.8676e+03
-1.9000e+00   -6.8364e-04   2.7792e+03
-2.0000e+00   -7.3898e-04   2.7064e+03
-2.1000e+00   -7.9508e-04   2.6412e+03
-2.2000e+00   -8.5318e-04   2.5786e+03
-2.3000e+00   -9.0986e-04   2.5279e+03
-2.4000e+00   -9.6772e-04   2.4801e+03
-2.5000e+00   -1.0256e-03   2.4376e+03
-2.6000e+00   -1.0839e-03   2.3987e+03
-2.7000e+00   -1.1438e-03   2.3606e+03
-2.8000e+00   -1.2016e-03   2.3302e+03
-2.9000e+00   -1.2596e-03   2.3023e+03
-3.0000e+00   -1.3208e-03   2.2714e+03
