
Time,Voltage,Current
5e-09,0.00193583,5.22057e-07
1.5e-08,0.000495731,1.15569e-06
2.5e-08,0.00121578,1.57812e-06
3.5e-08,0.000495731,8.74078e-07
4.5e-08,0.000495731,-1.81986e-07
5.5e-08,-0.00238447,-1.09724e-06
6.5e-08,0.00121578,-1.44926e-06
7.5e-08,-0.000224321,-2.0125e-06
8.5e-08,0.00121578,-1.51967e-06
9.5e-08,0.00193583,-4.63602e-07
1.05e-07,-0.000944372,-6.74815e-07
1.15e-07,0.000495731,-1.37886e-06
1.25e-07,0.00121578,-6.74815e-07
1.35e-07,-0.00166442,-8.86028e-07
1.45e-07,-0.00166442,-4.63602e-07
1.55e-07,-0.00238447,4.51652e-07
1.65e-07,0.000495731,9.44482e-07
1.75e-07,-0.00310453,5.92461e-07
1.85e-07,0.000495731,-3.22794e-07
1.95e-07,-0.000224321,-1.16764e-06
2.05e-07,0.00121578,-1.73088e-06
2.15e-07,0.000495731,-2.0125e-06
2.25e-07,-0.00238447,-2.0125e-06
2.35e-07,0.00337594,-1.37886e-06
2.45e-07,0.000495731,-5.34007e-07
2.55e-07,-0.000224321,-3.93198e-07
2.65e-07,-0.000944372,-6.74815e-07
2.75e-07,-0.00166442,-1.09724e-06
2.85e-07,-0.000944372,-9.56432e-07
2.95e-07,-0.00166442,-2.5239e-07
3.05e-07,-0.000944372,9.96312e-08
3.15e-07,-0.00166442,-1.11581e-07
3.25e-07,-0.00238447,-4.11772e-08
3.35e-07,-0.000224321,1.70035e-07
3.45e-07,-0.00166442,-5.34007e-07
3.55e-07,-0.00310453,-8.15624e-07
3.65e-07,-0.00382458,-2.5239e-07
3.75e-07,-0.00238447,9.96312e-08
3.85e-07,0.00121578,9.96312e-08
3.95e-07,-0.000224321,-1.11581e-07
4.05e-07,-0.000224321,-4.63602e-07
4.15e-07,-0.000944372,-1.11581e-07
4.25e-07,-0.00166442,-1.11581e-07
4.35e-07,-0.000944372,-4.63602e-07
4.45e-07,-0.000944372,-3.22794e-07
4.55e-07,-0.000224321,2.9227e-08
4.65e-07,-0.000944372,-5.34007e-07
4.75e-07,0.00193583,-1.37886e-06
4.85e-07,-0.000224321,-2.0125e-06
4.95e-07,-0.000944372,-1.66047e-06
5.05e-07,-0.00166442,-1.09724e-06
5.15e-07,-0.00166442,-7.45219e-07
5.25e-07,-0.00382458,-3.22794e-07
5.35e-07,-0.00238447,-9.56432e-07
5.45e-07,0.000495731,-1.09724e-06
5.55e-07,0.00337594,-1.37886e-06
5.65e-07,-0.00238447,-1.02684e-06
5.75e-07,-0.000224321,-1.16764e-06
5.85e-07,-0.00238447,-6.74815e-07
5.95e-07,-0.00310453,9.96312e-08
6.05e-07,-0.00238447,8.03673e-07
6.15e-07,-0.000944372,1.08529e-06
6.25e-07,-0.000944372,1.2965e-06
6.35e-07,0.00121578,-2.5239e-07
6.45e-07,0.00121578,-1.81986e-07
6.55e-07,-0.000944372,4.51652e-07
6.65e-07,-0.00238447,8.03673e-07
6.75e-07,-0.00166442,5.22057e-07
6.85e-07,-0.00166442,2.4044e-07
6.95e-07,-0.000944372,3.81248e-07
7.05e-07,-0.000944372,2.4044e-07
7.15e-07,-0.000224321,3.81248e-07
7.25e-07,0.00193583,-4.63602e-07
7.35e-07,-0.000944372,-1.09724e-06
7.45e-07,-0.00382458,-1.44926e-06
7.55e-07,-0.000224321,-1.09724e-06
7.65e-07,-0.00310453,-1.44926e-06
7.75e-07,-0.00166442,-1.59007e-06
7.85e-07,-0.00310453,-1.44926e-06
7.95e-07,0.00121578,-6.74815e-07
8.05e-07,0.000495731,-1.11581e-07
8.15e-07,-0.00166442,-1.16764e-06
8.25e-07,-0.00166442,-1.30845e-06
8.35e-07,-0.00238447,-2.0829e-06
8.45e-07,-0.000944372,-1.23805e-06
8.55e-07,-0.00166442,-1.11581e-07
8.65e-07,-0.00238447,-3.22794e-07
8.75e-07,-0.00238447,-2.5239e-07
8.85e-07,-0.00238447,3.81248e-07
8.95e-07,0.00121578,2.4044e-07
9.05e-07,-0.00166442,4.51652e-07
9.15e-07,0.00121578,3.81248e-07
9.25e-07,-0.000224321,-2.5239e-07
9.35e-07,-0.000944372,-3.93198e-07
9.45e-07,-0.00166442,5.92461e-07
9.55e-07,-0.00238447,5.92461e-07
9.65e-07,-0.00166442,9.96312e-08
9.75e-07,0.00193583,-2.5239e-07
9.85e-07,-0.000224321,-1.16764e-06
9.95e-07,-0.000224321,-7.45219e-07
1.005e-06,-0.0254261,-1.81986e-07
1.015e-06,-0.21336,2.9227e-08
1.025e-06,-0.510021,2.04464e-05
1.035e-06,-0.808122,0.000105565
1.045e-06,-1.08678,0.000256089
1.055e-06,-1.38056,0.0004478
