
Time,Voltage,Current
5e-09,-0.00108245,-2.71174e-07
1.5e-08,-0.00178659,-2.71174e-07
2.5e-08,-0.00249072,8.11517e-08
3.5e-08,-0.00178659,2.22082e-07
4.5e-08,-0.00178659,5.74408e-07
5.5e-08,-0.000378314,8.56269e-07
6.5e-08,-0.00178659,3.63012e-07
7.5e-08,-0.00108245,-2.00709e-07
8.5e-08,-0.00108245,1.06865e-08
9.5e-08,-0.003899,8.56269e-07
1.05e-07,-0.00108245,1.20859e-06
1.15e-07,-0.00108245,1.27906e-06
1.25e-07,-0.00108245,1.41999e-06
1.35e-07,-0.000378314,1.41999e-06
1.45e-07,-0.00249072,7.15338e-07
1.55e-07,-0.00178659,6.44873e-07
1.65e-07,-0.00178659,5.03943e-07
1.75e-07,-0.00108245,1.20859e-06
1.85e-07,-0.00319486,1.49046e-06
1.95e-07,-0.00108245,1.41999e-06
2.05e-07,-0.00249072,1.70185e-06
2.15e-07,-0.00249072,1.13813e-06
2.25e-07,-0.00460313,5.74408e-07
2.35e-07,-0.00178659,9.26734e-07
2.45e-07,-0.00319486,6.44873e-07
2.55e-07,-0.00108245,6.44873e-07
2.65e-07,-0.00249072,7.15338e-07
2.75e-07,-0.00108245,1.13813e-06
2.85e-07,-0.000378314,1.34953e-06
2.95e-07,0.000325823,7.85804e-07
3.05e-07,-0.000378314,7.85804e-07
3.15e-07,-0.00249072,5.03943e-07
3.25e-07,0.000325823,-3.41639e-07
3.35e-07,-0.00249072,-5.97786e-08
3.45e-07,-0.00249072,1.51617e-07
3.55e-07,-0.00108245,-4.12105e-07
3.65e-07,-0.000378314,-5.97786e-08
3.75e-07,-0.00319486,-1.30244e-07
3.85e-07,-0.00319486,2.22082e-07
3.95e-07,-0.00108245,6.44873e-07
4.05e-07,-0.00249072,8.56269e-07
4.15e-07,-0.00178659,5.74408e-07
4.25e-07,-0.00178659,1.13813e-06
4.35e-07,0.000325823,7.85804e-07
4.45e-07,-0.000378314,8.56269e-07
4.55e-07,-0.00319486,7.85804e-07
4.65e-07,-0.000378314,1.41999e-06
4.75e-07,-0.00178659,1.20859e-06
4.85e-07,-0.00530727,1.70185e-06
4.95e-07,0.00102996,1.41999e-06
5.05e-07,-0.00249072,1.20859e-06
5.15e-07,-0.00249072,7.85804e-07
5.25e-07,-0.00319486,3.63012e-07
5.35e-07,0.000325823,5.74408e-07
5.45e-07,-0.00249072,1.41999e-06
5.55e-07,0.0017341,1.70185e-06
5.65e-07,-0.00249072,1.49046e-06
5.75e-07,-0.00249072,6.44873e-07
5.85e-07,0.000325823,2.22082e-07
5.95e-07,-0.00108245,-8.34896e-07
6.05e-07,-0.003899,-5.53035e-07
6.15e-07,-0.00249072,-3.41639e-07
6.25e-07,-0.00108245,2.22082e-07
6.35e-07,-0.00530727,2.22082e-07
6.45e-07,-0.000378314,6.44873e-07
6.55e-07,-0.00108245,1.06766e-06
6.65e-07,-0.00460313,1.13813e-06
6.75e-07,-0.00249072,6.44873e-07
6.85e-07,0.00102996,8.56269e-07
6.95e-07,-0.00319486,8.56269e-07
7.05e-07,-0.00108245,9.97199e-07
7.15e-07,-0.00249072,9.97199e-07
7.25e-07,-0.000378314,2.92547e-07
7.35e-07,0.00243823,1.51617e-07
7.45e-07,-0.00108245,7.85804e-07
7.55e-07,0.000325823,1.34953e-06
7.65e-07,-0.000378314,2.05418e-06
7.75e-07,-0.00178659,2.54743e-06
7.85e-07,-0.00178659,1.91325e-06
7.95e-07,-0.00108245,1.77232e-06
8.05e-07,-0.00249072,1.34953e-06
8.15e-07,-0.00108245,7.15338e-07
8.25e-07,-0.000378314,5.03943e-07
8.35e-07,0.000325823,-1.30244e-07
8.45e-07,-0.000378314,-2.00709e-07
8.55e-07,-0.00249072,-9.75826e-07
8.65e-07,-0.00178659,-2.00709e-07
8.75e-07,-0.00249072,1.51617e-07
8.85e-07,-0.00249072,3.63012e-07
8.95e-07,-0.00319486,-5.97786e-08
9.05e-07,-0.00178659,2.22082e-07
9.15e-07,-0.00108245,3.63012e-07
9.25e-07,-0.00319486,4.33478e-07
9.35e-07,-0.00108245,5.74408e-07
9.45e-07,-0.00108245,1.27906e-06
9.55e-07,-0.000378314,1.49046e-06
9.65e-07,-0.00319486,6.44873e-07
9.75e-07,-0.00178659,8.11517e-08
9.85e-07,-0.00108245,5.03943e-07
9.95e-07,-0.000378314,1.06766e-06
1.005e-06,0.00102996,9.26734e-07
1.015e-06,0.0144086,9.97199e-07
