Positive pulse time array: 
0.000e+00,1.000e-07,1.000e-07,2.000e-07,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Positive pulse voltage array: 
0.000,0.000,2.050,2.050,-0.500,-0.500,0.000,0.000,
 
Negative pulse time array: 
0.000e+00,1.000e-07,1.000e-07,2.000e-07,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Negative pulse voltage array: 
0.000,0.000,-1.800,-1.800,-0.500,-0.500,0.000,0.000,
 
Positive repetition, Negative repetition, ?ycles: 
20.0,20.0,2.0

Time,Voltage,Current
1e-08,-0.00346455,-3.38538e-06
3e-08,-0.00346455,-2.75174e-06
5e-08,-0.00202445,-2.22371e-06
7e-08,-0.00346455,-1.97729e-06
9e-08,-0.00454463,-2.1533e-06
1.1e-07,0.0797014,-2.18851e-06
1.3e-07,0.447288,-8.00204e-05
1.5e-07,0.847996,-0.000492061
1.7e-07,1.26383,-0.00108303
1.9e-07,1.68254,-0.00114348
2.1e-07,2.01052,-0.00114348
2.3e-07,2.0566,-0.00114348
2.5e-07,2.07784,-0.00114348
2.7e-07,2.07604,-0.00114348
2.9e-07,2.07244,-0.00114348
3.1e-07,2.07388,-0.00114348
3.3e-07,2.07316,-0.00114348
3.5e-07,2.06956,-0.00114348
3.7e-07,2.07388,-0.00114348
3.9e-07,2.0746,-0.00114348
4.1e-07,1.96588,-0.00114348
4.3e-07,1.5126,-0.00114348
4.5e-07,1.01649,-0.00114348
4.7e-07,0.496251,-0.000665572
4.9e-07,-0.0265062,0.000701994
5.1e-07,-0.434775,0.00115339
5.3e-07,-0.49742,0.00115339
5.5e-07,-0.517221,0.00115339
5.7e-07,-0.514341,0.00115339
5.9e-07,-0.50714,0.00115339
6.1e-07,-0.508941,0.00115339
6.3e-07,-0.508221,0.00115339
6.5e-07,-0.50462,0.00106345
6.7e-07,-0.50606,0.000711041
6.9e-07,-0.50462,0.00047399
7.1e-07,-0.50462,0.000338744
7.3e-07,-0.5057,0.000280308
7.5e-07,-0.5039,0.000273902
7.7e-07,-0.50498,0.000289848
7.9e-07,-0.50498,0.000316496
8.1e-07,-0.50426,0.000343813
8.3e-07,-0.50498,0.000365709
8.5e-07,-0.50426,0.000380705
8.7e-07,-0.5039,0.000388308
8.9e-07,-0.50498,0.000391864
9.1e-07,-0.50642,0.000392568
9.3e-07,-0.50642,0.000389717
9.5e-07,-0.5057,0.000386337
9.7e-07,-0.508941,0.000384859
9.9e-07,-0.508221,0.000382183
1.01e-06,-0.50786,0.000378487
1.03e-06,-0.50678,0.000376199
1.05e-06,-0.50786,0.000373911
1.07e-06,-0.508581,0.0003737
1.09e-06,-0.508221,0.000373101
1.11e-06,-0.508221,0.00037282
1.13e-06,-0.509301,0.0003737
1.15e-06,-0.511101,0.000373383
1.17e-06,-0.509661,0.000372608
1.19e-06,-0.508941,0.000372186
1.21e-06,-0.509301,0.000371869
1.23e-06,-0.508941,0.000370743
1.25e-06,-0.508581,0.000368947
1.27e-06,-0.50786,0.000369194
1.29e-06,-0.508581,0.000369792
1.31e-06,-0.508941,0.00037025
