  Measurement Number     Measurement type
                  12               OnLine

      Measurement ID                     
       739956.528254                     

          Force Mode                Value         MeasureRange
             Voltage                    0         1.000000e-05

    Supply Complince     Integrating time     Refresh interval
        1.000000e-04                    0                    0

        Time      Voltage      Current  Temperature
8.9800e-03   1.0003e+00   7.4500e-07             NA
1.2560e-01   1.0003e+00   6.7500e-07             NA
1.9964e-01   1.0003e+00   6.8500e-07             NA
2.9963e-01   1.0003e+00   6.6000e-07             NA
4.0068e-01   1.0003e+00   6.5000e-07             NA
4.9990e-01   1.0003e+00   6.7000e-07             NA
6.0025e-01   1.0003e+00   7.0000e-07             NA
6.9940e-01   1.0003e+00   6.7000e-07             NA
7.9912e-01   1.0003e+00   7.0000e-07             NA
8.9967e-01   1.0003e+00   7.0000e-07             NA
9.9939e-01   1.0003e+00   7.2000e-07             NA
1.0997e+00   1.0003e+00   7.0500e-07             NA
1.2004e+00   1.0003e+00   7.0000e-07             NA
1.2997e+00   1.0003e+00   6.8000e-07             NA
1.4002e+00   1.0003e+00   6.9500e-07             NA
1.4997e+00   1.0003e+00   7.0500e-07             NA
1.5995e+00   1.0003e+00   7.0000e-07             NA
1.6998e+00   1.0003e+00   7.2000e-07             NA
1.8002e+00   1.0003e+00   7.1000e-07             NA
1.8998e+00   1.0003e+00   7.1000e-07             NA
2.0002e+00   1.0003e+00   6.9500e-07             NA
2.1005e+00   1.0003e+00   7.2000e-07             NA
2.1991e+00   1.0003e+00   7.0000e-07             NA
2.2994e+00   1.0003e+00   7.2000e-07             NA
2.3998e+00   1.0003e+00   7.2000e-07             NA
2.4995e+00   1.0003e+00   7.0000e-07             NA
2.5997e+00   1.0003e+00   7.2000e-07             NA
2.7003e+00   1.0003e+00   7.0500e-07             NA
2.7999e+00   1.0003e+00   7.2000e-07             NA
2.9002e+00   1.0003e+00   7.0500e-07             NA
2.9995e+00   1.0003e+00   7.2000e-07             NA
3.1000e+00   1.0003e+00   7.4000e-07             NA
3.2008e+00   1.0003e+00   7.6500e-07             NA
3.3001e+00   1.0003e+00   7.7000e-07             NA
3.3996e+00   1.0003e+00   7.3500e-07             NA
3.5004e+00   1.0003e+00   7.4000e-07             NA
3.5998e+00   1.0003e+00   7.3500e-07             NA
3.6999e+00   1.0003e+00   7.2000e-07             NA
3.7995e+00   1.0003e+00   7.1000e-07             NA
3.8993e+00   1.0003e+00   7.1500e-07             NA
3.9997e+00   1.0003e+00   7.7000e-07             NA
4.1005e+00   1.0003e+00   7.3000e-07             NA
4.1997e+00   1.0003e+00   7.2000e-07             NA
4.2999e+00   1.0003e+00   7.2500e-07             NA
4.4008e+00   1.0003e+00   7.8500e-07             NA
4.4991e+00   1.0003e+00   7.5000e-07             NA
4.5995e+00   1.0003e+00   7.5500e-07             NA
4.7000e+00   1.0003e+00   7.0500e-07             NA
4.7995e+00   1.0003e+00   7.0000e-07             NA
4.8999e+00   1.0003e+00   7.3000e-07             NA
5.0004e+00   1.0003e+00   7.3500e-07             NA
5.0990e+00   1.0003e+00   7.3500e-07             NA
5.1994e+00   1.0003e+00   7.6500e-07             NA
5.3002e+00   1.0003e+00   7.2000e-07             NA
5.3996e+00   1.0003e+00   7.0000e-07             NA
5.4999e+00   1.0003e+00   7.4000e-07             NA
5.5998e+00   1.0003e+00   7.6000e-07             NA
5.7000e+00   1.0003e+00   7.3500e-07             NA
5.7992e+00   1.0003e+00   7.3500e-07             NA
5.8998e+00   1.0003e+00   7.0000e-07             NA
5.9994e+00   1.0003e+00   7.1000e-07             NA
6.0995e+00   1.0003e+00   7.1000e-07             NA
6.2004e+00   1.0003e+00   7.2500e-07             NA
6.2999e+00   1.0003e+00   7.2000e-07             NA
6.3992e+00   1.0003e+00   7.9000e-07             NA
6.4997e+00   1.0003e+00   7.3500e-07             NA
6.5992e+00   1.0003e+00   8.3000e-07             NA
6.6999e+00   1.0003e+00   7.6000e-07             NA
6.7997e+00   1.0003e+00   7.5500e-07             NA
6.9000e+00   1.0003e+00   7.5500e-07             NA
7.0005e+00   1.0003e+00   6.8000e-07             NA
7.0989e+00   1.0003e+00   7.2000e-07             NA
7.1995e+00   1.0003e+00   7.0000e-07             NA
7.2998e+00   1.0003e+00   7.4000e-07             NA
7.3992e+00   1.0003e+00   7.3500e-07             NA
7.4998e+00   1.0003e+00   7.0000e-07             NA
7.5998e+00   1.0003e+00   7.3500e-07             NA
7.6997e+00   1.0003e+00   7.8000e-07             NA
7.8004e+00   1.0003e+00   6.6500e-07             NA
7.8991e+00   1.0003e+00   7.1500e-07             NA
7.9993e+00   1.0003e+00   7.2000e-07             NA
8.0998e+00   1.0003e+00   7.4500e-07             NA
8.1993e+00   1.0003e+00   7.7000e-07             NA
8.2994e+00   1.0003e+00   7.3500e-07             NA
8.4001e+00   1.0003e+00   7.3500e-07             NA
8.4997e+00   1.0003e+00   7.2500e-07             NA
8.5997e+00   1.0003e+00   7.7000e-07             NA
8.7005e+00   1.0003e+00   7.0000e-07             NA
8.7991e+00   1.0003e+00   7.8000e-07             NA
8.8994e+00   1.0003e+00   6.8500e-07             NA
8.9999e+00   1.0003e+00   7.3500e-07             NA
9.0994e+00   1.0003e+00   7.2000e-07             NA
9.1999e+00   1.0003e+00   7.5500e-07             NA
9.3004e+00   1.0003e+00   7.2000e-07             NA
9.3990e+00   1.0003e+00   7.7500e-07             NA
9.4992e+00   1.0003e+00   7.6000e-07             NA
9.5997e+00   1.0003e+00   7.7000e-07             NA
9.6994e+00   1.0003e+00   7.5000e-07             NA
9.7994e+00   1.0003e+00   7.6000e-07             NA
9.9001e+00   1.0003e+00   7.6000e-07             NA
9.9999e+00   1.0003e+00   7.2500e-07             NA
1.0099e+01   1.0003e+00   7.5000e-07             NA
1.0200e+01   1.0003e+00   7.1500e-07             NA
1.0299e+01   1.0003e+00   7.2500e-07             NA
1.0400e+01   1.0003e+00   7.9500e-07             NA
1.0500e+01   1.0003e+00   7.5000e-07             NA
1.0600e+01   1.0003e+00   7.2500e-07             NA
1.0700e+01   1.0003e+00   7.7000e-07             NA
1.0800e+01   1.0003e+00   8.5500e-07             NA
1.0899e+01   1.0003e+00   7.5500e-07             NA
1.0999e+01   1.0003e+00   7.6000e-07             NA
1.1100e+01   1.0003e+00   7.2500e-07             NA
1.1200e+01   1.0003e+00   7.6500e-07             NA
1.1300e+01   1.0003e+00   8.1500e-07             NA
1.1400e+01   1.0003e+00   7.8000e-07             NA
1.1499e+01   1.0003e+00   7.6500e-07             NA
1.1600e+01   1.0003e+00   8.1500e-07             NA
1.1699e+01   1.0003e+00   7.9500e-07             NA
1.1800e+01   1.0003e+00   7.6500e-07             NA
1.1899e+01   1.0003e+00   7.8000e-07             NA
1.2000e+01   1.0003e+00   7.6500e-07             NA
1.2100e+01   1.0003e+00   7.7000e-07             NA
1.2200e+01   1.0003e+00   7.8500e-07             NA
1.2299e+01   1.0003e+00   7.3500e-07             NA
1.2400e+01   1.0003e+00   7.7000e-07             NA
1.2499e+01   1.0003e+00   8.0500e-07             NA
1.2600e+01   1.0003e+00   7.9000e-07             NA
1.2700e+01   1.0003e+00   7.6000e-07             NA
1.2800e+01   1.0003e+00   7.7500e-07             NA
1.2901e+01   1.0002e+00   7.9500e-07             NA
1.3000e+01   1.0003e+00   7.8000e-07             NA
1.3099e+01   1.0003e+00   7.7000e-07             NA
1.3200e+01   1.0003e+00   7.4500e-07             NA
1.3299e+01   1.0003e+00   7.7500e-07             NA
1.3400e+01   1.0003e+00   7.8500e-07             NA
1.3500e+01   1.0003e+00   8.0000e-07             NA
1.3600e+01   1.0003e+00   7.9500e-07             NA
1.3700e+01   1.0003e+00   8.1500e-07             NA
1.3799e+01   1.0003e+00   8.2500e-07             NA
1.3899e+01   1.0003e+00   8.4500e-07             NA
1.3999e+01   1.0003e+00   8.6000e-07             NA
1.4100e+01   1.0003e+00   8.5000e-07             NA
1.4199e+01   1.0003e+00   8.5000e-07             NA
1.4300e+01   1.0003e+00   8.4000e-07             NA
1.4401e+01   1.0003e+00   8.5500e-07             NA
1.4499e+01   1.0003e+00   8.3000e-07             NA
1.4599e+01   1.0003e+00   9.1000e-07             NA
1.4700e+01   1.0003e+00   8.7500e-07             NA
1.4800e+01   1.0003e+00   8.4000e-07             NA
1.4900e+01   1.0003e+00   8.4000e-07             NA
1.5000e+01   1.0003e+00   8.4000e-07             NA
1.5100e+01   1.0003e+00   8.0500e-07             NA
1.5199e+01   1.0003e+00   7.9000e-07             NA
1.5300e+01   1.0003e+00   8.4500e-07             NA
1.5399e+01   1.0003e+00   8.2000e-07             NA
1.5500e+01   1.0003e+00   8.5000e-07             NA
1.5600e+01   1.0003e+00   8.2500e-07             NA
1.5700e+01   1.0003e+00   8.2500e-07             NA
1.5800e+01   1.0003e+00   8.3000e-07             NA
1.5900e+01   1.0003e+00   8.6000e-07             NA
1.5999e+01   1.0003e+00   8.0500e-07             NA
1.6099e+01   1.0003e+00   7.9500e-07             NA
1.6199e+01   1.0003e+00   8.0500e-07             NA
1.6299e+01   1.0003e+00   7.9000e-07             NA
1.6400e+01   1.0003e+00   8.0500e-07             NA
1.6499e+01   1.0003e+00   8.0500e-07             NA
1.6600e+01   1.0003e+00   8.5500e-07             NA
1.6700e+01   1.0003e+00   8.3500e-07             NA
1.6800e+01   1.0003e+00   8.5000e-07             NA
1.6899e+01   1.0003e+00   8.5000e-07             NA
1.7000e+01   1.0003e+00   8.0500e-07             NA
1.7099e+01   1.0003e+00   8.4000e-07             NA
1.7199e+01   1.0003e+00   7.2500e-07             NA
1.7300e+01   1.0003e+00   7.3500e-07             NA
1.7400e+01   1.0003e+00   8.0000e-07             NA
1.7500e+01   1.0003e+00   8.2500e-07             NA
