  Measurement Number     Measurement type
                  21                DC IV

      Measurement ID             SeriesID
       739956.531023                   55

         MeasureMode                Bias1                Bias2
                   2                   -3                    3

                Step  Positive compliance  Negative compliance
                0.05                  0.1                  0.1

  RealMeasuredPoints
                 244

        Bias        Current     Resistance
0.0000e+00   6.2040e-11   0.0000e+00
-5.0000e-02   -3.3972e-08   1.4718e+06
-1.0000e-01   -7.2715e-08   1.3752e+06
-1.5000e-01   -1.2168e-07   1.2327e+06
-2.0000e-01   -1.7806e-07   1.1232e+06
-2.5000e-01   -2.4240e-07   1.0314e+06
-3.0000e-01   -3.7146e-07   8.0762e+05
-3.5000e-01   -6.3904e-07   5.4770e+05
-4.0000e-01   -7.8350e-07   5.1053e+05
-4.5000e-01   -3.5045e-06   1.2841e+05
-5.0000e-01   -3.4297e-06   1.4579e+05
-5.5000e-01   -4.6804e-06   1.1751e+05
-6.0000e-01   -4.0591e-06   1.4782e+05
-6.5000e-01   -8.8856e-06   7.3152e+04
-7.0000e-01   -9.3098e-06   7.5190e+04
-7.5000e-01   -4.0792e-06   1.8386e+05
-8.0000e-01   -2.3074e-05   3.4671e+04
-8.5000e-01   -2.1856e-05   3.8891e+04
-9.0000e-01   -2.2718e-05   3.9616e+04
-9.5000e-01   -2.8782e-05   3.3007e+04
-1.0000e+00   -2.5594e-05   3.9072e+04
-1.0500e+00   -4.5492e-05   2.3081e+04
-1.1000e+00   -5.6486e-05   1.9474e+04
-1.1500e+00   -4.7336e-05   2.4294e+04
-1.2000e+00   -5.4292e-05   2.2103e+04
-1.2500e+00   -5.2214e-05   2.3940e+04
-1.3000e+00   -6.1762e-05   2.1049e+04
-1.3500e+00   -5.8284e-05   2.3162e+04
-1.4000e+00   -6.6308e-05   2.1114e+04
-1.4500e+00   -5.9860e-05   2.4223e+04
-1.5000e+00   -7.9280e-05   1.8920e+04
-1.5500e+00   -7.5216e-05   2.0607e+04
-1.6000e+00   -7.3102e-05   2.1887e+04
-1.6500e+00   -7.6600e-05   2.1540e+04
-1.7000e+00   -4.8084e-04   3.5355e+03
-1.7500e+00   -5.4152e-04   3.2316e+03
-1.8000e+00   -6.5414e-04   2.7517e+03
-1.8500e+00   -7.0866e-04   2.6106e+03
-1.9000e+00   -1.4766e-03   1.2867e+03
-1.9500e+00   -1.5270e-03   1.2770e+03
-2.0000e+00   -1.5700e-03   1.2739e+03
-2.0500e+00   -1.6110e-03   1.2725e+03
-2.1000e+00   -1.6520e-03   1.2712e+03
-2.1500e+00   -1.7068e-03   1.2597e+03
-2.2000e+00   -1.7322e-03   1.2701e+03
-2.2500e+00   -1.7722e-03   1.2696e+03
-2.3000e+00   -1.8172e-03   1.2657e+03
-2.3500e+00   -2.0888e-03   1.1250e+03
-2.4000e+00   -2.6526e-03   9.0477e+02
-2.4500e+00   -2.8712e-03   8.5330e+02
-2.5000e+00   -3.0584e-03   8.1742e+02
-2.5500e+00   -3.1262e-03   8.1569e+02
-2.6000e+00   -3.2650e-03   7.9632e+02
-2.6500e+00   -3.7816e-03   7.0076e+02
-2.7000e+00   -4.1662e-03   6.4807e+02
-2.7500e+00   -4.2570e-03   6.4599e+02
-2.8000e+00   -4.3562e-03   6.4276e+02
-2.8500e+00   -4.5654e-03   6.2426e+02
-2.9000e+00   -4.7622e-03   6.0896e+02
-2.9500e+00   -4.9110e-03   6.0069e+02
-3.0000e+00   -5.0652e-03   5.9228e+02
-3.0000e+00   -5.0600e-03   5.9289e+02
-2.9500e+00   -5.3824e-03   5.4808e+02
-2.9000e+00   -5.2552e-03   5.5183e+02
-2.8500e+00   -5.1526e-03   5.5312e+02
-2.8000e+00   -5.0338e-03   5.5624e+02
-2.7500e+00   -4.9086e-03   5.6024e+02
-2.7000e+00   -4.7838e-03   5.6440e+02
-2.6500e+00   -4.6590e-03   5.6879e+02
-2.6000e+00   -4.5324e-03   5.7365e+02
-2.5500e+00   -4.4150e-03   5.7758e+02
-2.5000e+00   -4.2804e-03   5.8406e+02
-2.4500e+00   -4.1700e-03   5.8753e+02
-2.4000e+00   -4.0510e-03   5.9245e+02
-2.3500e+00   -3.9228e-03   5.9906e+02
-2.3000e+00   -3.8034e-03   6.0472e+02
-2.2500e+00   -3.6770e-03   6.1191e+02
-2.2000e+00   -3.5546e-03   6.1892e+02
-2.1500e+00   -3.4282e-03   6.2715e+02
-2.1000e+00   -3.3146e-03   6.3356e+02
-2.0500e+00   -3.1992e-03   6.4079e+02
-2.0000e+00   -3.0794e-03   6.4948e+02
-1.9500e+00   -2.9688e-03   6.5683e+02
-1.9000e+00   -2.8540e-03   6.6573e+02
-1.8500e+00   -2.7436e-03   6.7430e+02
-1.8000e+00   -2.6306e-03   6.8425e+02
-1.7500e+00   -2.5196e-03   6.9455e+02
-1.7000e+00   -2.4110e-03   7.0510e+02
