  Measurement Number     Measurement type
                   4                DC IV

      Measurement ID             SeriesID
       739956.527218                   28

         MeasureMode                Bias1                Bias2
                   2                   -3                    3

                Step  Positive compliance  Negative compliance
                0.05                  0.1                  0.1

  RealMeasuredPoints
                 244

        Bias        Current     Resistance
0.0000e+00   1.1905e-10   0.0000e+00
-5.0000e-02   -5.2990e-08   9.4358e+05
-1.0000e-01   -1.5316e-07   6.5291e+05
-1.5000e-01   -2.5244e-07   5.9420e+05
-2.0000e-01   -3.5418e-07   5.6468e+05
-2.5000e-01   -5.4638e-05   4.5756e+03
-3.0000e-01   -1.9112e-04   1.5697e+03
-3.5000e-01   -2.2358e-04   1.5654e+03
-4.0000e-01   -3.3418e-04   1.1970e+03
-4.5000e-01   -4.6614e-04   9.6538e+02
-5.0000e-01   -6.1402e-04   8.1431e+02
-5.5000e-01   -8.1928e-04   6.7132e+02
-6.0000e-01   -8.9092e-04   6.7346e+02
-6.5000e-01   -1.0129e-03   6.4170e+02
-7.0000e-01   -1.1389e-03   6.1464e+02
-7.5000e-01   -1.1642e-03   6.4422e+02
-8.0000e-01   -1.2260e-03   6.5253e+02
-8.5000e-01   -1.3404e-03   6.3414e+02
-9.0000e-01   -1.3572e-03   6.6313e+02
-9.5000e-01   -1.3476e-03   7.0496e+02
-1.0000e+00   -1.2700e-03   7.8740e+02
-1.0500e+00   -1.1880e-03   8.8384e+02
-1.1000e+00   -9.8500e-04   1.1168e+03
-1.1500e+00   -6.5772e-04   1.7485e+03
-1.2000e+00   -6.7168e-04   1.7866e+03
-1.2500e+00   -5.6000e-04   2.2321e+03
-1.3000e+00   -5.3184e-04   2.4443e+03
-1.3500e+00   -4.7206e-04   2.8598e+03
-1.4000e+00   -4.7118e-04   2.9713e+03
-1.4500e+00   -5.2128e-04   2.7816e+03
-1.5000e+00   -6.3824e-04   2.3502e+03
-1.5500e+00   -5.2980e-04   2.9256e+03
-1.6000e+00   -4.8730e-04   3.2834e+03
-1.6500e+00   -6.0780e-04   2.7147e+03
-1.7000e+00   -6.7000e-04   2.5373e+03
-1.7500e+00   -7.6348e-04   2.2921e+03
-1.8000e+00   -6.5722e-04   2.7388e+03
-1.8500e+00   -6.8818e-04   2.6883e+03
-1.9000e+00   -9.5272e-04   1.9943e+03
-1.9500e+00   -1.0272e-03   1.8984e+03
-2.0000e+00   -1.1111e-03   1.8001e+03
-2.0500e+00   -1.5372e-03   1.3336e+03
-2.1000e+00   -1.6258e-03   1.2917e+03
-2.1500e+00   -1.9666e-03   1.0933e+03
-2.2000e+00   -2.0868e-03   1.0542e+03
-2.2500e+00   -2.2172e-03   1.0148e+03
-2.3000e+00   -2.3950e-03   9.6033e+02
-2.3500e+00   -2.8690e-03   8.1910e+02
-2.4000e+00   -3.2896e-03   7.2957e+02
-2.4500e+00   -3.4482e-03   7.1052e+02
-2.5000e+00   -3.8496e-03   6.4942e+02
-2.5500e+00   -4.3728e-03   5.8315e+02
-2.6000e+00   -4.5646e-03   5.6960e+02
-2.6500e+00   -4.7368e-03   5.5945e+02
-2.7000e+00   -5.0112e-03   5.3879e+02
-2.7500e+00   -5.2076e-03   5.2807e+02
-2.8000e+00   -5.3554e-03   5.2284e+02
-2.8500e+00   -5.5984e-03   5.0907e+02
-2.9000e+00   -5.7654e-03   5.0300e+02
-2.9500e+00   -6.1720e-03   4.7797e+02
-3.0000e+00   -6.3024e-03   4.7601e+02
-3.0000e+00   -6.4336e-03   4.6630e+02
-2.9500e+00   -6.1936e-03   4.7630e+02
-2.9000e+00   -6.0298e-03   4.8094e+02
-2.8500e+00   -5.8578e-03   4.8653e+02
-2.8000e+00   -5.7022e-03   4.9104e+02
-2.7500e+00   -5.5438e-03   4.9605e+02
-2.7000e+00   -5.3918e-03   5.0076e+02
-2.6500e+00   -5.2268e-03   5.0700e+02
-2.6000e+00   -5.0788e-03   5.1193e+02
-2.5500e+00   -4.9202e-03   5.1827e+02
-2.5000e+00   -4.7678e-03   5.2435e+02
-2.4500e+00   -4.6196e-03   5.3035e+02
-2.4000e+00   -4.4580e-03   5.3836e+02
-2.3500e+00   -4.3100e-03   5.4524e+02
-2.3000e+00   -4.1638e-03   5.5238e+02
-2.2500e+00   -4.0056e-03   5.6171e+02
-2.2000e+00   -3.8580e-03   5.7024e+02
-2.1500e+00   -3.7134e-03   5.7898e+02
-2.1000e+00   -3.5658e-03   5.8893e+02
-2.0500e+00   -3.4268e-03   5.9823e+02
-2.0000e+00   -3.2828e-03   6.0924e+02
-1.9500e+00   -3.1392e-03   6.2118e+02
-1.9000e+00   -2.9980e-03   6.3376e+02
-1.8500e+00   -2.8620e-03   6.4640e+02
-1.8000e+00   -2.7250e-03   6.6055e+02
-1.7500e+00   -2.5836e-03   6.7735e+02
-1.7000e+00   -2.4480e-03   6.9444e+02
