  Measurement Number     Measurement type
                   2                DC IV

      Measurement ID             SeriesID
       739959.667724                    0

         MeasureMode                Bias1                Bias2
                   2                   -3                    3

                Step  Positive compliance  Negative compliance
                0.05                  0.1                  0.1

  RealMeasuredPoints
                 244

        Bias        Current     Resistance
0.0000e+00   6.7000e-13   0.0000e+00
-5.0000e-02   -1.5876e-09   3.1494e+07
-1.0000e-01   -3.7880e-09   2.6399e+07
-1.5000e-01   -5.2212e-09   2.8729e+07
-2.0000e-01   -6.8150e-09   2.9347e+07
-2.5000e-01   -1.0674e-08   2.3422e+07
-3.0000e-01   -1.9974e-06   1.5020e+05
-3.5000e-01   -8.7390e-07   4.0050e+05
-4.0000e-01   -3.0378e-05   1.3167e+04
-4.5000e-01   -3.3888e-05   1.3279e+04
-5.0000e-01   -4.0508e-05   1.2343e+04
-5.5000e-01   -6.3184e-05   8.7047e+03
-6.0000e-01   -4.6344e-05   1.2947e+04
-6.5000e-01   -4.4928e-05   1.4468e+04
-7.0000e-01   -6.1492e-05   1.1384e+04
-7.5000e-01   -5.4500e-05   1.3761e+04
-8.0000e-01   -6.6498e-05   1.2030e+04
-8.5000e-01   -5.1736e-05   1.6430e+04
-9.0000e-01   -4.4912e-05   2.0039e+04
-9.5000e-01   -3.4960e-05   2.7174e+04
-1.0000e+00   -3.5110e-05   2.8482e+04
-1.0500e+00   -3.4062e-05   3.0826e+04
-1.1000e+00   -3.9256e-05   2.8021e+04
-1.1500e+00   -3.3632e-05   3.4194e+04
-1.2000e+00   -2.7480e-05   4.3668e+04
-1.2500e+00   -2.5804e-05   4.8442e+04
-1.3000e+00   -1.9378e-05   6.7086e+04
-1.3500e+00   -1.7362e-05   7.7756e+04
-1.4000e+00   -1.7716e-05   7.9025e+04
-1.4500e+00   -1.9634e-05   7.3851e+04
-1.5000e+00   -2.0128e-05   7.4523e+04
-1.5500e+00   -1.9844e-05   7.8109e+04
-1.6000e+00   -2.0130e-05   7.9483e+04
-1.6500e+00   -3.1844e-05   5.1815e+04
-1.7000e+00   -2.1830e-05   7.7874e+04
-1.7500e+00   -4.6090e-04   3.7969e+03
-1.8000e+00   -4.7910e-04   3.7570e+03
-1.8500e+00   -5.0938e-04   3.6319e+03
-1.9000e+00   -5.4118e-04   3.5108e+03
-1.9500e+00   -5.6572e-04   3.4469e+03
-2.0000e+00   -6.0756e-04   3.2919e+03
-2.0500e+00   -6.4936e-04   3.1570e+03
-2.1000e+00   -1.2912e-03   1.6264e+03
-2.1500e+00   -1.4284e-03   1.5052e+03
-2.2000e+00   -1.4520e-03   1.5152e+03
-2.2500e+00   -1.4936e-03   1.5064e+03
-2.3000e+00   -1.6168e-03   1.4226e+03
-2.3500e+00   -1.7556e-03   1.3386e+03
-2.4000e+00   -1.8092e-03   1.3266e+03
-2.4500e+00   -2.3964e-03   1.0224e+03
-2.5000e+00   -2.4892e-03   1.0043e+03
-2.5500e+00   -2.6734e-03   9.5384e+02
-2.6000e+00   -2.6166e-03   9.9366e+02
-2.6500e+00   -2.6540e-03   9.9849e+02
-2.7000e+00   -2.8730e-03   9.3978e+02
-2.7500e+00   -2.9410e-03   9.3506e+02
-2.8000e+00   -2.9650e-03   9.4435e+02
-2.8500e+00   -3.6426e-03   7.8241e+02
-2.9000e+00   -3.6924e-03   7.8540e+02
-2.9500e+00   -3.9326e-03   7.5014e+02
-3.0000e+00   -4.0440e-03   7.4184e+02
-3.0000e+00   -4.0552e-03   7.3979e+02
-2.9500e+00   -3.9932e-03   7.3876e+02
-2.9000e+00   -3.9026e-03   7.4309e+02
-2.8500e+00   -3.8244e-03   7.4521e+02
-2.8000e+00   -3.7416e-03   7.4834e+02
-2.7500e+00   -3.6490e-03   7.5363e+02
-2.7000e+00   -3.5722e-03   7.5584e+02
-2.6500e+00   -3.4772e-03   7.6211e+02
-2.6000e+00   -3.3962e-03   7.6556e+02
-2.5500e+00   -3.3056e-03   7.7142e+02
-2.5000e+00   -3.2166e-03   7.7722e+02
-2.4500e+00   -3.1190e-03   7.8551e+02
-2.4000e+00   -3.0384e-03   7.8989e+02
-2.3500e+00   -2.9442e-03   7.9818e+02
-2.3000e+00   -2.8470e-03   8.0787e+02
-2.2500e+00   -2.7600e-03   8.1522e+02
-2.2000e+00   -2.6676e-03   8.2471e+02
-2.1500e+00   -2.5700e-03   8.3658e+02
-2.1000e+00   -2.4780e-03   8.4746e+02
-2.0500e+00   -2.3928e-03   8.5674e+02
-2.0000e+00   -2.2970e-03   8.7070e+02
-1.9500e+00   -2.2184e-03   8.7901e+02
-1.9000e+00   -2.1364e-03   8.8935e+02
-1.8500e+00   -2.0442e-03   9.0500e+02
-1.8000e+00   -1.9574e-03   9.1959e+02
-1.7500e+00   -1.8748e-03   9.3343e+02
-1.7000e+00   -1.7836e-03   9.5313e+02
