Positive pulse time array: 
0.000e+00,1.000e-07,1.000e-07,5.000e-08,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Positive pulse voltage array: 
0.000,0.000,1.750,1.750,-0.200,-0.200,0.000,0.000,
 
Negative pulse time array: 
0.000e+00,1.000e-07,1.000e-07,5.000e-08,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Negative pulse voltage array: 
0.000,0.000,-1.500,-1.500,-0.200,-0.200,0.000,0.000,
 
Positive repetition, Negative repetition, ?ycles: 
20.0,20.0,1.0

Time,Voltage,Current
5e-09,0.00121578,-5.48901e-07
1.5e-08,-0.00166442,-4.65448e-07
2.5e-08,-0.00166442,-4.44585e-07
3.5e-08,0.000495731,-5.48901e-07
4.5e-08,0.00265588,-5.97582e-07
5.5e-08,-0.00166442,-5.90628e-07
6.5e-08,-0.00238447,-6.39308e-07
7.5e-08,0.00193583,-6.18445e-07
8.5e-08,-0.000224321,-5.90628e-07
9.5e-08,-0.00166442,-5.69764e-07
1.05e-07,0.0148968,-5.69764e-07
1.15e-07,0.126505,-6.39308e-07
1.25e-07,0.294277,-3.87311e-06
1.35e-07,0.472849,-1.83522e-05
1.45e-07,0.642781,-4.88751e-05
1.55e-07,0.814874,-9.677e-05
1.65e-07,0.994167,-0.000112967
1.75e-07,1.17634,-0.000112967
1.85e-07,1.35779,-0.000112967
1.95e-07,1.53349,-0.000112967
2.05e-07,1.69118,-0.000112967
2.15e-07,1.75958,-0.000112967
2.25e-07,1.76462,-0.000112967
2.35e-07,1.76534,-0.000112967
2.45e-07,1.77326,-0.000112967
2.55e-07,1.76318,-0.000112967
2.65e-07,1.64077,-0.000112967
2.75e-07,1.44492,-0.000112967
2.85e-07,1.24258,-0.000112967
2.95e-07,1.05465,-0.000112967
3.05e-07,0.863837,-0.000112967
3.15e-07,0.657903,-0.000112967
3.25e-07,0.455568,-0.000112967
3.35e-07,0.253234,-0.000112967
3.45e-07,0.0559397,-0.000112967
3.55e-07,-0.120473,-0.000112967
3.65e-07,-0.193918,-0.000112967
3.75e-07,-0.200399,-0.000112967
3.85e-07,-0.192478,-0.000112967
3.95e-07,-0.204719,-0.000112967
4.05e-07,-0.212639,-0.000112967
4.15e-07,-0.209039,-0.000112967
4.25e-07,-0.200399,-0.000112967
