  Measurement Number     Measurement type
                  15                DC IV

      Measurement ID             SeriesID
       739963.731608                   49

         MeasureMode                Bias1                Bias2
                   2                   -3                    3

                Step  Positive compliance  Negative compliance
                 0.1                  0.1                  0.1

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -1.4600e-11   -0.0000e+00
-1.0000e-01   -3.8623e-08   2.5891e+06
-2.0000e-01   -9.8860e-08   2.0231e+06
-3.0000e-01   -2.2682e-07   1.3226e+06
-4.0000e-01   -4.2490e-07   9.4140e+05
-5.0000e-01   -6.5260e-07   7.6617e+05
-6.0000e-01   -1.2273e-06   4.8888e+05
-7.0000e-01   -1.8213e-06   3.8434e+05
-8.0000e-01   -2.3434e-06   3.4138e+05
-9.0000e-01   -2.5075e-06   3.5892e+05
-1.0000e+00   -3.4832e-06   2.8709e+05
-1.1000e+00   -2.6372e-04   4.1711e+03
-1.2000e+00   -3.0616e-04   3.9195e+03
-1.3000e+00   -3.5314e-04   3.6813e+03
-1.4000e+00   -4.6876e-04   2.9866e+03
-1.5000e+00   -5.7100e-04   2.6270e+03
-1.6000e+00   -6.3110e-04   2.5353e+03
-1.7000e+00   -6.8658e-04   2.4760e+03
-1.8000e+00   -7.4918e-04   2.4026e+03
-1.9000e+00   -8.4790e-04   2.2408e+03
-2.0000e+00   -9.1190e-04   2.1932e+03
-2.1000e+00   -9.7924e-04   2.1445e+03
-2.2000e+00   -1.0588e-03   2.0779e+03
-2.3000e+00   -1.1105e-03   2.0711e+03
-2.4000e+00   -1.3614e-03   1.7629e+03
-2.5000e+00   -1.4260e-03   1.7532e+03
-2.6000e+00   -1.4886e-03   1.7466e+03
-2.7000e+00   -1.5480e-03   1.7442e+03
-2.8000e+00   -1.5986e-03   1.7515e+03
-2.9000e+00   -1.6510e-03   1.7565e+03
-3.0000e+00   -1.7022e-03   1.7624e+03
-3.0000e+00   -1.6960e-03   1.7689e+03
-2.9000e+00   -1.6154e-03   1.7952e+03
-2.8000e+00   -1.5328e-03   1.8267e+03
-2.7000e+00   -1.4548e-03   1.8559e+03
-2.6000e+00   -1.3766e-03   1.8887e+03
-2.5000e+00   -1.3024e-03   1.9195e+03
-2.4000e+00   -1.2298e-03   1.9515e+03
-2.3000e+00   -1.1602e-03   1.9824e+03
-2.2000e+00   -1.0864e-03   2.0250e+03
-2.1000e+00   -1.0140e-03   2.0710e+03
-2.0000e+00   -9.4272e-04   2.1215e+03
-1.9000e+00   -8.7124e-04   2.1808e+03
-1.8000e+00   -8.0170e-04   2.2452e+03
-1.7000e+00   -7.3576e-04   2.3105e+03
-1.6000e+00   -6.6748e-04   2.3971e+03
-1.5000e+00   -6.0476e-04   2.4803e+03
-1.4000e+00   -5.4330e-04   2.5768e+03
-1.3000e+00   -4.8488e-04   2.6811e+03
-1.2000e+00   -4.2758e-04   2.8065e+03
-1.1000e+00   -3.7340e-04   2.9459e+03
-1.0000e+00   -3.2226e-04   3.1031e+03
-9.0000e-01   -2.7418e-04   3.2825e+03
-8.0000e-01   -2.2976e-04   3.4819e+03
-7.0000e-01   -1.8884e-04   3.7068e+03
-6.0000e-01   -1.5218e-04   3.9427e+03
-5.0000e-01   -1.1832e-04   4.2258e+03
-4.0000e-01   -8.8326e-05   4.5287e+03
-3.0000e-01   -6.1082e-05   4.9114e+03
-2.0000e-01   -3.7508e-05   5.3322e+03
-1.0000e-01   -1.7472e-05   5.7234e+03
0.0000e+00   -5.5722e-09   -0.0000e+00
0.0000e+00   -6.4586e-09   -0.0000e+00
1.0000e-01   1.7480e-05   5.7208e+03
2.0000e-01   3.7774e-05   5.2946e+03
3.0000e-01   6.1382e-05   4.8874e+03
4.0000e-01   8.8426e-05   4.5236e+03
5.0000e-01   1.1886e-04   4.2066e+03
6.0000e-01   1.5232e-04   3.9391e+03
7.0000e-01   1.8894e-04   3.7049e+03
8.0000e-01   2.3100e-04   3.4632e+03
9.0000e-01   2.7550e-04   3.2668e+03
1.0000e+00   3.2114e-04   3.1139e+03
1.1000e+00   3.7588e-04   2.9265e+03
1.2000e+00   4.3522e-04   2.7572e+03
1.3000e+00   4.9334e-04   2.6351e+03
1.4000e+00   5.5878e-04   2.5055e+03
1.5000e+00   6.2154e-04   2.4134e+03
1.6000e+00   6.9362e-04   2.3067e+03
1.7000e+00   7.6502e-04   2.2222e+03
1.8000e+00   8.4468e-04   2.1310e+03
1.9000e+00   9.1362e-04   2.0796e+03
2.0000e+00   9.8886e-04   2.0225e+03
2.1000e+00   1.0678e-03   1.9666e+03
2.2000e+00   1.1462e-03   1.9193e+03
2.3000e+00   1.2566e-03   1.8303e+03
2.4000e+00   1.3234e-03   1.8135e+03
2.5000e+00   1.3762e-03   1.8166e+03
2.6000e+00   3.9742e-04   6.5422e+03
