  Measurement Number     Measurement type
                   9                DC IV

      Measurement ID             SeriesID
       739963.729191                   96

         MeasureMode                Bias1                Bias2
                   2                   -3                    3

                Step  Positive compliance  Negative compliance
                 0.1                  0.1                  0.1

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -2.0910e-11   -0.0000e+00
-1.0000e-01   -2.2315e-08   4.4812e+06
-2.0000e-01   -7.6826e-08   2.6033e+06
-3.0000e-01   -7.5649e-08   3.9657e+06
-4.0000e-01   -1.2164e-07   3.2884e+06
-5.0000e-01   -1.9160e-07   2.6096e+06
-6.0000e-01   -3.2296e-07   1.8578e+06
-7.0000e-01   -4.9162e-07   1.4239e+06
-8.0000e-01   -5.3990e-07   1.4818e+06
-9.0000e-01   -9.5330e-07   9.4409e+05
-1.0000e+00   -6.6250e-06   1.5094e+05
-1.1000e+00   -2.3310e-05   4.7190e+04
-1.2000e+00   -2.9064e-05   4.1288e+04
-1.3000e+00   -2.8492e-05   4.5627e+04
-1.4000e+00   -4.3196e-05   3.2410e+04
-1.5000e+00   -5.4148e-04   2.7702e+03
-1.6000e+00   -6.0054e-04   2.6643e+03
-1.7000e+00   -7.0190e-04   2.4220e+03
-1.8000e+00   -8.3846e-04   2.1468e+03
-1.9000e+00   -9.2126e-04   2.0624e+03
-2.0000e+00   -1.1247e-03   1.7783e+03
-2.1000e+00   -1.0704e-03   1.9619e+03
-2.2000e+00   -1.1606e-03   1.8956e+03
-2.3000e+00   -1.2564e-03   1.8306e+03
-2.4000e+00   -1.3340e-03   1.7991e+03
-2.5000e+00   -1.4304e-03   1.7478e+03
-2.6000e+00   -2.0836e-03   1.2478e+03
-2.7000e+00   -2.2526e-03   1.1986e+03
-2.8000e+00   -2.4444e-03   1.1455e+03
-2.9000e+00   -2.6430e-03   1.0972e+03
-3.0000e+00   -3.3310e-03   9.0063e+02
-3.0000e+00   -3.3642e-03   8.9174e+02
-2.9000e+00   -3.2172e-03   9.0140e+02
-2.8000e+00   -3.0528e-03   9.1719e+02
-2.7000e+00   -3.2976e-03   8.1878e+02
-2.6000e+00   -3.2292e-03   8.0515e+02
-2.5000e+00   -3.0412e-03   8.2204e+02
-2.4000e+00   -2.8552e-03   8.4057e+02
-2.3000e+00   -2.6782e-03   8.5879e+02
-2.2000e+00   -2.4910e-03   8.8318e+02
-2.1000e+00   -2.3096e-03   9.0925e+02
-2.0000e+00   -2.1282e-03   9.3976e+02
-1.9000e+00   -1.9510e-03   9.7386e+02
-1.8000e+00   -1.7810e-03   1.0107e+03
-1.7000e+00   -1.6106e-03   1.0555e+03
-1.6000e+00   -1.4436e-03   1.1083e+03
-1.5000e+00   -1.2776e-03   1.1741e+03
-1.4000e+00   -1.1194e-03   1.2507e+03
-1.3000e+00   -9.6710e-04   1.3442e+03
-1.2000e+00   -8.1746e-04   1.4680e+03
-1.1000e+00   -6.8092e-04   1.6155e+03
-1.0000e+00   -5.5478e-04   1.8025e+03
-9.0000e-01   -4.4196e-04   2.0364e+03
-8.0000e-01   -3.4394e-04   2.3260e+03
-7.0000e-01   -2.6048e-04   2.6873e+03
-6.0000e-01   -1.9168e-04   3.1302e+03
-5.0000e-01   -1.3580e-04   3.6819e+03
-4.0000e-01   -9.1216e-05   4.3852e+03
-3.0000e-01   -5.6888e-05   5.2735e+03
-2.0000e-01   -3.1152e-05   6.4201e+03
-1.0000e-01   -1.2844e-05   7.7857e+03
0.0000e+00   -1.2427e-09   -0.0000e+00
0.0000e+00   -1.1346e-09   -0.0000e+00
1.0000e-01   1.2662e-05   7.8976e+03
2.0000e-01   3.0618e-05   6.5321e+03
3.0000e-01   5.3772e-05   5.5791e+03
4.0000e-01   8.4718e-05   4.7215e+03
5.0000e-01   1.2526e-04   3.9917e+03
6.0000e-01   1.7188e-04   3.4908e+03
7.0000e-01   2.2594e-04   3.0982e+03
8.0000e-01   3.0152e-04   2.6532e+03
9.0000e-01   3.8964e-04   2.3098e+03
1.0000e+00   5.1314e-04   1.9488e+03
1.1000e+00   7.0374e-04   1.5631e+03
1.2000e+00   8.8070e-04   1.3626e+03
1.3000e+00   1.0277e-03   1.2650e+03
1.4000e+00   1.2794e-03   1.0943e+03
1.5000e+00   1.4202e-03   1.0562e+03
1.6000e+00   1.6012e-03   9.9925e+02
1.7000e+00   1.7930e-03   9.4813e+02
1.8000e+00   2.0038e-03   8.9829e+02
1.9000e+00   2.2052e-03   8.6160e+02
2.0000e+00   2.1894e-03   9.1349e+02
2.1000e+00   1.7670e-03   1.1885e+03
2.2000e+00   8.2660e-04   2.6615e+03
2.3000e+00   6.6860e-04   3.4400e+03
2.4000e+00   5.6594e-04   4.2407e+03
2.5000e+00   5.3680e-04   4.6572e+03
2.6000e+00   5.2260e-04   4.9751e+03
