  Measurement Number     Measurement type
                  31                DC IV

      Measurement ID             SeriesID
       739963.726421                   97

         MeasureMode                Bias1                Bias2
                   2                   -3                  3.5

                Step  Positive compliance  Negative compliance
                 0.1                  0.1                  0.1

  RealMeasuredPoints
                 134

        Bias        Current     Resistance
0.0000e+00   -4.5410e-08   -0.0000e+00
-1.0000e-01   -7.8090e-05   1.2806e+03
-2.0000e-01   -1.5638e-04   1.2789e+03
-3.0000e-01   -2.3510e-04   1.2761e+03
-4.0000e-01   -3.1456e-04   1.2716e+03
-5.0000e-01   -4.2014e-04   1.1901e+03
-6.0000e-01   -5.1602e-04   1.1627e+03
-7.0000e-01   -6.5430e-04   1.0698e+03
-8.0000e-01   -6.9906e-04   1.1444e+03
-9.0000e-01   -8.4510e-04   1.0650e+03
-1.0000e+00   -9.0424e-04   1.1059e+03
-1.1000e+00   -9.9226e-04   1.1086e+03
-1.2000e+00   -1.0218e-03   1.1744e+03
-1.3000e+00   -1.1056e-03   1.1758e+03
-1.4000e+00   -1.1794e-03   1.1870e+03
-1.5000e+00   -1.2856e-03   1.1668e+03
-1.6000e+00   -1.3882e-03   1.1526e+03
-1.7000e+00   -1.4584e-03   1.1657e+03
-1.8000e+00   -1.5146e-03   1.1884e+03
-1.9000e+00   -1.6034e-03   1.1850e+03
-2.0000e+00   -1.8760e-03   1.0661e+03
-2.1000e+00   -1.9454e-03   1.0795e+03
-2.2000e+00   -1.9850e-03   1.1083e+03
-2.3000e+00   -2.0778e-03   1.1069e+03
-2.4000e+00   -2.5854e-03   9.2829e+02
-2.5000e+00   -3.1880e-03   7.8419e+02
-2.6000e+00   -3.3526e-03   7.7552e+02
-2.7000e+00   -3.5278e-03   7.6535e+02
-2.8000e+00   -4.1028e-03   6.8246e+02
-2.9000e+00   -4.6550e-03   6.2299e+02
-3.0000e+00   -5.4878e-03   5.4667e+02
-3.0000e+00   -5.6732e-03   5.2880e+02
-2.9000e+00   -5.4302e-03   5.3405e+02
-2.8000e+00   -5.1794e-03   5.4060e+02
-2.7000e+00   -4.9426e-03   5.4627e+02
-2.6000e+00   -4.6852e-03   5.5494e+02
-2.5000e+00   -4.4504e-03   5.6175e+02
-2.4000e+00   -4.2112e-03   5.6991e+02
-2.3000e+00   -3.9654e-03   5.8002e+02
-2.2000e+00   -3.7320e-03   5.8950e+02
-2.1000e+00   -3.5002e-03   5.9997e+02
-2.0000e+00   -3.2746e-03   6.1076e+02
-1.9000e+00   -3.0442e-03   6.2414e+02
-1.8000e+00   -2.8158e-03   6.3925e+02
-1.7000e+00   -2.5902e-03   6.5632e+02
-1.6000e+00   -2.3712e-03   6.7476e+02
-1.5000e+00   -2.1532e-03   6.9664e+02
-1.4000e+00   -1.9416e-03   7.2105e+02
-1.3000e+00   -1.7370e-03   7.4842e+02
-1.2000e+00   -1.5426e-03   7.7791e+02
-1.1000e+00   -1.3586e-03   8.0966e+02
-1.0000e+00   -1.1852e-03   8.4374e+02
-9.0000e-01   -1.0248e-03   8.7822e+02
-8.0000e-01   -8.7646e-04   9.1276e+02
-7.0000e-01   -7.4026e-04   9.4561e+02
-6.0000e-01   -6.1386e-04   9.7742e+02
-5.0000e-01   -4.9648e-04   1.0071e+03
-4.0000e-01   -3.8636e-04   1.0353e+03
-3.0000e-01   -2.8248e-04   1.0620e+03
-2.0000e-01   -1.8432e-04   1.0851e+03
-1.0000e-01   -9.0366e-05   1.1066e+03
0.0000e+00   -6.3233e-08   -0.0000e+00
0.0000e+00   -5.2766e-08   -0.0000e+00
1.0000e-01   8.9528e-05   1.1170e+03
2.0000e-01   1.8154e-04   1.1017e+03
3.0000e-01   2.7702e-04   1.0830e+03
4.0000e-01   3.7672e-04   1.0618e+03
5.0000e-01   4.8082e-04   1.0399e+03
6.0000e-01   5.9108e-04   1.0151e+03
7.0000e-01   7.0892e-04   9.8742e+02
8.0000e-01   8.3504e-04   9.5804e+02
9.0000e-01   9.7052e-04   9.2734e+02
1.0000e+00   1.1186e-03   8.9396e+02
1.1000e+00   1.2724e-03   8.6451e+02
1.2000e+00   1.4602e-03   8.2181e+02
1.3000e+00   1.6836e-03   7.7215e+02
1.4000e+00   1.8986e-03   7.3739e+02
1.5000e+00   2.1312e-03   7.0383e+02
1.6000e+00   2.3958e-03   6.6784e+02
1.7000e+00   2.6736e-03   6.3585e+02
1.8000e+00   2.9280e-03   6.1475e+02
1.9000e+00   3.1810e-03   5.9730e+02
2.0000e+00   3.4152e-03   5.8562e+02
2.1000e+00   3.2424e-03   6.4767e+02
2.2000e+00   2.4114e-03   9.1233e+02
2.3000e+00   2.4552e-03   9.3679e+02
