  Measurement Number     Measurement type
                   6                DC IV

      Measurement ID             SeriesID
       739963.726988                   16

         MeasureMode                Bias1                Bias2
                   2                   -3                    3

                Step  Positive compliance  Negative compliance
                 0.1                  0.1                  0.1

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -3.1900e-12   -0.0000e+00
-1.0000e-01   -1.6443e-09   6.0816e+07
-2.0000e-01   -3.4123e-09   5.8611e+07
-3.0000e-01   -1.3775e-08   2.1779e+07
-4.0000e-01   -2.8033e-08   1.4269e+07
-5.0000e-01   -4.2571e-08   1.1745e+07
-6.0000e-01   -7.1940e-08   8.3403e+06
-7.0000e-01   -9.6000e-08   7.2917e+06
-8.0000e-01   -1.2290e-07   6.5094e+06
-9.0000e-01   -1.0312e-07   8.7277e+06
-1.0000e+00   -1.1510e-07   8.6881e+06
-1.1000e+00   -2.1996e-07   5.0009e+06
-1.2000e+00   -3.3634e-07   3.5678e+06
-1.3000e+00   -2.2682e-07   5.7314e+06
-1.4000e+00   -3.5466e-07   3.9474e+06
-1.5000e+00   -4.5252e-07   3.3148e+06
-1.6000e+00   -6.0452e-04   2.6467e+03
-1.7000e+00   -6.6928e-04   2.5400e+03
-1.8000e+00   -7.3998e-04   2.4325e+03
-1.9000e+00   -8.0486e-04   2.3607e+03
-2.0000e+00   -8.8700e-04   2.2548e+03
-2.1000e+00   -9.3004e-04   2.2580e+03
-2.2000e+00   -9.9278e-04   2.2160e+03
-2.3000e+00   -1.0219e-03   2.2507e+03
-2.4000e+00   -1.0669e-03   2.2494e+03
-2.5000e+00   -1.1275e-03   2.2173e+03
-2.6000e+00   -1.2232e-03   2.1256e+03
-2.7000e+00   -1.2978e-03   2.0804e+03
-2.8000e+00   -1.4008e-03   1.9989e+03
-2.9000e+00   -2.6246e-03   1.1049e+03
-3.0000e+00   -2.7112e-03   1.1065e+03
-3.0000e+00   -3.6178e-03   8.2923e+02
-2.9000e+00   -3.3960e-03   8.5395e+02
-2.8000e+00   -3.2246e-03   8.6832e+02
-2.7000e+00   -3.0550e-03   8.8380e+02
-2.6000e+00   -2.8858e-03   9.0096e+02
-2.5000e+00   -2.7268e-03   9.1683e+02
-2.4000e+00   -2.5652e-03   9.3560e+02
-2.3000e+00   -2.4050e-03   9.5634e+02
-2.2000e+00   -2.2418e-03   9.8135e+02
-2.1000e+00   -2.0826e-03   1.0084e+03
-2.0000e+00   -1.9236e-03   1.0397e+03
-1.9000e+00   -1.7676e-03   1.0749e+03
-1.8000e+00   -1.6078e-03   1.1195e+03
-1.7000e+00   -1.4554e-03   1.1681e+03
-1.6000e+00   -1.3048e-03   1.2262e+03
-1.5000e+00   -1.1552e-03   1.2985e+03
-1.4000e+00   -1.0128e-03   1.3823e+03
-1.3000e+00   -8.7636e-04   1.4834e+03
-1.2000e+00   -7.4382e-04   1.6133e+03
-1.1000e+00   -6.2062e-04   1.7724e+03
-1.0000e+00   -5.0608e-04   1.9760e+03
-9.0000e-01   -4.0516e-04   2.2213e+03
-8.0000e-01   -3.1592e-04   2.5323e+03
-7.0000e-01   -2.3970e-04   2.9203e+03
-6.0000e-01   -1.7600e-04   3.4091e+03
-5.0000e-01   -1.2396e-04   4.0336e+03
-4.0000e-01   -8.2278e-05   4.8616e+03
-3.0000e-01   -5.0372e-05   5.9557e+03
-2.0000e-01   -2.6930e-05   7.4267e+03
-1.0000e-01   -1.0820e-05   9.2421e+03
0.0000e+00   -1.1757e-09   -0.0000e+00
0.0000e+00   -1.4326e-09   -0.0000e+00
1.0000e-01   1.1058e-05   9.0432e+03
2.0000e-01   2.7552e-05   7.2590e+03
3.0000e-01   5.0878e-05   5.8965e+03
4.0000e-01   8.2822e-05   4.8296e+03
5.0000e-01   1.2392e-04   4.0349e+03
6.0000e-01   1.7460e-04   3.4364e+03
7.0000e-01   2.3470e-04   2.9825e+03
8.0000e-01   3.0154e-04   2.6530e+03
9.0000e-01   3.8774e-04   2.3211e+03
1.0000e+00   4.9522e-04   2.0193e+03
1.1000e+00   5.9838e-04   1.8383e+03
1.2000e+00   7.1584e-04   1.6764e+03
1.3000e+00   8.8434e-04   1.4700e+03
1.4000e+00   1.0439e-03   1.3412e+03
1.5000e+00   1.2678e-03   1.1832e+03
1.6000e+00   1.4156e-03   1.1303e+03
1.7000e+00   1.6036e-03   1.0601e+03
1.8000e+00   1.7844e-03   1.0087e+03
1.9000e+00   1.9662e-03   9.6633e+02
2.0000e+00   2.1624e-03   9.2490e+02
2.1000e+00   2.3410e-03   8.9705e+02
2.2000e+00   2.2736e-03   9.6763e+02
2.3000e+00   8.3600e-04   2.7512e+03
2.4000e+00   3.6096e-04   6.6489e+03
2.5000e+00   3.4688e-04   7.2071e+03
2.6000e+00   3.0620e-04   8.4912e+03
