  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739963.715569                    0

         MeasureMode                Bias1                Bias2
                   2                   -3                    3

                Step  Positive compliance  Negative compliance
                0.05                  0.1                  0.1

  RealMeasuredPoints
                 244

        Bias        Current     Resistance
0.0000e+00   3.0492e-09   0.0000e+00
-5.0000e-02   -2.0016e-05   2.4980e+03
-1.0000e-01   -4.0112e-05   2.4930e+03
-1.5000e-01   -6.0444e-05   2.4816e+03
-2.0000e-01   -8.1812e-05   2.4446e+03
-2.5000e-01   -1.0180e-04   2.4557e+03
-3.0000e-01   -1.2520e-04   2.3962e+03
-3.5000e-01   -1.4664e-04   2.3868e+03
-4.0000e-01   -1.6470e-04   2.4287e+03
-4.5000e-01   -1.8850e-04   2.3873e+03
-5.0000e-01   -2.1156e-04   2.3634e+03
-5.5000e-01   -2.3336e-04   2.3569e+03
-6.0000e-01   -2.4576e-04   2.4414e+03
-6.5000e-01   -2.6880e-04   2.4182e+03
-7.0000e-01   -2.8528e-04   2.4537e+03
-7.5000e-01   -3.1392e-04   2.3891e+03
-8.0000e-01   -3.2658e-04   2.4496e+03
-8.5000e-01   -3.4752e-04   2.4459e+03
-9.0000e-01   -3.8880e-04   2.3148e+03
-9.5000e-01   -4.4774e-04   2.1218e+03
-1.0000e+00   -4.8814e-04   2.0486e+03
-1.0500e+00   -5.3020e-04   1.9804e+03
-1.1000e+00   -5.6966e-04   1.9310e+03
-1.1500e+00   -6.1240e-04   1.8779e+03
-1.2000e+00   -6.5404e-04   1.8348e+03
-1.2500e+00   -6.8238e-04   1.8318e+03
-1.3000e+00   -7.0522e-04   1.8434e+03
-1.3500e+00   -6.8162e-04   1.9806e+03
-1.4000e+00   -6.8188e-04   2.0531e+03
-1.4500e+00   -7.0298e-04   2.0626e+03
-1.5000e+00   -7.3964e-04   2.0280e+03
-1.5500e+00   -7.9416e-04   1.9517e+03
-1.6000e+00   -8.3934e-04   1.9063e+03
-1.6500e+00   -8.8322e-04   1.8682e+03
-1.7000e+00   -9.1770e-04   1.8525e+03
-1.7500e+00   -9.7144e-04   1.8014e+03
-1.8000e+00   -1.1828e-03   1.5218e+03
-1.8500e+00   -1.2318e-03   1.5019e+03
-1.9000e+00   -1.2954e-03   1.4667e+03
-1.9500e+00   -1.3542e-03   1.4400e+03
-2.0000e+00   -1.4394e-03   1.3895e+03
-2.0500e+00   -1.5028e-03   1.3641e+03
-2.1000e+00   -1.6582e-03   1.2664e+03
-2.1500e+00   -1.7172e-03   1.2520e+03
-2.2000e+00   -1.7956e-03   1.2252e+03
-2.2500e+00   -1.8668e-03   1.2053e+03
-2.3000e+00   -1.9138e-03   1.2018e+03
-2.3500e+00   -2.2574e-03   1.0410e+03
-2.4000e+00   -2.3178e-03   1.0355e+03
-2.4500e+00   -2.3980e-03   1.0217e+03
-2.5000e+00   -2.5030e-03   9.9880e+02
-2.5500e+00   -2.5530e-03   9.9882e+02
-2.6000e+00   -2.6002e-03   9.9992e+02
-2.6500e+00   -2.6990e-03   9.8185e+02
-2.7000e+00   -2.8034e-03   9.6312e+02
-2.7500e+00   -2.8562e-03   9.6282e+02
-2.8000e+00   -2.9200e-03   9.5890e+02
-2.8500e+00   -3.3770e-03   8.4394e+02
-2.9000e+00   -3.4672e-03   8.3641e+02
-2.9500e+00   -3.5484e-03   8.3136e+02
-3.0000e+00   -3.6104e-03   8.3093e+02
-3.0000e+00   -3.6152e-03   8.2983e+02
-2.9500e+00   -3.5490e-03   8.3122e+02
-2.9000e+00   -3.4850e-03   8.3214e+02
-2.8500e+00   -3.3818e-03   8.4275e+02
-2.8000e+00   -3.3252e-03   8.4205e+02
-2.7500e+00   -3.2636e-03   8.4263e+02
-2.7000e+00   -3.1772e-03   8.4980e+02
-2.6500e+00   -3.1014e-03   8.5445e+02
-2.6000e+00   -3.0350e-03   8.5667e+02
-2.5500e+00   -2.9538e-03   8.6329e+02
-2.5000e+00   -2.8858e-03   8.6631e+02
-2.4500e+00   -2.8126e-03   8.7108e+02
-2.4000e+00   -2.7454e-03   8.7419e+02
-2.3500e+00   -2.6708e-03   8.7989e+02
-2.3000e+00   -2.6028e-03   8.8366e+02
-2.2500e+00   -2.5272e-03   8.9031e+02
-2.2000e+00   -2.4502e-03   8.9789e+02
-2.1500e+00   -2.3766e-03   9.0465e+02
-2.1000e+00   -2.3150e-03   9.0713e+02
-2.0500e+00   -2.2432e-03   9.1387e+02
-2.0000e+00   -2.1712e-03   9.2115e+02
-1.9500e+00   -2.1000e-03   9.2857e+02
-1.9000e+00   -2.0354e-03   9.3348e+02
-1.8500e+00   -1.9672e-03   9.4042e+02
-1.8000e+00   -1.8980e-03   9.4837e+02
-1.7500e+00   -1.8274e-03   9.5764e+02
-1.7000e+00   -1.7632e-03   9.6416e+02
