  Measurement Number     Measurement type
                   3                DC IV

      Measurement ID             SeriesID
       739963.718676                   64

         MeasureMode                Bias1                Bias2
                   2                   -3                    3

                Step  Positive compliance  Negative compliance
                0.05                  0.1                  0.1

  RealMeasuredPoints
                 244

        Bias        Current     Resistance
0.0000e+00   1.2100e-12   0.0000e+00
-5.0000e-02   -3.7382e-09   1.3375e+07
-1.0000e-01   -6.1314e-09   1.6309e+07
-1.5000e-01   -7.1321e-09   2.1032e+07
-2.0000e-01   -5.4254e-09   3.6864e+07
-2.5000e-01   -7.8904e-09   3.1684e+07
-3.0000e-01   -4.2513e-08   7.0567e+06
-3.5000e-01   -6.9970e-08   5.0022e+06
-4.0000e-01   -1.5050e-07   2.6578e+06
-4.5000e-01   -2.2838e-07   1.9704e+06
-5.0000e-01   -4.3518e-07   1.1489e+06
-5.5000e-01   -5.1638e-07   1.0651e+06
-6.0000e-01   -5.5482e-07   1.0814e+06
-6.5000e-01   -5.8064e-07   1.1195e+06
-7.0000e-01   -5.7590e-07   1.2155e+06
-7.5000e-01   -4.7020e-07   1.5951e+06
-8.0000e-01   -4.5660e-07   1.7521e+06
-8.5000e-01   -4.7494e-07   1.7897e+06
-9.0000e-01   -6.5148e-07   1.3815e+06
-9.5000e-01   -5.2840e-07   1.7979e+06
-1.0000e+00   -8.7088e-07   1.1483e+06
-1.0500e+00   -7.5804e-07   1.3852e+06
-1.1000e+00   -5.4926e-07   2.0027e+06
-1.1500e+00   -4.5796e-07   2.5111e+06
-1.2000e+00   -4.2100e-07   2.8504e+06
-1.2500e+00   -6.8644e-07   1.8210e+06
-1.3000e+00   -6.9582e-07   1.8683e+06
-1.3500e+00   -7.6950e-07   1.7544e+06
-1.4000e+00   -4.3798e-04   3.1965e+03
-1.4500e+00   -4.6492e-04   3.1188e+03
-1.5000e+00   -4.8602e-04   3.0863e+03
-1.5500e+00   -4.9686e-04   3.1196e+03
-1.6000e+00   -5.3054e-04   3.0158e+03
-1.6500e+00   -5.7500e-04   2.8696e+03
-1.7000e+00   -6.0204e-04   2.8237e+03
-1.7500e+00   -6.3136e-04   2.7718e+03
-1.8000e+00   -6.5984e-04   2.7279e+03
-1.8500e+00   -6.9224e-04   2.6725e+03
-1.9000e+00   -7.2054e-04   2.6369e+03
-1.9500e+00   -7.3784e-04   2.6428e+03
-2.0000e+00   -7.6784e-04   2.6047e+03
-2.0500e+00   -7.8994e-04   2.5951e+03
-2.1000e+00   -8.1374e-04   2.5807e+03
-2.1500e+00   -8.2554e-04   2.6044e+03
-2.2000e+00   -8.3660e-04   2.6297e+03
-2.2500e+00   -8.3788e-04   2.6853e+03
-2.3000e+00   -8.5830e-04   2.6797e+03
-2.3500e+00   -8.7208e-04   2.6947e+03
-2.4000e+00   -9.0102e-04   2.6636e+03
-2.4500e+00   -9.3554e-04   2.6188e+03
-2.5000e+00   -9.7968e-04   2.5519e+03
-2.5500e+00   -1.0569e-03   2.4128e+03
-2.6000e+00   -1.1127e-03   2.3367e+03
-2.6500e+00   -1.2194e-03   2.1732e+03
-2.7000e+00   -1.2584e-03   2.1456e+03
-2.7500e+00   -1.3042e-03   2.1086e+03
-2.8000e+00   -1.3428e-03   2.0852e+03
-2.8500e+00   -1.3954e-03   2.0424e+03
-2.9000e+00   -1.4214e-03   2.0402e+03
-2.9500e+00   -2.2514e-03   1.3103e+03
-3.0000e+00   -2.3056e-03   1.3012e+03
-3.0000e+00   -2.3054e-03   1.3013e+03
-2.9500e+00   -2.2448e-03   1.3141e+03
-2.9000e+00   -2.1996e-03   1.3184e+03
-2.8500e+00   -2.1512e-03   1.3248e+03
-2.8000e+00   -2.0964e-03   1.3356e+03
-2.7500e+00   -2.0382e-03   1.3492e+03
-2.7000e+00   -1.9890e-03   1.3575e+03
-2.6500e+00   -1.9294e-03   1.3735e+03
-2.6000e+00   -1.8764e-03   1.3856e+03
-2.5500e+00   -1.8214e-03   1.4000e+03
-2.5000e+00   -1.7706e-03   1.4120e+03
-2.4500e+00   -1.7144e-03   1.4291e+03
-2.4000e+00   -1.6604e-03   1.4454e+03
-2.3500e+00   -1.6074e-03   1.4620e+03
-2.3000e+00   -1.5574e-03   1.4768e+03
-2.2500e+00   -1.5052e-03   1.4948e+03
-2.2000e+00   -1.4534e-03   1.5137e+03
-2.1500e+00   -1.4038e-03   1.5316e+03
-2.1000e+00   -1.3554e-03   1.5494e+03
-2.0500e+00   -1.3066e-03   1.5690e+03
-2.0000e+00   -1.2540e-03   1.5949e+03
-1.9500e+00   -1.2046e-03   1.6188e+03
-1.9000e+00   -1.1532e-03   1.6476e+03
-1.8500e+00   -1.1022e-03   1.6785e+03
-1.8000e+00   -1.0542e-03   1.7075e+03
-1.7500e+00   -1.0092e-03   1.7340e+03
-1.7000e+00   -9.6336e-04   1.7647e+03
