  Measurement Number     Measurement type
                  29                DC IV

      Measurement ID             SeriesID
       739963.722193                   10

         MeasureMode                Bias1                Bias2
                   2                   -3                    3

                Step  Positive compliance  Negative compliance
                 0.1                  0.1                  0.1

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -1.4154e-10   -0.0000e+00
-1.0000e-01   -5.2572e-07   1.9022e+05
-2.0000e-01   -1.2295e-06   1.6267e+05
-3.0000e-01   -2.1980e-06   1.3649e+05
-4.0000e-01   -2.9506e-06   1.3557e+05
-5.0000e-01   -4.1622e-06   1.2013e+05
-6.0000e-01   -5.3563e-06   1.1202e+05
-7.0000e-01   -7.4775e-06   9.3614e+04
-8.0000e-01   -9.0391e-06   8.8504e+04
-9.0000e-01   -1.0562e-05   8.5214e+04
-1.0000e+00   -1.0608e-05   9.4268e+04
-1.1000e+00   -9.3725e-06   1.1736e+05
-1.2000e+00   -1.2350e-05   9.7166e+04
-1.3000e+00   -1.4760e-05   8.8076e+04
-1.4000e+00   -1.8684e-05   7.4930e+04
-1.5000e+00   -2.1692e-05   6.9150e+04
-1.6000e+00   -2.5454e-05   6.2858e+04
-1.7000e+00   -7.0934e-04   2.3966e+03
-1.8000e+00   -7.6118e-04   2.3647e+03
-1.9000e+00   -8.4070e-04   2.2600e+03
-2.0000e+00   -9.0554e-04   2.2086e+03
-2.1000e+00   -9.9278e-04   2.1153e+03
-2.2000e+00   -1.9362e-03   1.1362e+03
-2.3000e+00   -2.0516e-03   1.1211e+03
-2.4000e+00   -2.1444e-03   1.1192e+03
-2.5000e+00   -2.2310e-03   1.1206e+03
-2.6000e+00   -2.3050e-03   1.1280e+03
-2.7000e+00   -2.4000e-03   1.1250e+03
-2.8000e+00   -3.1690e-03   8.8356e+02
-2.9000e+00   -3.3744e-03   8.5941e+02
-3.0000e+00   -3.5102e-03   8.5465e+02
-3.0000e+00   -3.5120e-03   8.5421e+02
-2.9000e+00   -3.3672e-03   8.6125e+02
-2.8000e+00   -3.2002e-03   8.7495e+02
-2.7000e+00   -3.0512e-03   8.8490e+02
-2.6000e+00   -2.8920e-03   8.9903e+02
-2.5000e+00   -2.7406e-03   9.1221e+02
-2.4000e+00   -2.5878e-03   9.2743e+02
-2.3000e+00   -2.4370e-03   9.4378e+02
-2.2000e+00   -2.2990e-03   9.5694e+02
-2.1000e+00   -2.1518e-03   9.7593e+02
-2.0000e+00   -2.0066e-03   9.9671e+02
-1.9000e+00   -1.8650e-03   1.0188e+03
-1.8000e+00   -1.7262e-03   1.0428e+03
-1.7000e+00   -1.5860e-03   1.0719e+03
-1.6000e+00   -1.4478e-03   1.1051e+03
-1.5000e+00   -1.3186e-03   1.1376e+03
-1.4000e+00   -1.1910e-03   1.1755e+03
-1.3000e+00   -1.0650e-03   1.2207e+03
-1.2000e+00   -9.4408e-04   1.2711e+03
-1.1000e+00   -8.2822e-04   1.3281e+03
-1.0000e+00   -7.1824e-04   1.3923e+03
-9.0000e-01   -6.1596e-04   1.4611e+03
-8.0000e-01   -5.2070e-04   1.5364e+03
-7.0000e-01   -4.3446e-04   1.6112e+03
-6.0000e-01   -3.5494e-04   1.6904e+03
-5.0000e-01   -2.8240e-04   1.7705e+03
-4.0000e-01   -2.1598e-04   1.8520e+03
-3.0000e-01   -1.5512e-04   1.9340e+03
-2.0000e-01   -9.9072e-05   2.0187e+03
-1.0000e-01   -4.7900e-05   2.0877e+03
0.0000e+00   -1.0750e-08   -0.0000e+00
0.0000e+00   2.0682e-09   0.0000e+00
1.0000e-01   4.7956e-05   2.0852e+03
2.0000e-01   9.9186e-05   2.0164e+03
3.0000e-01   1.5456e-04   1.9410e+03
4.0000e-01   2.1418e-04   1.8676e+03
5.0000e-01   2.7820e-04   1.7973e+03
6.0000e-01   3.4690e-04   1.7296e+03
7.0000e-01   4.2110e-04   1.6623e+03
8.0000e-01   5.0600e-04   1.5810e+03
9.0000e-01   5.9594e-04   1.5102e+03
1.0000e+00   6.9000e-04   1.4493e+03
1.1000e+00   8.0280e-04   1.3702e+03
1.2000e+00   9.2136e-04   1.3024e+03
1.3000e+00   1.0803e-03   1.2034e+03
1.4000e+00   1.2416e-03   1.1276e+03
1.5000e+00   1.3828e-03   1.0848e+03
1.6000e+00   1.5422e-03   1.0375e+03
1.7000e+00   1.6908e-03   1.0054e+03
1.8000e+00   1.8576e-03   9.6899e+02
1.9000e+00   2.0212e-03   9.4004e+02
2.0000e+00   2.1910e-03   9.1283e+02
2.1000e+00   2.3638e-03   8.8840e+02
2.2000e+00   2.5316e-03   8.6902e+02
2.3000e+00   6.2760e-04   3.6648e+03
2.4000e+00   3.2112e-04   7.4738e+03
2.5000e+00   3.2254e-04   7.7510e+03
2.6000e+00   2.9286e-04   8.8780e+03
2.7000e+00   1.9176e-04   1.4080e+04
