  Measurement Number     Measurement type
                   9                DC IV

      Measurement ID             SeriesID
       739844.504993                    0

         MeasureMode                Bias1                Bias2
                   2                   10                  -10

                Step  Positive compliance  Negative compliance
                 0.2                  0.1                  0.1

  RealMeasuredPoints
                 204

        Bias        Current     Resistance
0.0000e+00   1.0445e-05   0.0000e+00
2.0000e-01   3.0794e-03   6.4948e+01
4.0000e-01   6.1078e-03   6.5490e+01
6.0000e-01   9.0798e-03   6.6081e+01
8.0000e-01   1.1886e-02   6.7306e+01
1.0000e+00   1.3770e-02   7.2622e+01
1.2000e+00   1.5652e-02   7.6668e+01
1.4000e+00   1.8156e-02   7.7109e+01
1.6000e+00   2.0424e-02   7.8339e+01
1.8000e+00   2.7304e-02   6.5924e+01
2.0000e+00   2.9944e-02   6.6791e+01
2.2000e+00   3.2778e-02   6.7118e+01
2.4000e+00   3.5414e-02   6.7770e+01
2.6000e+00   3.8914e-02   6.6814e+01
2.8000e+00   4.1292e-02   6.7810e+01
3.0000e+00   4.3914e-02   6.8315e+01
3.2000e+00   4.9958e-02   6.4054e+01
3.4000e+00   5.3242e-02   6.3859e+01
3.6000e+00   5.6312e-02   6.3930e+01
3.8000e+00   5.8980e-02   6.4429e+01
4.0000e+00   5.4838e-02   7.2942e+01
4.2000e+00   5.7632e-02   7.2876e+01
4.4000e+00   5.7602e-02   7.6386e+01
4.6000e+00   6.1360e-02   7.4967e+01
4.8000e+00   6.3002e-02   7.6188e+01
5.0000e+00   6.6664e-02   7.5003e+01
5.2000e+00   7.0632e-02   7.3621e+01
5.4000e+00   7.4412e-02   7.2569e+01
5.6000e+00   7.1988e-02   7.7791e+01
5.8000e+00   7.4216e-02   7.8150e+01
6.0000e+00   8.5998e-02   6.9769e+01
6.2000e+00   8.9874e-02   6.8985e+01
6.4000e+00   9.4622e-02   6.7638e+01
6.6000e+00   9.7918e-02   6.7403e+01
6.8000e+00   1.0007e-01   6.7951e+01
7.0000e+00   2.1590e-04   3.2422e+04
7.2000e+00   2.4570e-04   2.9304e+04
7.4000e+00   2.7242e-04   2.7164e+04
7.6000e+00   3.0652e-04   2.4794e+04
7.8000e+00   3.4016e-04   2.2930e+04
8.0000e+00   4.8678e-04   1.6435e+04
8.2000e+00   5.0800e-04   1.6142e+04
8.4000e+00   9.9936e-02   8.4054e+01
8.6000e+00   1.0002e-01   8.5986e+01
8.8000e+00   1.0004e-01   8.7963e+01
9.0000e+00   1.0000e-01   8.9998e+01
9.2000e+00   9.9992e-02   9.2007e+01
9.4000e+00   1.0000e-01   9.3998e+01
9.6000e+00   9.9996e-02   9.6004e+01
9.8000e+00   1.0000e-01   9.8000e+01
1.0000e+01   9.9990e-02   1.0001e+02
1.0000e+01   1.0002e-01   9.9978e+01
9.8000e+00   1.0001e-01   9.7994e+01
9.6000e+00   9.9990e-02   9.6010e+01
9.4000e+00   9.9964e-02   9.4034e+01
