  Measurement Number     Measurement type
                 102                DC IV

      Measurement ID             SeriesID
       739844.542087                   68

         MeasureMode                Bias1                Bias2
                   2                   -3                  2.5

                Step  Positive compliance  Negative compliance
                0.05                 0.01                 0.01

  RealMeasuredPoints
                 224

        Bias        Current     Resistance
0.0000e+00   1.7811e-08   0.0000e+00
-5.0000e-02   -4.4168e-06   1.1320e+04
-1.0000e-01   -9.1341e-06   1.0948e+04
-1.5000e-01   -1.4248e-05   1.0528e+04
-2.0000e-01   -1.9814e-05   1.0094e+04
-2.5000e-01   -2.5904e-05   9.6510e+03
-3.0000e-01   -3.2420e-05   9.2535e+03
-3.5000e-01   -3.9098e-05   8.9519e+03
-4.0000e-01   -4.6118e-05   8.6734e+03
-4.5000e-01   -5.4636e-05   8.2363e+03
-5.0000e-01   -6.7204e-05   7.4400e+03
-5.5000e-01   -6.7238e-05   8.1799e+03
-6.0000e-01   -8.0882e-05   7.4182e+03
-6.5000e-01   -8.6530e-05   7.5118e+03
-7.0000e-01   -9.6582e-05   7.2477e+03
-7.5000e-01   -1.1096e-04   6.7594e+03
-8.0000e-01   -1.2180e-04   6.5681e+03
-8.5000e-01   -1.3118e-04   6.4796e+03
-9.0000e-01   -1.4266e-04   6.3087e+03
-9.5000e-01   -1.5542e-04   6.1125e+03
-1.0000e+00   -1.8090e-04   5.5279e+03
-1.0500e+00   -2.1150e-04   4.9645e+03
-1.1000e+00   -3.8526e-04   2.8552e+03
-1.1500e+00   -4.9892e-04   2.3050e+03
-1.2000e+00   -5.7148e-04   2.0998e+03
-1.2500e+00   -7.7400e-04   1.6150e+03
-1.3000e+00   -8.7064e-04   1.4932e+03
-1.3500e+00   -9.6058e-04   1.4054e+03
-1.4000e+00   -1.0532e-03   1.3293e+03
-1.4500e+00   -1.1478e-03   1.2633e+03
-1.5000e+00   -1.2368e-03   1.2128e+03
-1.5500e+00   -1.3210e-03   1.1734e+03
-1.6000e+00   -1.4102e-03   1.1346e+03
-1.6500e+00   -1.6068e-03   1.0269e+03
-1.7000e+00   -1.7200e-03   9.8837e+02
-1.7500e+00   -1.8264e-03   9.5817e+02
-1.8000e+00   -1.9546e-03   9.2090e+02
