  Measurement Number     Measurement type
                  30                DC IV

      Measurement ID             SeriesID
       739844.536665                    4

         MeasureMode                Bias1                Bias2
                   2                   -3                    2

                Step  Positive compliance  Negative compliance
                0.05                 0.01                 0.01

  RealMeasuredPoints
                 204

        Bias        Current     Resistance
0.0000e+00   1.7496e-07   0.0000e+00
-5.0000e-02   -4.6362e-05   1.0785e+03
-1.0000e-01   -9.4682e-05   1.0562e+03
-1.5000e-01   -1.4610e-04   1.0267e+03
-2.0000e-01   -2.0118e-04   9.9413e+02
-2.5000e-01   -2.6046e-04   9.5984e+02
-3.0000e-01   -3.2412e-04   9.2558e+02
-3.5000e-01   -3.9314e-04   8.9027e+02
-4.0000e-01   -4.6646e-04   8.5752e+02
-4.5000e-01   -5.4502e-04   8.2566e+02
-5.0000e-01   -6.2598e-04   7.9875e+02
-5.5000e-01   -7.1140e-04   7.7312e+02
-6.0000e-01   -8.0194e-04   7.4819e+02
-6.5000e-01   -8.9408e-04   7.2700e+02
-7.0000e-01   -9.9270e-04   7.0515e+02
-7.5000e-01   -1.0925e-03   6.8651e+02
-8.0000e-01   -1.1954e-03   6.6923e+02
-8.5000e-01   -1.3002e-03   6.5375e+02
-9.0000e-01   -1.4114e-03   6.3766e+02
-9.5000e-01   -1.5232e-03   6.2369e+02
-1.0000e+00   -1.6390e-03   6.1013e+02
-1.0500e+00   -1.7570e-03   5.9761e+02
-1.1000e+00   -1.8792e-03   5.8536e+02
-1.1500e+00   -2.0000e-03   5.7500e+02
-1.2000e+00   -2.1270e-03   5.6417e+02
-1.2500e+00   -2.2542e-03   5.5452e+02
-1.3000e+00   -2.3820e-03   5.4576e+02
-1.3500e+00   -2.5156e-03   5.3665e+02
-1.4000e+00   -2.6478e-03   5.2874e+02
-1.4500e+00   -2.7808e-03   5.2143e+02
-1.5000e+00   -2.9178e-03   5.1409e+02
-1.5500e+00   -3.0538e-03   5.0756e+02
-1.6000e+00   -3.1914e-03   5.0135e+02
-1.6500e+00   -3.3356e-03   4.9466e+02
-1.7000e+00   -3.4740e-03   4.8935e+02
-1.7500e+00   -3.6146e-03   4.8415e+02
-1.8000e+00   -3.7510e-03   4.7987e+02
-1.8500e+00   -3.8890e-03   4.7570e+02
-1.9000e+00   -4.0304e-03   4.7142e+02
-1.9500e+00   -4.1624e-03   4.6848e+02
-2.0000e+00   -4.3002e-03   4.6509e+02
-2.0500e+00   -4.4362e-03   4.6211e+02
-2.1000e+00   -4.5758e-03   4.5894e+02
-2.1500e+00   -4.7030e-03   4.5716e+02
-2.2000e+00   -4.8268e-03   4.5579e+02
-2.2500e+00   -4.9594e-03   4.5368e+02
-2.3000e+00   -5.0836e-03   4.5244e+02
-2.3500e+00   -5.2066e-03   4.5135e+02
-2.4000e+00   -5.3418e-03   4.4929e+02
-2.4500e+00   -5.4734e-03   4.4762e+02
-2.5000e+00   -5.6052e-03   4.4601e+02
-2.5500e+00   -5.7468e-03   4.4373e+02
-2.6000e+00   -5.8886e-03   4.4153e+02
-2.6500e+00   -6.0278e-03   4.3963e+02
-2.7000e+00   -6.1728e-03   4.3740e+02
-2.7500e+00   -6.3164e-03   4.3537e+02
-2.8000e+00   -6.4738e-03   4.3251e+02
-2.8500e+00   -6.6390e-03   4.2928e+02
-2.9000e+00   -6.8050e-03   4.2616e+02
-2.9500e+00   -6.9726e-03   4.2308e+02
-3.0000e+00   -7.1428e-03   4.2000e+02
-3.0000e+00   -7.1334e-03   4.2056e+02
-2.9500e+00   -6.9604e-03   4.2383e+02
-2.9000e+00   -6.7656e-03   4.2864e+02
-2.8500e+00   -6.5952e-03   4.3213e+02
-2.8000e+00   -6.4248e-03   4.3581e+02
-2.7500e+00   -6.2456e-03   4.4031e+02
-2.7000e+00   -6.0730e-03   4.4459e+02
-2.6500e+00   -5.8980e-03   4.4930e+02
-2.6000e+00   -5.7318e-03   4.5361e+02
-2.5500e+00   -5.5670e-03   4.5806e+02
-2.5000e+00   -5.3940e-03   4.6348e+02
-2.4500e+00   -5.2236e-03   4.6903e+02
-2.4000e+00   -5.0608e-03   4.7423e+02
-2.3500e+00   -4.8998e-03   4.7961e+02
-2.3000e+00   -4.7384e-03   4.8540e+02
-2.2500e+00   -4.5734e-03   4.9198e+02
-2.2000e+00   -4.4138e-03   4.9844e+02
-2.1500e+00   -4.2514e-03   5.0572e+02
-2.1000e+00   -4.0962e-03   5.1267e+02
-2.0500e+00   -3.9392e-03   5.2041e+02
-2.0000e+00   -3.7826e-03   5.2874e+02
-1.9500e+00   -3.6278e-03   5.3752e+02
-1.9000e+00   -3.4766e-03   5.4651e+02
-1.8500e+00   -3.3222e-03   5.5686e+02
-1.8000e+00   -3.1724e-03   5.6739e+02
-1.7500e+00   -3.0244e-03   5.7863e+02
-1.7000e+00   -2.8792e-03   5.9044e+02
-1.6500e+00   -2.7350e-03   6.0329e+02
-1.6000e+00   -2.5910e-03   6.1752e+02
-1.5500e+00   -2.4488e-03   6.3296e+02
-1.5000e+00   -2.3088e-03   6.4969e+02
-1.4500e+00   -2.1724e-03   6.6746e+02
-1.4000e+00   -2.0384e-03   6.8681e+02
-1.3500e+00   -1.9084e-03   7.0740e+02
-1.3000e+00   -1.7786e-03   7.3091e+02
-1.2500e+00   -1.6542e-03   7.5565e+02
-1.2000e+00   -1.5314e-03   7.8360e+02
-1.1500e+00   -1.4134e-03   8.1364e+02
-1.1000e+00   -1.2984e-03   8.4720e+02
-1.0500e+00   -1.1886e-03   8.8339e+02
-1.0000e+00   -1.0836e-03   9.2285e+02
-9.5000e-01   -9.8274e-04   9.6668e+02
-9.0000e-01   -8.8710e-04   1.0145e+03
-8.5000e-01   -7.9616e-04   1.0676e+03
-8.0000e-01   -7.1224e-04   1.1232e+03
-7.5000e-01   -6.3214e-04   1.1864e+03
-7.0000e-01   -5.5792e-04   1.2547e+03
-6.5000e-01   -4.8820e-04   1.3314e+03
-6.0000e-01   -4.2580e-04   1.4091e+03
-5.5000e-01   -3.6732e-04   1.4973e+03
-5.0000e-01   -3.1372e-04   1.5938e+03
-4.5000e-01   -2.6468e-04   1.7002e+03
-4.0000e-01   -2.2064e-04   1.8129e+03
-3.5000e-01   -1.8068e-04   1.9371e+03
-3.0000e-01   -1.4506e-04   2.0681e+03
-2.5000e-01   -1.1324e-04   2.2077e+03
-2.0000e-01   -8.5058e-05   2.3513e+03
-1.5000e-01   -6.0118e-05   2.4951e+03
-1.0000e-01   -3.8062e-05   2.6273e+03
-5.0000e-02   -1.8282e-05   2.7349e+03
0.0000e+00   5.8279e-08   0.0000e+00
0.0000e+00   2.2341e-08   0.0000e+00
5.0000e-02   1.8372e-05   2.7215e+03
1.0000e-01   3.8218e-05   2.6166e+03
1.5000e-01   6.0344e-05   2.4857e+03
2.0000e-01   8.5412e-05   2.3416e+03
2.5000e-01   1.1385e-04   2.1959e+03
3.0000e-01   1.4500e-04   2.0690e+03
3.5000e-01   1.8072e-04   1.9367e+03
4.0000e-01   2.1990e-04   1.8190e+03
4.5000e-01   2.6320e-04   1.7097e+03
5.0000e-01   3.1078e-04   1.6089e+03
5.5000e-01   3.6312e-04   1.5147e+03
6.0000e-01   4.1944e-04   1.4305e+03
6.5000e-01   4.8262e-04   1.3468e+03
7.0000e-01   5.4672e-04   1.2804e+03
7.5000e-01   6.1536e-04   1.2188e+03
8.0000e-01   6.8994e-04   1.1595e+03
8.5000e-01   7.7036e-04   1.1034e+03
9.0000e-01   8.5298e-04   1.0551e+03
9.5000e-01   9.4482e-04   1.0055e+03
1.0000e+00   1.0330e-03   9.6807e+02
1.0500e+00   1.1341e-03   9.2586e+02
1.1000e+00   1.2364e-03   8.8968e+02
1.1500e+00   1.3468e-03   8.5388e+02
1.2000e+00   1.4718e-03   8.1533e+02
1.2500e+00   1.5940e-03   7.8419e+02
1.3000e+00   1.7388e-03   7.4764e+02
1.3500e+00   1.8546e-03   7.2792e+02
1.4000e+00   1.9974e-03   7.0091e+02
1.4500e+00   2.1546e-03   6.7298e+02
1.5000e+00   2.3208e-03   6.4633e+02
1.5500e+00   2.4940e-03   6.2149e+02
1.6000e+00   2.6548e-03   6.0268e+02
1.6500e+00   2.8058e-03   5.8807e+02
1.7000e+00   2.9680e-03   5.7278e+02
1.7500e+00   3.1284e-03   5.5939e+02
1.8000e+00   3.3070e-03   5.4430e+02
1.8500e+00   3.4822e-03   5.3127e+02
1.9000e+00   3.6538e-03   5.2001e+02
1.9500e+00   3.8272e-03   5.0951e+02
2.0000e+00   3.9960e-03   5.0050e+02
2.0000e+00   4.0144e-03   4.9821e+02
1.9500e+00   3.8914e-03   5.0111e+02
1.9000e+00   3.7594e-03   5.0540e+02
1.8500e+00   3.6296e-03   5.0970e+02
1.8000e+00   3.4894e-03   5.1585e+02
1.7500e+00   3.3588e-03   5.2102e+02
1.7000e+00   3.2284e-03   5.2658e+02
1.6500e+00   3.1018e-03   5.3195e+02
1.6000e+00   2.9746e-03   5.3789e+02
1.5500e+00   2.8468e-03   5.4447e+02
1.5000e+00   2.7212e-03   5.5123e+02
1.4500e+00   2.5956e-03   5.5864e+02
1.4000e+00   2.4750e-03   5.6566e+02
1.3500e+00   2.3530e-03   5.7374e+02
1.3000e+00   2.2328e-03   5.8223e+02
1.2500e+00   2.1132e-03   5.9152e+02
1.2000e+00   1.9962e-03   6.0114e+02
1.1500e+00   1.8814e-03   6.1125e+02
1.1000e+00   1.7666e-03   6.2267e+02
1.0500e+00   1.6548e-03   6.3452e+02
1.0000e+00   1.5456e-03   6.4700e+02
9.5000e-01   1.4372e-03   6.6101e+02
9.0000e-01   1.3318e-03   6.7578e+02
8.5000e-01   1.2296e-03   6.9128e+02
8.0000e-01   1.1300e-03   7.0796e+02
