  Measurement Number     Measurement type
                  20                DC IV

      Measurement ID             SeriesID
       739844.567514                   28

         MeasureMode                Bias1                Bias2
                   2                   -3                    2

                Step  Positive compliance  Negative compliance
                0.05                 0.01                 0.01

  RealMeasuredPoints
                 204

        Bias        Current     Resistance
0.0000e+00   1.6734e-07   0.0000e+00
-5.0000e-02   -3.1122e-05   1.6066e+03
-1.0000e-01   -6.3012e-05   1.5870e+03
-1.5000e-01   -9.6022e-05   1.5621e+03
-2.0000e-01   -1.3060e-04   1.5314e+03
-2.5000e-01   -1.6640e-04   1.5024e+03
-3.0000e-01   -2.0394e-04   1.4710e+03
-3.5000e-01   -2.4306e-04   1.4400e+03
-4.0000e-01   -2.8378e-04   1.4095e+03
-4.5000e-01   -3.2614e-04   1.3798e+03
-5.0000e-01   -3.6992e-04   1.3516e+03
-5.5000e-01   -4.1552e-04   1.3236e+03
-6.0000e-01   -4.6246e-04   1.2974e+03
-6.5000e-01   -5.1048e-04   1.2733e+03
-7.0000e-01   -5.6070e-04   1.2484e+03
-7.5000e-01   -6.1216e-04   1.2252e+03
-8.0000e-01   -6.6532e-04   1.2024e+03
-8.5000e-01   -7.2028e-04   1.1801e+03
-9.0000e-01   -7.7676e-04   1.1587e+03
-9.5000e-01   -8.3432e-04   1.1387e+03
-1.0000e+00   -8.9414e-04   1.1184e+03
-1.0500e+00   -9.5648e-04   1.0978e+03
-1.1000e+00   -1.0181e-03   1.0804e+03
-1.1500e+00   -1.0824e-03   1.0624e+03
-1.2000e+00   -1.1468e-03   1.0464e+03
-1.2500e+00   -1.2164e-03   1.0276e+03
-1.3000e+00   -1.2838e-03   1.0126e+03
-1.3500e+00   -1.3528e-03   9.9793e+02
-1.4000e+00   -1.4270e-03   9.8108e+02
-1.4500e+00   -1.5032e-03   9.6461e+02
-1.5000e+00   -1.5782e-03   9.5045e+02
-1.5500e+00   -1.6562e-03   9.3588e+02
-1.6000e+00   -1.7334e-03   9.2304e+02
-1.6500e+00   -1.8150e-03   9.0909e+02
-1.7000e+00   -1.8966e-03   8.9634e+02
-1.7500e+00   -1.9786e-03   8.8446e+02
-1.8000e+00   -2.0644e-03   8.7192e+02
-1.8500e+00   -2.1470e-03   8.6167e+02
-1.9000e+00   -2.2374e-03   8.4920e+02
-1.9500e+00   -2.3170e-03   8.4161e+02
-2.0000e+00   -2.4022e-03   8.3257e+02
-2.0500e+00   -2.4782e-03   8.2721e+02
-2.1000e+00   -2.5552e-03   8.2185e+02
-2.1500e+00   -2.6378e-03   8.1507e+02
-2.2000e+00   -2.7118e-03   8.1127e+02
-2.2500e+00   -2.7826e-03   8.0860e+02
-2.3000e+00   -2.8572e-03   8.0498e+02
-2.3500e+00   -2.9340e-03   8.0095e+02
-2.4000e+00   -3.0102e-03   7.9729e+02
-2.4500e+00   -3.0920e-03   7.9237e+02
-2.5000e+00   -3.1730e-03   7.8790e+02
-2.5500e+00   -3.2562e-03   7.8312e+02
-2.6000e+00   -3.3408e-03   7.7826e+02
-2.6500e+00   -3.4284e-03   7.7296e+02
-2.7000e+00   -3.5192e-03   7.6722e+02
-2.7500e+00   -3.6120e-03   7.6135e+02
-2.8000e+00   -3.7082e-03   7.5508e+02
-2.8500e+00   -3.8080e-03   7.4842e+02
-2.9000e+00   -3.9088e-03   7.4192e+02
-2.9500e+00   -4.0122e-03   7.3526e+02
-3.0000e+00   -4.1240e-03   7.2745e+02
-3.0000e+00   -4.1254e-03   7.2720e+02
-2.9500e+00   -4.0216e-03   7.3354e+02
-2.9000e+00   -3.9144e-03   7.4085e+02
-2.8500e+00   -3.8132e-03   7.4740e+02
-2.8000e+00   -3.7034e-03   7.5606e+02
-2.7500e+00   -3.6086e-03   7.6207e+02
-2.7000e+00   -3.5014e-03   7.7112e+02
-2.6500e+00   -3.4004e-03   7.7932e+02
-2.6000e+00   -3.2922e-03   7.8975e+02
-2.5500e+00   -3.1926e-03   7.9872e+02
-2.5000e+00   -3.0916e-03   8.0864e+02
-2.4500e+00   -2.9958e-03   8.1781e+02
-2.4000e+00   -2.8974e-03   8.2833e+02
-2.3500e+00   -2.7996e-03   8.3941e+02
-2.3000e+00   -2.7010e-03   8.5154e+02
-2.2500e+00   -2.6080e-03   8.6273e+02
-2.2000e+00   -2.5116e-03   8.7594e+02
-2.1500e+00   -2.4146e-03   8.9042e+02
-2.1000e+00   -2.3166e-03   9.0650e+02
-2.0500e+00   -2.2236e-03   9.2193e+02
-2.0000e+00   -2.1296e-03   9.3914e+02
-1.9500e+00   -2.0386e-03   9.5654e+02
-1.9000e+00   -1.9476e-03   9.7556e+02
-1.8500e+00   -1.8590e-03   9.9516e+02
-1.8000e+00   -1.7708e-03   1.0165e+03
-1.7500e+00   -1.6862e-03   1.0378e+03
-1.7000e+00   -1.6010e-03   1.0618e+03
-1.6500e+00   -1.5176e-03   1.0872e+03
-1.6000e+00   -1.4376e-03   1.1130e+03
-1.5500e+00   -1.3576e-03   1.1417e+03
-1.5000e+00   -1.2798e-03   1.1721e+03
-1.4500e+00   -1.2032e-03   1.2051e+03
-1.4000e+00   -1.1296e-03   1.2394e+03
-1.3500e+00   -1.0562e-03   1.2782e+03
-1.3000e+00   -9.8668e-04   1.3175e+03
-1.2500e+00   -9.1826e-04   1.3613e+03
-1.2000e+00   -8.5198e-04   1.4085e+03
-1.1500e+00   -7.8806e-04   1.4593e+03
-1.1000e+00   -7.2598e-04   1.5152e+03
-1.0500e+00   -6.6738e-04   1.5733e+03
-1.0000e+00   -6.1052e-04   1.6379e+03
-9.5000e-01   -5.5590e-04   1.7089e+03
-9.0000e-01   -5.0436e-04   1.7844e+03
-8.5000e-01   -4.5508e-04   1.8678e+03
-8.0000e-01   -4.0820e-04   1.9598e+03
-7.5000e-01   -3.6426e-04   2.0590e+03
-7.0000e-01   -3.2290e-04   2.1679e+03
-6.5000e-01   -2.8426e-04   2.2866e+03
-6.0000e-01   -2.4832e-04   2.4162e+03
-5.5000e-01   -2.1454e-04   2.5636e+03
-5.0000e-01   -1.8358e-04   2.7236e+03
-4.5000e-01   -1.5554e-04   2.8931e+03
-4.0000e-01   -1.2968e-04   3.0845e+03
-3.5000e-01   -1.0638e-04   3.2901e+03
-3.0000e-01   -8.5332e-05   3.5157e+03
-2.5000e-01   -6.6720e-05   3.7470e+03
-2.0000e-01   -4.9876e-05   4.0099e+03
-1.5000e-01   -3.5136e-05   4.2691e+03
-1.0000e-01   -2.2188e-05   4.5069e+03
-5.0000e-02   -1.0704e-05   4.6712e+03
0.0000e+00   4.9984e-08   0.0000e+00
0.0000e+00   3.9335e-08   0.0000e+00
5.0000e-02   1.0870e-05   4.5998e+03
1.0000e-01   2.2550e-05   4.4346e+03
1.5000e-01   3.5690e-05   4.2029e+03
2.0000e-01   5.0280e-05   3.9777e+03
2.5000e-01   6.6806e-05   3.7422e+03
3.0000e-01   8.5202e-05   3.5210e+03
3.5000e-01   1.0489e-04   3.3367e+03
4.0000e-01   1.2716e-04   3.1456e+03
4.5000e-01   1.5152e-04   2.9699e+03
5.0000e-01   1.7756e-04   2.8159e+03
5.5000e-01   2.0352e-04   2.7024e+03
6.0000e-01   2.3372e-04   2.5672e+03
6.5000e-01   2.6498e-04   2.4530e+03
7.0000e-01   2.9546e-04   2.3692e+03
7.5000e-01   3.3128e-04   2.2639e+03
8.0000e-01   3.6678e-04   2.1811e+03
8.5000e-01   4.0812e-04   2.0827e+03
9.0000e-01   4.5326e-04   1.9856e+03
9.5000e-01   4.9546e-04   1.9174e+03
1.0000e+00   5.4722e-04   1.8274e+03
1.0500e+00   6.3088e-04   1.6643e+03
1.1000e+00   7.0844e-04   1.5527e+03
1.1500e+00   7.7214e-04   1.4894e+03
1.2000e+00   8.3420e-04   1.4385e+03
1.2500e+00   8.9676e-04   1.3939e+03
1.3000e+00   9.7792e-04   1.3294e+03
1.3500e+00   1.0452e-03   1.2916e+03
1.4000e+00   1.1235e-03   1.2461e+03
1.4500e+00   1.2236e-03   1.1850e+03
1.5000e+00   1.3088e-03   1.1461e+03
1.5500e+00   1.3916e-03   1.1138e+03
1.6000e+00   1.4800e-03   1.0811e+03
1.6500e+00   1.5772e-03   1.0462e+03
1.7000e+00   1.6682e-03   1.0191e+03
1.7500e+00   1.7550e-03   9.9715e+02
1.8000e+00   1.8486e-03   9.7371e+02
1.8500e+00   1.9458e-03   9.5077e+02
1.9000e+00   2.0452e-03   9.2900e+02
1.9500e+00   2.1502e-03   9.0689e+02
2.0000e+00   2.2432e-03   8.9158e+02
2.0000e+00   2.2550e-03   8.8692e+02
1.9500e+00   2.1714e-03   8.9804e+02
1.9000e+00   2.0896e-03   9.0926e+02
1.8500e+00   2.0068e-03   9.2187e+02
1.8000e+00   1.9272e-03   9.3400e+02
1.7500e+00   1.8520e-03   9.4492e+02
1.7000e+00   1.7772e-03   9.5656e+02
1.6500e+00   1.7032e-03   9.6876e+02
1.6000e+00   1.6320e-03   9.8039e+02
1.5500e+00   1.5590e-03   9.9423e+02
1.5000e+00   1.4898e-03   1.0068e+03
1.4500e+00   1.4222e-03   1.0195e+03
1.4000e+00   1.3554e-03   1.0329e+03
1.3500e+00   1.2888e-03   1.0475e+03
1.3000e+00   1.2246e-03   1.0616e+03
1.2500e+00   1.1620e-03   1.0757e+03
1.2000e+00   1.0994e-03   1.0915e+03
1.1500e+00   1.0394e-03   1.1064e+03
1.1000e+00   9.8012e-04   1.1223e+03
1.0500e+00   9.2186e-04   1.1390e+03
1.0000e+00   8.6538e-04   1.1556e+03
9.5000e-01   8.0892e-04   1.1744e+03
9.0000e-01   7.5488e-04   1.1922e+03
8.5000e-01   7.0162e-04   1.2115e+03
8.0000e-01   6.5030e-04   1.2302e+03
