  Measurement Number     Measurement type
                 131                DC IV

      Measurement ID             SeriesID
       739844.564043                    4

         MeasureMode                Bias1                Bias2
                   2                   -3                    3

                Step  Positive compliance  Negative compliance
                0.05                 0.01                 0.01

  RealMeasuredPoints
                 244

        Bias        Current     Resistance
0.0000e+00   5.5650e-10   0.0000e+00
-5.0000e-02   -1.9388e-07   2.5789e+05
-1.0000e-01   -4.1852e-07   2.3894e+05
-1.5000e-01   -6.8954e-07   2.1754e+05
-2.0000e-01   -1.0028e-06   1.9944e+05
-2.5000e-01   -1.2352e-06   2.0240e+05
-3.0000e-01   -1.5906e-06   1.8861e+05
-3.5000e-01   -2.5252e-06   1.3860e+05
-4.0000e-01   -3.5644e-06   1.1222e+05
-4.5000e-01   -4.2696e-06   1.0540e+05
-5.0000e-01   -4.4827e-06   1.1154e+05
-5.5000e-01   -5.6217e-06   9.7835e+04
-6.0000e-01   -6.5480e-06   9.1631e+04
-6.5000e-01   -6.9718e-06   9.3233e+04
-7.0000e-01   -8.7816e-06   7.9712e+04
-7.5000e-01   -1.0372e-05   7.2310e+04
-8.0000e-01   -6.2152e-06   1.2872e+05
-8.5000e-01   -7.6608e-06   1.1095e+05
-9.0000e-01   -8.2584e-06   1.0898e+05
-9.5000e-01   -1.0243e-05   9.2742e+04
-1.0000e+00   -3.3550e-05   2.9806e+04
-1.0500e+00   -4.1224e-05   2.5471e+04
-1.1000e+00   -4.0038e-05   2.7474e+04
-1.1500e+00   -3.8754e-05   2.9674e+04
-1.2000e+00   -2.1234e-05   5.6513e+04
-1.2500e+00   -2.7894e-05   4.4813e+04
-1.3000e+00   -4.3440e-05   2.9926e+04
-1.3500e+00   -3.5940e-05   3.7563e+04
-1.4000e+00   -6.3898e-05   2.1910e+04
-1.4500e+00   -7.7604e-05   1.8685e+04
-1.5000e+00   -5.1396e-04   2.9185e+03
-1.5500e+00   -5.6720e-04   2.7327e+03
-1.6000e+00   -5.9566e-04   2.6861e+03
-1.6500e+00   -6.4708e-04   2.5499e+03
-1.7000e+00   -7.2970e-04   2.3297e+03
-1.7500e+00   -7.8386e-04   2.2325e+03
-1.8000e+00   -1.3280e-03   1.3554e+03
-1.8500e+00   -1.4020e-03   1.3195e+03
-1.9000e+00   -1.5062e-03   1.2615e+03
-1.9500e+00   -1.5616e-03   1.2487e+03
-2.0000e+00   -1.6436e-03   1.2168e+03
-2.0500e+00   -1.7136e-03   1.1963e+03
-2.1000e+00   -2.4874e-03   8.4426e+02
-2.1500e+00   -2.5844e-03   8.3191e+02
-2.2000e+00   -2.6548e-03   8.2869e+02
-2.2500e+00   -2.7222e-03   8.2654e+02
-2.3000e+00   -2.7910e-03   8.2408e+02
-2.3500e+00   -2.8546e-03   8.2323e+02
-2.4000e+00   -2.9150e-03   8.2333e+02
-2.4500e+00   -2.9800e-03   8.2215e+02
-2.5000e+00   -3.0534e-03   8.1876e+02
-2.5500e+00   -3.3772e-03   7.5506e+02
-2.6000e+00   -3.4664e-03   7.5006e+02
-2.6500e+00   -3.8672e-03   6.8525e+02
-2.7000e+00   -3.9462e-03   6.8420e+02
-2.7500e+00   -4.0526e-03   6.7858e+02
-2.8000e+00   -4.1588e-03   6.7327e+02
-2.8500e+00   -4.2726e-03   6.6704e+02
-2.9000e+00   -4.3932e-03   6.6011e+02
-2.9500e+00   -4.5132e-03   6.5364e+02
-3.0000e+00   -4.6518e-03   6.4491e+02
-3.0000e+00   -4.6604e-03   6.4372e+02
-2.9500e+00   -4.5774e-03   6.4447e+02
-2.9000e+00   -4.4524e-03   6.5133e+02
-2.8500e+00   -4.3296e-03   6.5826e+02
-2.8000e+00   -4.2130e-03   6.6461e+02
-2.7500e+00   -4.1002e-03   6.7070e+02
-2.7000e+00   -3.9822e-03   6.7802e+02
-2.6500e+00   -3.8710e-03   6.8458e+02
-2.6000e+00   -3.7554e-03   6.9234e+02
-2.5500e+00   -3.6494e-03   6.9874e+02
-2.5000e+00   -3.5390e-03   7.0641e+02
-2.4500e+00   -3.4222e-03   7.1591e+02
-2.4000e+00   -3.3160e-03   7.2376e+02
-2.3500e+00   -3.2042e-03   7.3341e+02
-2.3000e+00   -3.0876e-03   7.4492e+02
-2.2500e+00   -2.9844e-03   7.5392e+02
-2.2000e+00   -2.8752e-03   7.6516e+02
-2.1500e+00   -2.7710e-03   7.7589e+02
-2.1000e+00   -2.6622e-03   7.8882e+02
-2.0500e+00   -2.5584e-03   8.0128e+02
-2.0000e+00   -2.4508e-03   8.1606e+02
-1.9500e+00   -2.3490e-03   8.3014e+02
-1.9000e+00   -2.2488e-03   8.4490e+02
-1.8500e+00   -2.1444e-03   8.6271e+02
-1.8000e+00   -2.0470e-03   8.7934e+02
-1.7500e+00   -1.9456e-03   8.9947e+02
-1.7000e+00   -1.8484e-03   9.1971e+02
