  Measurement Number     Measurement type
                   4                DC IV

      Measurement ID             SeriesID
       739844.550124                   40

         MeasureMode                Bias1                Bias2
                   2                   -3                    2

                Step  Positive compliance  Negative compliance
                0.05                 0.01                 0.01

  RealMeasuredPoints
                 204

        Bias        Current     Resistance
0.0000e+00   1.4300e-07   0.0000e+00
-5.0000e-02   -5.3152e-05   9.4070e+02
-1.0000e-01   -1.0753e-04   9.2994e+02
-1.5000e-01   -1.6262e-04   9.2240e+02
-2.0000e-01   -2.1912e-04   9.1274e+02
-2.5000e-01   -2.7740e-04   9.0123e+02
-3.0000e-01   -3.3758e-04   8.8868e+02
-3.5000e-01   -4.0032e-04   8.7430e+02
-4.0000e-01   -4.6394e-04   8.6218e+02
-4.5000e-01   -5.2966e-04   8.4960e+02
-5.0000e-01   -5.9774e-04   8.3648e+02
-5.5000e-01   -6.6658e-04   8.2511e+02
-6.0000e-01   -7.4066e-04   8.1009e+02
-6.5000e-01   -8.1352e-04   7.9900e+02
-7.0000e-01   -8.8964e-04   7.8684e+02
-7.5000e-01   -9.6870e-04   7.7423e+02
-8.0000e-01   -1.0503e-03   7.6170e+02
-8.5000e-01   -1.1291e-03   7.5279e+02
-9.0000e-01   -1.2114e-03   7.4294e+02
-9.5000e-01   -1.2992e-03   7.3122e+02
-1.0000e+00   -1.3908e-03   7.1901e+02
-1.0500e+00   -1.4758e-03   7.1148e+02
-1.1000e+00   -1.5662e-03   7.0234e+02
-1.1500e+00   -1.6648e-03   6.9077e+02
-1.2000e+00   -1.7744e-03   6.7628e+02
-1.2500e+00   -1.8766e-03   6.6610e+02
-1.3000e+00   -1.9920e-03   6.5261e+02
-1.3500e+00   -2.0960e-03   6.4408e+02
-1.4000e+00   -2.2184e-03   6.3109e+02
-1.4500e+00   -2.3360e-03   6.2072e+02
-1.5000e+00   -2.4548e-03   6.1105e+02
-1.5500e+00   -2.5798e-03   6.0082e+02
-1.6000e+00   -2.7000e-03   5.9259e+02
-1.6500e+00   -2.8152e-03   5.8610e+02
-1.7000e+00   -2.9524e-03   5.7580e+02
-1.7500e+00   -3.0760e-03   5.6892e+02
-1.8000e+00   -3.1942e-03   5.6352e+02
-1.8500e+00   -3.3090e-03   5.5908e+02
-1.9000e+00   -3.4692e-03   5.4768e+02
-1.9500e+00   -3.5840e-03   5.4408e+02
-2.0000e+00   -3.6948e-03   5.4130e+02
-2.0500e+00   -3.7898e-03   5.4093e+02
-2.1000e+00   -3.8952e-03   5.3913e+02
-2.1500e+00   -3.9892e-03   5.3896e+02
-2.2000e+00   -4.0810e-03   5.3908e+02
-2.2500e+00   -4.1526e-03   5.4183e+02
-2.3000e+00   -4.2288e-03   5.4389e+02
-2.3500e+00   -4.3120e-03   5.4499e+02
-2.4000e+00   -4.4080e-03   5.4446e+02
-2.4500e+00   -4.5064e-03   5.4367e+02
-2.5000e+00   -4.6092e-03   5.4239e+02
-2.5500e+00   -4.7324e-03   5.3884e+02
-2.6000e+00   -4.8576e-03   5.3524e+02
-2.6500e+00   -5.0148e-03   5.2844e+02
-2.7000e+00   -5.1682e-03   5.2243e+02
-2.7500e+00   -5.3162e-03   5.1729e+02
-2.8000e+00   -5.4802e-03   5.1093e+02
-2.8500e+00   -5.7612e-03   4.9469e+02
-2.9000e+00   -5.8960e-03   4.9186e+02
-2.9500e+00   -6.0352e-03   4.8880e+02
-3.0000e+00   -6.1868e-03   4.8490e+02
-3.0000e+00   -6.1520e-03   4.8765e+02
-2.9500e+00   -5.9308e-03   4.9740e+02
-2.9000e+00   -5.7648e-03   5.0305e+02
-2.8500e+00   -5.5596e-03   5.1263e+02
-2.8000e+00   -5.4560e-03   5.1320e+02
-2.7500e+00   -5.3146e-03   5.1744e+02
-2.7000e+00   -5.1506e-03   5.2421e+02
-2.6500e+00   -4.9980e-03   5.3021e+02
-2.6000e+00   -4.8596e-03   5.3502e+02
-2.5500e+00   -4.7092e-03   5.4149e+02
-2.5000e+00   -4.5640e-03   5.4777e+02
-2.4500e+00   -4.4158e-03   5.5483e+02
-2.4000e+00   -4.2766e-03   5.6119e+02
-2.3500e+00   -4.1274e-03   5.6937e+02
-2.3000e+00   -3.9942e-03   5.7583e+02
-2.2500e+00   -3.8580e-03   5.8320e+02
-2.2000e+00   -3.7164e-03   5.9197e+02
-2.1500e+00   -3.5728e-03   6.0177e+02
-2.1000e+00   -3.4338e-03   6.1157e+02
-2.0500e+00   -3.3004e-03   6.2114e+02
-2.0000e+00   -3.1642e-03   6.3207e+02
-1.9500e+00   -3.0238e-03   6.4488e+02
-1.9000e+00   -2.8894e-03   6.5758e+02
-1.8500e+00   -2.7564e-03   6.7117e+02
-1.8000e+00   -2.6284e-03   6.8483e+02
-1.7500e+00   -2.5004e-03   6.9989e+02
-1.7000e+00   -2.3734e-03   7.1627e+02
-1.6500e+00   -2.2468e-03   7.3438e+02
-1.6000e+00   -2.1210e-03   7.5436e+02
-1.5500e+00   -1.9958e-03   7.7663e+02
-1.5000e+00   -1.8728e-03   8.0094e+02
-1.4500e+00   -1.7546e-03   8.2640e+02
-1.4000e+00   -1.6378e-03   8.5481e+02
-1.3500e+00   -1.5250e-03   8.8525e+02
-1.3000e+00   -1.4144e-03   9.1912e+02
-1.2500e+00   -1.3080e-03   9.5566e+02
-1.2000e+00   -1.2046e-03   9.9618e+02
-1.1500e+00   -1.1034e-03   1.0422e+03
-1.1000e+00   -1.0086e-03   1.0906e+03
-1.0500e+00   -9.1460e-04   1.1480e+03
-1.0000e+00   -8.2890e-04   1.2064e+03
-9.5000e-01   -7.4644e-04   1.2727e+03
-9.0000e-01   -6.6852e-04   1.3463e+03
-8.5000e-01   -5.9538e-04   1.4277e+03
-8.0000e-01   -5.2570e-04   1.5218e+03
-7.5000e-01   -4.6238e-04   1.6220e+03
-7.0000e-01   -4.0386e-04   1.7333e+03
-6.5000e-01   -3.5040e-04   1.8550e+03
-6.0000e-01   -3.0032e-04   1.9979e+03
-5.5000e-01   -2.5536e-04   2.1538e+03
-5.0000e-01   -2.1508e-04   2.3247e+03
-4.5000e-01   -1.7898e-04   2.5142e+03
-4.0000e-01   -1.4690e-04   2.7229e+03
-3.5000e-01   -1.1854e-04   2.9526e+03
-3.0000e-01   -9.3512e-05   3.2081e+03
-2.5000e-01   -7.1828e-05   3.4805e+03
-2.0000e-01   -5.2824e-05   3.7862e+03
-1.5000e-01   -3.6546e-05   4.1044e+03
-1.0000e-01   -2.2636e-05   4.4177e+03
-5.0000e-02   -1.0856e-05   4.6057e+03
0.0000e+00   3.6094e-08   0.0000e+00
0.0000e+00   3.1883e-08   0.0000e+00
5.0000e-02   1.1334e-05   4.4115e+03
1.0000e-01   2.3794e-05   4.2027e+03
1.5000e-01   3.7944e-05   3.9532e+03
2.0000e-01   5.4044e-05   3.7007e+03
2.5000e-01   7.2274e-05   3.4591e+03
3.0000e-01   9.2888e-05   3.2297e+03
3.5000e-01   1.1610e-04   3.0146e+03
4.0000e-01   1.4248e-04   2.8074e+03
4.5000e-01   1.7156e-04   2.6230e+03
5.0000e-01   2.0436e-04   2.4467e+03
5.5000e-01   2.4200e-04   2.2727e+03
6.0000e-01   2.7762e-04   2.1612e+03
6.5000e-01   3.1976e-04   2.0328e+03
7.0000e-01   3.6980e-04   1.8929e+03
7.5000e-01   4.1370e-04   1.8129e+03
8.0000e-01   4.6946e-04   1.7041e+03
8.5000e-01   5.2856e-04   1.6081e+03
9.0000e-01   5.9562e-04   1.5110e+03
9.5000e-01   6.7460e-04   1.4082e+03
1.0000e+00   7.7314e-04   1.2934e+03
1.0500e+00   8.7824e-04   1.1956e+03
1.1000e+00   1.0116e-03   1.0873e+03
1.1500e+00   1.1828e-03   9.7227e+02
1.2000e+00   1.2720e-03   9.4340e+02
1.2500e+00   1.3884e-03   9.0032e+02
1.3000e+00   1.5204e-03   8.5504e+02
1.3500e+00   1.6394e-03   8.2347e+02
1.4000e+00   1.7556e-03   7.9745e+02
1.4500e+00   1.8940e-03   7.6558e+02
1.5000e+00   2.0336e-03   7.3761e+02
1.5500e+00   2.1896e-03   7.0789e+02
1.6000e+00   2.3484e-03   6.8131e+02
1.6500e+00   2.4998e-03   6.6005e+02
1.7000e+00   2.6796e-03   6.3442e+02
1.7500e+00   2.8302e-03   6.1833e+02
1.8000e+00   2.9808e-03   6.0386e+02
1.8500e+00   3.1392e-03   5.8932e+02
1.9000e+00   3.2942e-03   5.7677e+02
1.9500e+00   3.4392e-03   5.6699e+02
2.0000e+00   3.5620e-03   5.6148e+02
2.0000e+00   3.5660e-03   5.6085e+02
1.9500e+00   3.4030e-03   5.7302e+02
1.9000e+00   3.2808e-03   5.7913e+02
1.8500e+00   3.1722e-03   5.8319e+02
1.8000e+00   3.0678e-03   5.8674e+02
1.7500e+00   2.9624e-03   5.9074e+02
1.7000e+00   2.8572e-03   5.9499e+02
1.6500e+00   2.7526e-03   5.9943e+02
1.6000e+00   2.6518e-03   6.0336e+02
1.5500e+00   2.5498e-03   6.0789e+02
1.5000e+00   2.4486e-03   6.1259e+02
1.4500e+00   2.3482e-03   6.1749e+02
1.4000e+00   2.2504e-03   6.2211e+02
1.3500e+00   2.1532e-03   6.2697e+02
1.3000e+00   2.0554e-03   6.3248e+02
1.2500e+00   1.9582e-03   6.3834e+02
1.2000e+00   1.8634e-03   6.4398e+02
1.1500e+00   1.7694e-03   6.4994e+02
1.1000e+00   1.6772e-03   6.5585e+02
1.0500e+00   1.5846e-03   6.6263e+02
1.0000e+00   1.4938e-03   6.6943e+02
9.5000e-01   1.4034e-03   6.7693e+02
9.0000e-01   1.3152e-03   6.8431e+02
8.5000e-01   1.2292e-03   6.9151e+02
8.0000e-01   1.1434e-03   6.9967e+02
