  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739844.515642                    0

         MeasureMode                Bias1                Bias2
                   2                    3                   -3

                Step  Positive compliance  Negative compliance
                0.05                 0.01                 0.01

  RealMeasuredPoints
                 244

        Bias        Current     Resistance
0.0000e+00   1.8680e-11   0.0000e+00
5.0000e-02   3.6900e-12   1.3550e+10
1.0000e-01   -1.9120e-11   -5.2301e+09
1.5000e-01   -1.1660e-11   -1.2864e+10
2.0000e-01   2.5300e-11   7.9051e+09
2.5000e-01   1.6170e-11   1.5461e+10
3.0000e-01   -4.5300e-12   -6.6225e+10
3.5000e-01   -1.1930e-11   -2.9338e+10
4.0000e-01   1.8510e-11   2.1610e+10
4.5000e-01   4.3680e-11   1.0302e+10
5.0000e-01   2.5720e-11   1.9440e+10
5.5000e-01   1.6530e-11   3.3273e+10
6.0000e-01   1.6320e-11   3.6765e+10
6.5000e-01   4.4840e-11   1.4496e+10
7.0000e-01   6.1430e-11   1.1395e+10
7.5000e-01   2.8710e-11   2.6123e+10
8.0000e-01   4.6470e-11   1.7215e+10
8.5000e-01   7.5320e-11   1.1285e+10
9.0000e-01   8.9940e-11   1.0007e+10
9.5000e-01   6.5510e-11   1.4502e+10
1.0000e+00   7.3010e-11   1.3697e+10
1.0500e+00   1.1684e-10   8.9866e+09
1.1000e+00   1.1534e-10   9.5370e+09
1.1500e+00   1.2547e-10   9.1655e+09
1.2000e+00   1.2141e-10   9.8839e+09
1.2500e+00   1.9251e-10   6.4932e+09
1.3000e+00   2.3331e-10   5.5720e+09
1.3500e+00   2.4302e-10   5.5551e+09
1.4000e+00   3.0521e-10   4.5870e+09
1.4500e+00   3.6120e-10   4.0144e+09
1.5000e+00   4.1961e-10   3.5747e+09
1.5500e+00   4.7312e-08   3.2761e+07
1.6000e+00   2.4691e-08   6.4802e+07
1.6500e+00   3.6733e-08   4.4918e+07
1.7000e+00   4.1087e-08   4.1376e+07
1.7500e+00   5.6421e-08   3.1017e+07
1.8000e+00   7.7979e-08   2.3083e+07
1.8500e+00   1.3292e-07   1.3918e+07
1.9000e+00   1.2762e-07   1.4888e+07
1.9500e+00   2.6394e-07   7.3880e+06
2.0000e+00   1.1146e-07   1.7944e+07
2.0500e+00   4.4928e-07   4.5629e+06
2.1000e+00   2.3686e-07   8.8660e+06
2.1500e+00   2.1300e-07   1.0094e+07
2.2000e+00   1.1830e-07   1.8597e+07
2.2500e+00   2.1116e-07   1.0655e+07
2.3000e+00   3.0568e-07   7.5242e+06
2.3500e+00   1.3513e-06   1.7391e+06
2.4000e+00   1.1553e-06   2.0774e+06
2.4500e+00   1.4255e-06   1.7187e+06
2.5000e+00   2.8286e-06   8.8383e+05
2.5500e+00   4.4631e-06   5.7135e+05
2.6000e+00   1.6108e-05   1.6141e+05
2.6500e+00   2.5104e-05   1.0556e+05
2.7000e+00   2.6806e-05   1.0072e+05
2.7500e+00   4.0154e-05   6.8486e+04
2.8000e+00   4.2306e-05   6.6184e+04
2.8500e+00   4.5488e-05   6.2654e+04
2.9000e+00   5.4754e-05   5.2964e+04
2.9500e+00   8.6952e-05   3.3927e+04
3.0000e+00   8.9960e-05   3.3348e+04
3.0000e+00   9.8098e-05   3.0582e+04
2.9500e+00   1.3024e-04   2.2650e+04
2.9000e+00   1.3506e-04   2.1472e+04
2.8500e+00   1.3562e-04   2.1015e+04
2.8000e+00   1.4160e-04   1.9774e+04
2.7500e+00   1.3534e-04   2.0319e+04
2.7000e+00   1.3148e-04   2.0535e+04
2.6500e+00   1.4676e-04   1.8057e+04
2.6000e+00   1.2900e-04   2.0155e+04
2.5500e+00   1.4274e-04   1.7865e+04
2.5000e+00   1.5044e-04   1.6618e+04
2.4500e+00   1.5810e-04   1.5497e+04
2.4000e+00   1.5156e-04   1.5835e+04
2.3500e+00   1.5388e-04   1.5272e+04
2.3000e+00   1.6786e-04   1.3702e+04
2.2500e+00   1.4550e-04   1.5464e+04
2.2000e+00   1.5444e-04   1.4245e+04
2.1500e+00   1.4764e-04   1.4562e+04
2.1000e+00   1.3636e-04   1.5400e+04
2.0500e+00   1.3740e-04   1.4920e+04
2.0000e+00   1.2504e-04   1.5995e+04
1.9500e+00   1.1970e-04   1.6291e+04
1.9000e+00   1.0686e-04   1.7780e+04
1.8500e+00   8.8500e-05   2.0904e+04
1.8000e+00   8.6564e-05   2.0794e+04
1.7500e+00   7.0212e-05   2.4925e+04
1.7000e+00   6.6780e-05   2.5457e+04
1.6500e+00   6.1578e-05   2.6795e+04
1.6000e+00   4.4520e-05   3.5939e+04
1.5500e+00   4.5718e-05   3.3903e+04
1.5000e+00   3.8592e-05   3.8868e+04
1.4500e+00   4.0612e-05   3.5704e+04
1.4000e+00   4.1660e-05   3.3605e+04
