  Measurement Number     Measurement type
                  16                DC IV

      Measurement ID             SeriesID
       739844.507280                   91

         MeasureMode                Bias1                Bias2
                   2                 -3.5                  3.5

                Step  Positive compliance  Negative compliance
                 0.1                 0.01                 0.01

  RealMeasuredPoints
                 144

        Bias        Current     Resistance
0.0000e+00   2.7242e-08   0.0000e+00
-1.0000e-01   -2.6046e-05   3.8394e+03
-2.0000e-01   -5.3224e-05   3.7577e+03
-3.0000e-01   -2.7354e-04   1.0967e+03
-4.0000e-01   -4.3164e-04   9.2670e+02
-5.0000e-01   -7.2616e-04   6.8855e+02
-6.0000e-01   -1.3012e-03   4.6111e+02
-7.0000e-01   -1.6044e-03   4.3630e+02
-8.0000e-01   -1.9388e-03   4.1263e+02
-9.0000e-01   -2.2668e-03   3.9704e+02
-1.0000e+00   -2.5002e-03   3.9997e+02
-1.1000e+00   -2.7518e-03   3.9974e+02
-1.2000e+00   -3.1496e-03   3.8100e+02
-1.3000e+00   -3.4044e-03   3.8186e+02
-1.4000e+00   -3.5630e-03   3.9293e+02
-1.5000e+00   -3.7642e-03   3.9849e+02
-1.6000e+00   -3.5062e-03   4.5633e+02
-1.7000e+00   -3.1668e-03   5.3682e+02
-1.8000e+00   -1.6084e-03   1.1191e+03
-1.9000e+00   -1.6518e-03   1.1503e+03
-2.0000e+00   -1.5870e-03   1.2602e+03
-2.1000e+00   -1.6128e-03   1.3021e+03
-2.2000e+00   -1.6664e-03   1.3202e+03
-2.3000e+00   -1.9962e-03   1.1522e+03
-2.4000e+00   -2.4446e-03   9.8176e+02
-2.5000e+00   -2.6668e-03   9.3745e+02
-2.6000e+00   -2.9276e-03   8.8810e+02
-2.7000e+00   -3.0488e-03   8.8559e+02
-2.8000e+00   -3.6450e-03   7.6818e+02
-2.9000e+00   -3.8436e-03   7.5450e+02
-3.0000e+00   -4.3672e-03   6.8694e+02
-3.1000e+00   -4.5998e-03   6.7394e+02
-3.2000e+00   -4.9884e-03   6.4149e+02
-3.3000e+00   -5.5102e-03   5.9889e+02
