  Measurement Number     Measurement type
                   2                DC IV

      Measurement ID             SeriesID
       739844.505913                    0

         MeasureMode                Bias1                Bias2
                   2                   -3                    3

                Step  Positive compliance  Negative compliance
                0.05                 0.01                 0.01

  RealMeasuredPoints
                 244

        Bias        Current     Resistance
0.0000e+00   1.6512e-08   0.0000e+00
-5.0000e-02   -7.1631e-06   6.9802e+03
-1.0000e-01   -1.5250e-05   6.5574e+03
-1.5000e-01   -2.4606e-05   6.0961e+03
-2.0000e-01   -3.5400e-05   5.6497e+03
-2.5000e-01   -4.7794e-05   5.2308e+03
-3.0000e-01   -6.2062e-05   4.8339e+03
-3.5000e-01   -7.7874e-05   4.4944e+03
-4.0000e-01   -9.5292e-05   4.1976e+03
-4.5000e-01   -1.1492e-04   3.9158e+03
-5.0000e-01   -1.3788e-04   3.6263e+03
-5.5000e-01   -1.6180e-04   3.3993e+03
-6.0000e-01   -1.8960e-04   3.1646e+03
-6.5000e-01   -2.1984e-04   2.9567e+03
-7.0000e-01   -2.5124e-04   2.7862e+03
-7.5000e-01   -2.8666e-04   2.6163e+03
-8.0000e-01   -3.2478e-04   2.4632e+03
-8.5000e-01   -3.6394e-04   2.3355e+03
-9.0000e-01   -4.0862e-04   2.2025e+03
-9.5000e-01   -4.5744e-04   2.0768e+03
-1.0000e+00   -5.1062e-04   1.9584e+03
-1.0500e+00   -5.6456e-04   1.8599e+03
-1.1000e+00   -6.2176e-04   1.7692e+03
-1.1500e+00   -6.8212e-04   1.6859e+03
-1.2000e+00   -7.4604e-04   1.6085e+03
-1.2500e+00   -8.1260e-04   1.5383e+03
-1.3000e+00   -8.7928e-04   1.4785e+03
-1.3500e+00   -9.4864e-04   1.4231e+03
-1.4000e+00   -1.0240e-03   1.3672e+03
-1.4500e+00   -1.1012e-03   1.3167e+03
-1.5000e+00   -1.1782e-03   1.2731e+03
-1.5500e+00   -1.2598e-03   1.2304e+03
-1.6000e+00   -1.3464e-03   1.1884e+03
-1.6500e+00   -1.4390e-03   1.1466e+03
-1.7000e+00   -1.5256e-03   1.1143e+03
-1.7500e+00   -1.6156e-03   1.0832e+03
-1.8000e+00   -1.7136e-03   1.0504e+03
-1.8500e+00   -1.8106e-03   1.0218e+03
-1.9000e+00   -1.9022e-03   9.9884e+02
-1.9500e+00   -2.0014e-03   9.7432e+02
-2.0000e+00   -2.0986e-03   9.5302e+02
-2.0500e+00   -2.2024e-03   9.3080e+02
-2.1000e+00   -2.3010e-03   9.1265e+02
-2.1500e+00   -2.4052e-03   8.9390e+02
-2.2000e+00   -2.5046e-03   8.7838e+02
-2.2500e+00   -2.6072e-03   8.6299e+02
-2.3000e+00   -2.7188e-03   8.4596e+02
-2.3500e+00   -2.8328e-03   8.2957e+02
-2.4000e+00   -2.9690e-03   8.0835e+02
-2.4500e+00   -3.0998e-03   7.9037e+02
-2.5000e+00   -3.2092e-03   7.7901e+02
-2.5500e+00   -3.3270e-03   7.6646e+02
-2.6000e+00   -3.4454e-03   7.5463e+02
-2.6500e+00   -3.5470e-03   7.4711e+02
-2.7000e+00   -3.6614e-03   7.3742e+02
-2.7500e+00   -3.7598e-03   7.3142e+02
-2.8000e+00   -3.8202e-03   7.3295e+02
-2.8500e+00   -4.0154e-03   7.0977e+02
-2.9000e+00   -4.0746e-03   7.1173e+02
-2.9500e+00   -4.3126e-03   6.8404e+02
-3.0000e+00   -4.7680e-03   6.2919e+02
-3.0000e+00   -4.7582e-03   6.3049e+02
-2.9500e+00   -4.5988e-03   6.4147e+02
-2.9000e+00   -4.4454e-03   6.5236e+02
-2.8500e+00   -4.2416e-03   6.7192e+02
-2.8000e+00   -4.1096e-03   6.8133e+02
-2.7500e+00   -3.9752e-03   6.9179e+02
-2.7000e+00   -3.8470e-03   7.0185e+02
-2.6500e+00   -3.7048e-03   7.1529e+02
-2.6000e+00   -3.5828e-03   7.2569e+02
-2.5500e+00   -3.4488e-03   7.3939e+02
-2.5000e+00   -3.3262e-03   7.5161e+02
-2.4500e+00   -3.2062e-03   7.6414e+02
-2.4000e+00   -3.0908e-03   7.7650e+02
-2.3500e+00   -2.9740e-03   7.9018e+02
-2.3000e+00   -2.8622e-03   8.0358e+02
-2.2500e+00   -2.7460e-03   8.1937e+02
-2.2000e+00   -2.6394e-03   8.3352e+02
-2.1500e+00   -2.5284e-03   8.5034e+02
-2.1000e+00   -2.4184e-03   8.6834e+02
-2.0500e+00   -2.3096e-03   8.8760e+02
-2.0000e+00   -2.2092e-03   9.0531e+02
-1.9500e+00   -2.1094e-03   9.2443e+02
-1.9000e+00   -2.0080e-03   9.4622e+02
-1.8500e+00   -1.9130e-03   9.6707e+02
-1.8000e+00   -1.8126e-03   9.9305e+02
-1.7500e+00   -1.7190e-03   1.0180e+03
-1.7000e+00   -1.6242e-03   1.0467e+03
