  Measurement Number     Measurement type
                   5                DC IV

      Measurement ID             SeriesID
       739844.506225                   82

         MeasureMode                Bias1                Bias2
                   2                   -3                    3

                Step  Positive compliance  Negative compliance
                0.05                 0.01                 0.01

  RealMeasuredPoints
                 244

        Bias        Current     Resistance
0.0000e+00   6.3721e-10   0.0000e+00
-5.0000e-02   -1.1018e-07   4.5380e+05
-1.0000e-01   -2.2262e-07   4.4920e+05
-1.5000e-01   -3.7648e-07   3.9843e+05
-2.0000e-01   -6.4524e-07   3.0996e+05
-2.5000e-01   -7.5482e-05   3.3120e+03
-3.0000e-01   -9.0068e-05   3.3308e+03
-3.5000e-01   -1.5880e-04   2.2040e+03
-4.0000e-01   -2.7690e-04   1.4446e+03
-4.5000e-01   -3.7722e-04   1.1929e+03
-5.0000e-01   -3.9062e-04   1.2800e+03
-5.5000e-01   -5.4074e-04   1.0171e+03
-6.0000e-01   -6.8562e-04   8.7512e+02
-6.5000e-01   -7.6018e-04   8.5506e+02
-7.0000e-01   -9.2444e-04   7.5722e+02
-7.5000e-01   -9.4994e-04   7.8952e+02
-8.0000e-01   -1.0238e-03   7.8137e+02
-8.5000e-01   -1.0770e-03   7.8923e+02
-9.0000e-01   -1.1222e-03   8.0200e+02
-9.5000e-01   -1.1516e-03   8.2494e+02
-1.0000e+00   -1.1808e-03   8.4688e+02
-1.0500e+00   -1.3034e-03   8.0559e+02
-1.1000e+00   -1.3658e-03   8.0539e+02
-1.1500e+00   -1.3772e-03   8.3503e+02
-1.2000e+00   -1.4904e-03   8.0515e+02
-1.2500e+00   -1.5638e-03   7.9933e+02
-1.3000e+00   -1.6118e-03   8.0655e+02
-1.3500e+00   -1.6520e-03   8.1719e+02
-1.4000e+00   -1.6444e-03   8.5137e+02
-1.4500e+00   -1.5336e-03   9.4549e+02
-1.5000e+00   -1.4998e-03   1.0001e+03
-1.5500e+00   -1.4420e-03   1.0749e+03
-1.6000e+00   -1.4176e-03   1.1287e+03
-1.6500e+00   -1.3602e-03   1.2131e+03
-1.7000e+00   -1.3402e-03   1.2685e+03
-1.7500e+00   -1.3754e-03   1.2724e+03
-1.8000e+00   -1.4476e-03   1.2434e+03
-1.8500e+00   -1.4696e-03   1.2588e+03
-1.9000e+00   -1.5418e-03   1.2323e+03
-1.9500e+00   -1.6594e-03   1.1751e+03
-2.0000e+00   -1.7122e-03   1.1681e+03
-2.0500e+00   -1.7436e-03   1.1757e+03
-2.1000e+00   -1.9104e-03   1.0992e+03
-2.1500e+00   -1.9788e-03   1.0865e+03
-2.2000e+00   -2.1226e-03   1.0365e+03
-2.2500e+00   -2.2872e-03   9.8374e+02
-2.3000e+00   -2.3808e-03   9.6606e+02
-2.3500e+00   -2.5506e-03   9.2135e+02
-2.4000e+00   -2.7930e-03   8.5929e+02
-2.4500e+00   -2.9456e-03   8.3175e+02
-2.5000e+00   -3.0246e-03   8.2656e+02
-2.5500e+00   -3.0808e-03   8.2771e+02
-2.6000e+00   -3.2344e-03   8.0386e+02
-2.6500e+00   -3.4082e-03   7.7754e+02
-2.7000e+00   -3.5196e-03   7.6713e+02
-2.7500e+00   -3.8906e-03   7.0683e+02
-2.8000e+00   -4.0778e-03   6.8664e+02
-2.8500e+00   -4.2732e-03   6.6695e+02
-2.9000e+00   -4.4406e-03   6.5306e+02
-2.9500e+00   -4.6016e-03   6.4108e+02
-3.0000e+00   -4.7730e-03   6.2854e+02
-3.0000e+00   -4.7808e-03   6.2751e+02
-2.9500e+00   -4.6172e-03   6.3892e+02
-2.9000e+00   -4.4586e-03   6.5043e+02
-2.8500e+00   -4.3194e-03   6.5981e+02
-2.8000e+00   -4.1872e-03   6.6870e+02
-2.7500e+00   -4.0526e-03   6.7858e+02
-2.7000e+00   -3.9240e-03   6.8807e+02
-2.6500e+00   -3.7968e-03   6.9796e+02
-2.6000e+00   -3.6580e-03   7.1077e+02
-2.5500e+00   -3.5394e-03   7.2046e+02
-2.5000e+00   -3.4100e-03   7.3314e+02
-2.4500e+00   -3.2824e-03   7.4641e+02
-2.4000e+00   -3.1622e-03   7.5897e+02
-2.3500e+00   -3.0396e-03   7.7313e+02
-2.3000e+00   -2.9202e-03   7.8762e+02
-2.2500e+00   -2.8006e-03   8.0340e+02
-2.2000e+00   -2.6812e-03   8.2053e+02
-2.1500e+00   -2.5720e-03   8.3593e+02
-2.1000e+00   -2.4568e-03   8.5477e+02
-2.0500e+00   -2.3476e-03   8.7323e+02
-2.0000e+00   -2.2438e-03   8.9135e+02
-1.9500e+00   -2.1382e-03   9.1198e+02
-1.9000e+00   -2.0322e-03   9.3495e+02
-1.8500e+00   -1.9322e-03   9.5746e+02
-1.8000e+00   -1.8284e-03   9.8447e+02
-1.7500e+00   -1.7296e-03   1.0118e+03
-1.7000e+00   -1.6346e-03   1.0400e+03
