  Measurement Number     Measurement type
                   8                DC IV

      Measurement ID             SeriesID
       739694.732017                    0

         MeasureMode                Bias1                Bias2
                   2                    2                   -2

                Step  Positive compliance  Negative compliance
                 0.1                  0.1                  0.1

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   3.1828e-09   0.0000e+00
1.0000e-01   1.0404e-04   9.6117e+02
2.0000e-01   2.0848e-04   9.5932e+02
3.0000e-01   3.1344e-04   9.5712e+02
4.0000e-01   4.1912e-04   9.5438e+02
5.0000e-01   5.2578e-04   9.5097e+02
6.0000e-01   6.3346e-04   9.4718e+02
7.0000e-01   7.4212e-04   9.4324e+02
8.0000e-01   8.5190e-04   9.3908e+02
9.0000e-01   9.6218e-04   9.3538e+02
1.0000e+00   1.0737e-03   9.3138e+02
1.1000e+00   1.1894e-03   9.2484e+02
1.2000e+00   1.3032e-03   9.2081e+02
1.3000e+00   1.4192e-03   9.1601e+02
1.4000e+00   1.5358e-03   9.1158e+02
1.5000e+00   1.6510e-03   9.0854e+02
1.6000e+00   1.7706e-03   9.0365e+02
1.7000e+00   1.8922e-03   8.9843e+02
1.8000e+00   2.0112e-03   8.9499e+02
1.9000e+00   2.1384e-03   8.8851e+02
2.0000e+00   2.2654e-03   8.8285e+02
2.0000e+00   2.2736e-03   8.7966e+02
1.9000e+00   2.1558e-03   8.8134e+02
1.8000e+00   2.0348e-03   8.8461e+02
1.7000e+00   1.9144e-03   8.8801e+02
1.6000e+00   1.7926e-03   8.9256e+02
1.5000e+00   1.6730e-03   8.9659e+02
1.4000e+00   1.5542e-03   9.0078e+02
1.3000e+00   1.4366e-03   9.0491e+02
1.2000e+00   1.3198e-03   9.0923e+02
1.1000e+00   1.2042e-03   9.1347e+02
1.0000e+00   1.0896e-03   9.1777e+02
9.0000e-01   9.7612e-04   9.2202e+02
8.0000e-01   8.6372e-04   9.2623e+02
7.0000e-01   7.5246e-04   9.3028e+02
6.0000e-01   6.4244e-04   9.3394e+02
5.0000e-01   5.3320e-04   9.3773e+02
4.0000e-01   4.2488e-04   9.4144e+02
3.0000e-01   3.1778e-04   9.4405e+02
2.0000e-01   2.1134e-04   9.4634e+02
1.0000e-01   1.0550e-04   9.4787e+02
0.0000e+00   -4.7680e-10   -0.0000e+00
0.0000e+00   1.8390e-09   0.0000e+00
-1.0000e-01   -1.0558e-04   9.4715e+02
-2.0000e-01   -2.1152e-04   9.4554e+02
-3.0000e-01   -3.1810e-04   9.4310e+02
-4.0000e-01   -4.2582e-04   9.3936e+02
-5.0000e-01   -5.3428e-04   9.3584e+02
-6.0000e-01   -6.4424e-04   9.3133e+02
-7.0000e-01   -7.5546e-04   9.2659e+02
-8.0000e-01   -8.6736e-04   9.2234e+02
-9.0000e-01   -9.8116e-04   9.1728e+02
-1.0000e+00   -1.0968e-03   9.1178e+02
-1.1000e+00   -1.2142e-03   9.0595e+02
-1.2000e+00   -1.3332e-03   9.0009e+02
-1.3000e+00   -1.4540e-03   8.9409e+02
-1.4000e+00   -1.5758e-03   8.8844e+02
-1.5000e+00   -1.6986e-03   8.8308e+02
-1.6000e+00   -1.8224e-03   8.7796e+02
-1.7000e+00   -1.9502e-03   8.7171e+02
-1.8000e+00   -2.0766e-03   8.6680e+02
-1.9000e+00   -2.2046e-03   8.6183e+02
-2.0000e+00   -2.3296e-03   8.5852e+02
-2.0000e+00   -2.3264e-03   8.5970e+02
-1.9000e+00   -2.1930e-03   8.6639e+02
-1.8000e+00   -2.0644e-03   8.7192e+02
-1.7000e+00   -1.9372e-03   8.7756e+02
-1.6000e+00   -1.8128e-03   8.8261e+02
-1.5000e+00   -1.6882e-03   8.8852e+02
-1.4000e+00   -1.5660e-03   8.9400e+02
-1.3000e+00   -1.4450e-03   8.9965e+02
-1.2000e+00   -1.3254e-03   9.0539e+02
-1.1000e+00   -1.2080e-03   9.1060e+02
-1.0000e+00   -1.0916e-03   9.1609e+02
-9.0000e-01   -9.7632e-04   9.2183e+02
-8.0000e-01   -8.6292e-04   9.2708e+02
-7.0000e-01   -7.5104e-04   9.3204e+02
-6.0000e-01   -6.4052e-04   9.3674e+02
-5.0000e-01   -5.3128e-04   9.4112e+02
-4.0000e-01   -4.2330e-04   9.4496e+02
-3.0000e-01   -3.1648e-04   9.4793e+02
-2.0000e-01   -2.1034e-04   9.5084e+02
-1.0000e-01   -1.0500e-04   9.5238e+02
0.0000e+00   4.0232e-09   0.0000e+00
