  Measurement Number     Measurement type
                   7                DC IV

      Measurement ID             SeriesID
       739694.731813                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -3

                Step  Positive compliance  Negative compliance
                 0.1                1e-06                  0.1

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -9.0380e-11   -0.0000e+00
1.0000e-01   9.9996e-07   1.0000e+05
2.0000e-01   9.9998e-07   2.0000e+05
3.0000e-01   9.9998e-07   3.0001e+05
4.0000e-01   9.9996e-07   4.0002e+05
5.0000e-01   9.9998e-07   5.0001e+05
6.0000e-01   1.0000e-06   6.0000e+05
7.0000e-01   9.9998e-07   7.0001e+05
8.0000e-01   9.9998e-07   8.0002e+05
9.0000e-01   9.9998e-07   9.0002e+05
1.0000e+00   1.0000e-06   1.0000e+06
1.0000e+00   9.9998e-07   1.0000e+06
9.0000e-01   1.0000e-06   9.0000e+05
8.0000e-01   1.0000e-06   8.0000e+05
7.0000e-01   9.9998e-07   7.0001e+05
6.0000e-01   1.0000e-06   6.0000e+05
5.0000e-01   9.9998e-07   5.0001e+05
4.0000e-01   9.9998e-07   4.0001e+05
3.0000e-01   1.0000e-06   3.0000e+05
2.0000e-01   1.0000e-06   2.0000e+05
1.0000e-01   9.9998e-07   1.0000e+05
0.0000e+00   -3.5100e-11   -0.0000e+00
0.0000e+00   -6.0593e-10   -0.0000e+00
-1.0000e-01   -1.9842e-06   5.0398e+04
-2.0000e-01   -4.0580e-06   4.9285e+04
-3.0000e-01   -5.8556e-06   5.1233e+04
-4.0000e-01   -6.5777e-06   6.0812e+04
-5.0000e-01   -8.4845e-06   5.8931e+04
-6.0000e-01   -7.9138e-06   7.5817e+04
-7.0000e-01   -8.8600e-06   7.9007e+04
-8.0000e-01   -1.0016e-05   7.9872e+04
-9.0000e-01   -1.0642e-05   8.4571e+04
-1.0000e+00   -1.1268e-05   8.8747e+04
-1.1000e+00   -1.2064e-05   9.1180e+04
-1.2000e+00   -1.4156e-05   8.4770e+04
-1.3000e+00   -7.7960e-06   1.6675e+05
-1.4000e+00   -1.1318e-05   1.2370e+05
-1.5000e+00   -2.6214e-04   5.7221e+03
-1.6000e+00   -2.4860e-04   6.4360e+03
-1.7000e+00   -1.9872e-04   8.5548e+03
-1.8000e+00   -1.2694e-03   1.4180e+03
-1.9000e+00   -1.4086e-03   1.3489e+03
-2.0000e+00   -1.5444e-03   1.2950e+03
-2.1000e+00   -1.7254e-03   1.2171e+03
-2.2000e+00   -1.9334e-03   1.1379e+03
-2.3000e+00   -2.1954e-03   1.0476e+03
-2.4000e+00   -2.3930e-03   1.0029e+03
-2.5000e+00   -2.6062e-03   9.5925e+02
-2.6000e+00   -2.8238e-03   9.2075e+02
-2.7000e+00   -3.0070e-03   8.9790e+02
-2.8000e+00   -3.2122e-03   8.7168e+02
-2.9000e+00   -3.4140e-03   8.4944e+02
-3.0000e+00   -3.6740e-03   8.1655e+02
-3.0000e+00   -3.6680e-03   8.1788e+02
-2.9000e+00   -3.5636e-03   8.1378e+02
-2.8000e+00   -3.4168e-03   8.1948e+02
-2.7000e+00   -3.2744e-03   8.2458e+02
-2.6000e+00   -3.1252e-03   8.3195e+02
-2.5000e+00   -2.9800e-03   8.3893e+02
-2.4000e+00   -2.8432e-03   8.4412e+02
-2.3000e+00   -2.7064e-03   8.4984e+02
-2.2000e+00   -2.5730e-03   8.5503e+02
-2.1000e+00   -2.4414e-03   8.6016e+02
-2.0000e+00   -2.3122e-03   8.6498e+02
-1.9000e+00   -2.1824e-03   8.7060e+02
-1.8000e+00   -2.0542e-03   8.7625e+02
-1.7000e+00   -1.9276e-03   8.8193e+02
-1.6000e+00   -1.8034e-03   8.8721e+02
-1.5000e+00   -1.6800e-03   8.9286e+02
-1.4000e+00   -1.5588e-03   8.9813e+02
-1.3000e+00   -1.4382e-03   9.0391e+02
-1.2000e+00   -1.3198e-03   9.0923e+02
-1.1000e+00   -1.2024e-03   9.1484e+02
-1.0000e+00   -1.0870e-03   9.1996e+02
-9.0000e-01   -9.7190e-04   9.2602e+02
-8.0000e-01   -8.5978e-04   9.3047e+02
-7.0000e-01   -7.4840e-04   9.3533e+02
-6.0000e-01   -6.3612e-04   9.4322e+02
-5.0000e-01   -5.2758e-04   9.4772e+02
-4.0000e-01   -4.2034e-04   9.5161e+02
-3.0000e-01   -3.1440e-04   9.5420e+02
-2.0000e-01   -2.0902e-04   9.5685e+02
-1.0000e-01   -1.0442e-04   9.5767e+02
0.0000e+00   -3.1203e-08   -0.0000e+00
