  Measurement Number     Measurement type
                  16                DC IV

      Measurement ID             SeriesID
       739696.803090                   10

         MeasureMode                Bias1                Bias2
                   2                  2.5                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-05

  RealMeasuredPoints
                 144

        Bias        Current     Resistance
0.0000e+00   5.1400e-12   0.0000e+00
5.0000e-02   3.5300e-12   1.4164e+10
1.0000e-01   3.0300e-12   3.3003e+10
1.5000e-01   4.5500e-12   3.2967e+10
2.0000e-01   3.6900e-12   5.4201e+10
2.5000e-01   1.9500e-12   1.2821e+11
3.0000e-01   -1.4600e-12   -2.0548e+11
3.5000e-01   1.3800e-12   2.5362e+11
4.0000e-01   1.7600e-12   2.2727e+11
4.5000e-01   1.1200e-12   4.0179e+11
5.0000e-01   1.0800e-12   4.6296e+11
5.5000e-01   -1.6800e-12   -3.2738e+11
6.0000e-01   2.3900e-12   2.5105e+11
6.5000e-01   3.1100e-12   2.0900e+11
7.0000e-01   1.4000e-12   5.0000e+11
7.5000e-01   3.7000e-13   2.0270e+12
8.0000e-01   3.3700e-12   2.3739e+11
8.5000e-01   5.7900e-12   1.4680e+11
9.0000e-01   3.5800e-12   2.5140e+11
9.5000e-01   4.2400e-12   2.2406e+11
1.0000e+00   6.5200e-12   1.5337e+11
1.0500e+00   5.2200e-12   2.0115e+11
1.1000e+00   9.2100e-12   1.1944e+11
1.1500e+00   1.6820e-11   6.8371e+10
1.2000e+00   4.8430e-11   2.4778e+10
1.2500e+00   3.8910e-11   3.2125e+10
1.3000e+00   5.5360e-11   2.3483e+10
1.3500e+00   4.7790e-11   2.8249e+10
1.4000e+00   4.9230e-11   2.8438e+10
1.4500e+00   1.5870e-08   9.1367e+07
1.5000e+00   1.9964e-08   7.5135e+07
1.5500e+00   2.2445e-08   6.9056e+07
1.6000e+00   2.5439e-08   6.2896e+07
1.6500e+00   2.7037e-08   6.1027e+07
1.7000e+00   2.3623e-08   7.1965e+07
1.7500e+00   2.6997e-08   6.4822e+07
1.8000e+00   2.6925e-08   6.6851e+07
