  Measurement Number     Measurement type
                  27                DC IV

      Measurement ID             SeriesID
       739696.804143                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                  0.1                  0.1

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -1.1682e-07   -0.0000e+00
5.0000e-02   6.5332e-05   7.6532e+02
1.0000e-01   1.3088e-04   7.6406e+02
1.5000e-01   1.9630e-04   7.6414e+02
2.0000e-01   2.6180e-04   7.6394e+02
2.5000e-01   3.2774e-04   7.6280e+02
3.0000e-01   3.9390e-04   7.6161e+02
3.5000e-01   4.6040e-04   7.6021e+02
4.0000e-01   5.2658e-04   7.5962e+02
4.5000e-01   5.9144e-04   7.6085e+02
5.0000e-01   6.5234e-04   7.6647e+02
5.5000e-01   7.0566e-04   7.7941e+02
6.0000e-01   7.4494e-04   8.0543e+02
6.5000e-01   7.9874e-04   8.1378e+02
7.0000e-01   8.5060e-04   8.2295e+02
7.5000e-01   9.0156e-04   8.3189e+02
8.0000e-01   9.1408e-04   8.7520e+02
8.5000e-01   8.7560e-04   9.7076e+02
9.0000e-01   7.1576e-04   1.2574e+03
9.5000e-01   7.3968e-04   1.2843e+03
1.0000e+00   6.6734e-04   1.4985e+03
1.0000e+00   5.0826e-04   1.9675e+03
9.5000e-01   3.5494e-04   2.6765e+03
9.0000e-01   4.0236e-04   2.2368e+03
8.5000e-01   3.7458e-04   2.2692e+03
8.0000e-01   3.6106e-04   2.2157e+03
7.5000e-01   3.5626e-04   2.1052e+03
7.0000e-01   3.5348e-04   1.9803e+03
6.5000e-01   4.8000e-04   1.3542e+03
6.0000e-01   4.7516e-04   1.2627e+03
5.5000e-01   4.6066e-04   1.1939e+03
5.0000e-01   4.2578e-04   1.1743e+03
4.5000e-01   3.8284e-04   1.1754e+03
4.0000e-01   3.4270e-04   1.1672e+03
3.5000e-01   3.0074e-04   1.1638e+03
3.0000e-01   2.5666e-04   1.1689e+03
2.5000e-01   2.1330e-04   1.1721e+03
2.0000e-01   1.6984e-04   1.1776e+03
1.5000e-01   1.2750e-04   1.1765e+03
1.0000e-01   8.4752e-05   1.1799e+03
5.0000e-02   4.2240e-05   1.1837e+03
0.0000e+00   -9.3417e-08   -0.0000e+00
0.0000e+00   -9.3463e-08   -0.0000e+00
-5.0000e-02   -3.7232e-05   1.3429e+03
-1.0000e-01   -7.4748e-05   1.3378e+03
-1.5000e-01   -1.1243e-04   1.3342e+03
-2.0000e-01   -1.4040e-04   1.4245e+03
-2.5000e-01   -1.7758e-04   1.4078e+03
-3.0000e-01   -2.1362e-04   1.4044e+03
-3.5000e-01   -2.4562e-04   1.4250e+03
-4.0000e-01   -2.6476e-04   1.5108e+03
-4.5000e-01   -3.0012e-04   1.4994e+03
-5.0000e-01   -3.1064e-04   1.6096e+03
-5.5000e-01   -3.4562e-04   1.5913e+03
-6.0000e-01   -3.3590e-04   1.7862e+03
-6.5000e-01   -2.4324e-04   2.6723e+03
-7.0000e-01   -2.5936e-04   2.6990e+03
-7.5000e-01   -2.5452e-04   2.9467e+03
-8.0000e-01   -4.6156e-04   1.7333e+03
-8.5000e-01   -6.7334e-04   1.2624e+03
-9.0000e-01   -7.6344e-04   1.1789e+03
-9.5000e-01   -8.5334e-04   1.1133e+03
-1.0000e+00   -6.6822e-04   1.4965e+03
-1.0000e+00   -7.5458e-04   1.3252e+03
-9.5000e-01   -7.1084e-04   1.3364e+03
-9.0000e-01   -6.4304e-04   1.3996e+03
-8.5000e-01   -6.1454e-04   1.3831e+03
-8.0000e-01   -5.7628e-04   1.3882e+03
-7.5000e-01   -5.4406e-04   1.3785e+03
-7.0000e-01   -5.1580e-04   1.3571e+03
-6.5000e-01   -4.7802e-04   1.3598e+03
-6.0000e-01   -4.4074e-04   1.3613e+03
-5.5000e-01   -4.0454e-04   1.3596e+03
-5.0000e-01   -3.6834e-04   1.3574e+03
-4.5000e-01   -3.3094e-04   1.3598e+03
-4.0000e-01   -2.9340e-04   1.3633e+03
-3.5000e-01   -2.5544e-04   1.3702e+03
-3.0000e-01   -2.1832e-04   1.3741e+03
-2.5000e-01   -1.8134e-04   1.3786e+03
-2.0000e-01   -1.4478e-04   1.3814e+03
-1.5000e-01   -1.0818e-04   1.3866e+03
-1.0000e-01   -7.1980e-05   1.3893e+03
-5.0000e-02   -3.5940e-05   1.3912e+03
0.0000e+00   -9.2492e-08   -0.0000e+00
