  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739696.807411                    0

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   2.1700e-12   0.0000e+00
5.0000e-02   1.9500e-12   2.5641e+10
1.0000e-01   3.4500e-12   2.8986e+10
1.5000e-01   1.6700e-12   8.9820e+10
2.0000e-01   -2.6300e-12   -7.6046e+10
2.5000e-01   2.3200e-12   1.0776e+11
3.0000e-01   3.1000e-12   9.6774e+10
3.5000e-01   -3.2000e-13   -1.0937e+12
4.0000e-01   5.0000e-14   8.0000e+12
4.5000e-01   1.1100e-12   4.0541e+11
5.0000e-01   4.9400e-12   1.0121e+11
5.5000e-01   3.0000e-12   1.8333e+11
6.0000e-01   3.2300e-12   1.8576e+11
6.5000e-01   3.1100e-12   2.0900e+11
7.0000e-01   4.3500e-12   1.6092e+11
7.5000e-01   3.3200e-12   2.2590e+11
8.0000e-01   9.0000e-13   8.8889e+11
8.5000e-01   1.9900e-12   4.2714e+11
9.0000e-01   3.7300e-12   2.4129e+11
9.5000e-01   5.3100e-12   1.7891e+11
1.0000e+00   4.5300e-12   2.2075e+11
1.0500e+00   1.9300e-12   5.4404e+11
1.1000e+00   3.7700e-12   2.9178e+11
1.1500e+00   1.3600e-12   8.4559e+11
1.2000e+00   3.6300e-12   3.3058e+11
1.2500e+00   2.9900e-12   4.1806e+11
1.3000e+00   1.7100e-12   7.6023e+11
1.3500e+00   4.1100e-12   3.2847e+11
1.4000e+00   3.9800e-12   3.5176e+11
1.4500e+00   3.0100e-12   4.8173e+11
1.5000e+00   2.8400e-12   5.2817e+11
1.5500e+00   7.0700e-12   2.1924e+11
1.6000e+00   8.7700e-12   1.8244e+11
1.6500e+00   5.0600e-12   3.2609e+11
1.7000e+00   9.9550e-11   1.7077e+10
1.7500e+00   6.0038e-10   2.9148e+09
1.8000e+00   3.0193e-10   5.9616e+09
1.8500e+00   3.6551e-10   5.0614e+09
1.9000e+00   2.1242e-10   8.9445e+09
1.9500e+00   3.3891e-10   5.7537e+09
2.0000e+00   2.5643e-10   7.7994e+09
2.0000e+00   2.6665e-10   7.5005e+09
1.9500e+00   4.3203e-10   4.5136e+09
1.9000e+00   3.8600e-10   4.9223e+09
1.8500e+00   3.0884e-10   5.9902e+09
1.8000e+00   2.2779e-10   7.9020e+09
1.7500e+00   2.5648e-10   6.8231e+09
1.7000e+00   2.9778e-10   5.7089e+09
1.6500e+00   2.6173e-10   6.3042e+09
