  Measurement Number     Measurement type
                  20                DC IV

      Measurement ID             SeriesID
       739696.811226                   96

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -1.1500e-12   -0.0000e+00
5.0000e-02   6.4700e-12   7.7280e+09
1.0000e-01   7.7200e-12   1.2953e+10
1.5000e-01   3.5300e-12   4.2493e+10
2.0000e-01   -4.1400e-12   -4.8309e+10
2.5000e-01   4.8800e-12   5.1230e+10
3.0000e-01   7.5300e-12   3.9841e+10
3.5000e-01   5.9300e-12   5.9022e+10
4.0000e-01   3.1800e-12   1.2579e+11
4.5000e-01   4.2800e-12   1.0514e+11
5.0000e-01   1.0270e-11   4.8685e+10
5.5000e-01   8.9900e-12   6.1179e+10
6.0000e-01   3.3600e-12   1.7857e+11
6.5000e-01   2.9900e-12   2.1739e+11
7.0000e-01   5.0056e-09   1.3984e+08
7.5000e-01   5.4507e-09   1.3760e+08
8.0000e-01   1.6184e-09   4.9432e+08
8.5000e-01   1.4397e-08   5.9042e+07
9.0000e-01   2.7175e-08   3.3119e+07
9.5000e-01   1.7525e-08   5.4208e+07
1.0000e+00   2.3679e-08   4.2232e+07
1.0000e+00   1.8874e-08   5.2982e+07
9.5000e-01   1.8512e-08   5.1318e+07
9.0000e-01   1.1668e-08   7.7131e+07
8.5000e-01   1.6437e-08   5.1712e+07
8.0000e-01   1.3606e-08   5.8799e+07
7.5000e-01   1.2162e-08   6.1665e+07
7.0000e-01   1.1411e-08   6.1346e+07
6.5000e-01   1.0052e-08   6.4664e+07
6.0000e-01   1.4285e-08   4.2001e+07
5.5000e-01   1.0477e-08   5.2497e+07
5.0000e-01   1.0050e-08   4.9750e+07
4.5000e-01   9.2558e-09   4.8618e+07
4.0000e-01   8.6754e-09   4.6107e+07
3.5000e-01   6.9012e-09   5.0716e+07
3.0000e-01   5.5377e-09   5.4174e+07
2.5000e-01   3.5309e-09   7.0803e+07
2.0000e-01   1.3660e-09   1.4641e+08
1.5000e-01   6.6660e-10   2.2502e+08
1.0000e-01   -6.3700e-12   -1.5699e+10
5.0000e-02   -6.0200e-12   -8.3056e+09
0.0000e+00   -4.8300e-12   -0.0000e+00
0.0000e+00   -7.7000e-13   -0.0000e+00
-5.0000e-02   -1.9100e-12   2.6178e+10
-1.0000e-01   2.2300e-12   -4.4843e+10
-1.5000e-01   4.2800e-12   -3.5047e+10
-2.0000e-01   -5.5100e-12   3.6298e+10
-2.5000e-01   -8.3900e-12   2.9797e+10
-3.0000e-01   -6.5300e-12   4.5942e+10
-3.5000e-01   -3.8600e-12   9.0674e+10
-4.0000e-01   -3.1900e-12   1.2539e+11
-4.5000e-01   -8.5400e-12   5.2693e+10
-5.0000e-01   -6.6800e-12   7.4850e+10
-5.5000e-01   2.1700e-12   -2.5346e+11
-6.0000e-01   -3.3700e-12   1.7804e+11
-6.5000e-01   -7.5500e-12   8.6093e+10
-7.0000e-01   -3.9600e-12   1.7677e+11
-7.5000e-01   -2.6000e-13   2.8846e+12
-8.0000e-01   -4.7700e-12   1.6771e+11
-8.5000e-01   -1.1020e-11   7.7132e+10
-9.0000e-01   -8.9500e-12   1.0056e+11
-9.5000e-01   -2.9500e-12   3.2203e+11
-1.0000e+00   -4.1000e-12   2.4390e+11
-1.0000e+00   -1.2950e-11   7.7220e+10
-9.5000e-01   -3.3700e-12   2.8190e+11
-9.0000e-01   3.1700e-12   -2.8391e+11
-8.5000e-01   -1.7200e-12   4.9419e+11
-8.0000e-01   -3.4800e-12   2.2989e+11
-7.5000e-01   5.4200e-12   -1.3838e+11
-7.0000e-01   4.5300e-12   -1.5453e+11
-6.5000e-01   7.0900e-12   -9.1678e+10
-6.0000e-01   1.5800e-12   -3.7975e+11
-5.5000e-01   -1.6200e-12   3.3951e+11
-5.0000e-01   5.2000e-12   -9.6154e+10
-4.5000e-01   1.1300e-11   -3.9823e+10
-4.0000e-01   6.2500e-12   -6.4000e+10
-3.5000e-01   2.9000e-13   -1.2069e+12
-3.0000e-01   5.8800e-12   -5.1020e+10
-2.5000e-01   9.4800e-12   -2.6371e+10
-2.0000e-01   3.8600e-12   -5.1813e+10
-1.5000e-01   -6.2800e-12   2.3885e+10
-1.0000e-01   2.7300e-12   -3.6630e+10
-5.0000e-02   1.1190e-11   -4.4683e+09
0.0000e+00   5.1600e-12   0.0000e+00
