  Measurement Number     Measurement type
                   9                DC IV

      Measurement ID             SeriesID
       739696.810244                   55

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -6.3200e-12   -0.0000e+00
5.0000e-02   3.6900e-12   1.3550e+10
1.0000e-01   1.0430e-11   9.5877e+09
1.5000e-01   7.5600e-12   1.9841e+10
2.0000e-01   5.8600e-12   3.4130e+10
2.5000e-01   5.8000e-12   4.3103e+10
3.0000e-01   1.2760e-11   2.3511e+10
3.5000e-01   5.2000e-12   6.7308e+10
4.0000e-01   2.8100e-12   1.4235e+11
4.5000e-01   8.0900e-12   5.5624e+10
5.0000e-01   9.8600e-12   5.0710e+10
5.5000e-01   6.2100e-12   8.8567e+10
6.0000e-01   7.3237e-08   8.1926e+06
6.5000e-01   4.0220e-08   1.6161e+07
7.0000e-01   3.7720e-08   1.8558e+07
7.5000e-01   5.5966e-08   1.3401e+07
8.0000e-01   1.0400e-07   7.6923e+06
8.5000e-01   5.6800e-07   1.4965e+06
9.0000e-01   6.5028e-07   1.3840e+06
9.5000e-01   1.0000e-06   9.5000e+05
1.0000e+00   1.0000e-06   1.0000e+06
1.0000e+00   1.0000e-06   1.0000e+06
9.5000e-01   8.7138e-07   1.0902e+06
9.0000e-01   9.9998e-07   9.0002e+05
8.5000e-01   9.8072e-07   8.6671e+05
8.0000e-01   8.4302e-07   9.4897e+05
7.5000e-01   4.8056e-07   1.5607e+06
7.0000e-01   1.4652e-07   4.7775e+06
6.5000e-01   1.8960e-07   3.4283e+06
6.0000e-01   1.7266e-07   3.4750e+06
5.5000e-01   8.9660e-08   6.1343e+06
5.0000e-01   3.7643e-08   1.3283e+07
4.5000e-01   1.8231e-08   2.4684e+07
4.0000e-01   2.0327e-08   1.9679e+07
3.5000e-01   5.8999e-08   5.9323e+06
3.0000e-01   3.4684e-08   8.6495e+06
2.5000e-01   1.7587e-08   1.4215e+07
2.0000e-01   -7.5400e-12   -2.6525e+10
1.5000e-01   -3.5700e-12   -4.2017e+10
1.0000e-01   2.8700e-12   3.4843e+10
5.0000e-02   8.6000e-13   5.8140e+10
0.0000e+00   4.2200e-12   0.0000e+00
0.0000e+00   -9.3000e-13   -0.0000e+00
-5.0000e-02   1.2300e-12   -4.0650e+10
-1.0000e-01   1.4000e-13   -7.1429e+11
-1.5000e-01   -8.2100e-12   1.8270e+10
-2.0000e-01   -1.6500e-12   1.2121e+11
-2.5000e-01   6.1100e-12   -4.0917e+10
-3.0000e-01   2.1600e-12   -1.3889e+11
-3.5000e-01   -9.5200e-12   3.6765e+10
-4.0000e-01   -7.4000e-12   5.4054e+10
-4.5000e-01   2.8900e-12   -1.5571e+11
-5.0000e-01   -7.2000e-12   6.9444e+10
-5.5000e-01   -3.9600e-12   1.3889e+11
-6.0000e-01   -5.5500e-12   1.0811e+11
-6.5000e-01   -3.4000e-12   1.9118e+11
-7.0000e-01   1.6000e-13   -4.3750e+12
-7.5000e-01   -8.6500e-12   8.6705e+10
-8.0000e-01   -1.1630e-11   6.8788e+10
-8.5000e-01   -5.6600e-12   1.5018e+11
-9.0000e-01   -6.1000e-12   1.4754e+11
-9.5000e-01   -3.6700e-12   2.5886e+11
-1.0000e+00   -1.0140e-11   9.8619e+10
-1.0000e+00   -8.6000e-12   1.1628e+11
-9.5000e-01   -3.4000e-13   2.7941e+12
-9.0000e-01   -2.6100e-12   3.4483e+11
-8.5000e-01   -5.3300e-12   1.5947e+11
-8.0000e-01   -2.1200e-12   3.7736e+11
-7.5000e-01   -6.0000e-13   1.2500e+12
-7.0000e-01   1.6600e-12   -4.2169e+11
-6.5000e-01   1.5900e-12   -4.0881e+11
-6.0000e-01   -1.6900e-12   3.5503e+11
-5.5000e-01   6.5900e-12   -8.3460e+10
-5.0000e-01   1.0490e-11   -4.7664e+10
-4.5000e-01   5.1900e-12   -8.6705e+10
-4.0000e-01   3.5000e-13   -1.1429e+12
-3.5000e-01   1.3900e-12   -2.5180e+11
-3.0000e-01   7.5800e-12   -3.9578e+10
-2.5000e-01   1.3530e-11   -1.8477e+10
-2.0000e-01   1.1370e-11   -1.7590e+10
-1.5000e-01   5.6000e-12   -2.6786e+10
-1.0000e-01   7.2800e-12   -1.3736e+10
-5.0000e-02   9.1700e-12   -5.4526e+09
0.0000e+00   6.9200e-12   0.0000e+00
